,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4885,3905,0,Introductory/Generic,9,"Sci-News.com is committed to protecting and respecting your privacy. To better inform you of our policy concerning user privacy, we have adopted the following terms. Please note that these terms are subject to change, and any such changes will be included on this page.","{""Other Type"": {""selectedText"": ""Sci-News.com is committed to protecting and respecting your privacy. To better inform you of our policy concerning user privacy, we have adopted the following terms. Please note that these terms are subject to change, and any such changes will be included on this page."", ""startIndexInSegment"": 20, ""endIndexInSegment"": 299, ""value"": ""Introductory/Generic""}}",20,299
1,20234,3905,0,Policy Change,6,"Please note that these terms are subject to change,","{""Change Type"": {""selectedText"": ""Please note that these terms are subject to change,"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 242, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""and any such changes will be included on this page."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 294, ""value"": ""General notice in privacy policy""}}",191,242
2,20234,3905,0,Policy Change,6,and any such changes will be included on this page.,"{""Change Type"": {""selectedText"": ""Please note that these terms are subject to change,"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 242, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""and any such changes will be included on this page."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 294, ""value"": ""General notice in privacy policy""}}",243,294
3,20324,3905,1,First Party Collection/Use,0,nformation that you provide by filling in forms on our site,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""including"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",139,198
4,20324,3905,1,First Party Collection/Use,0,Sci-News.com may collect and process,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""including"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",59,95
5,20324,3905,1,First Party Collection/Use,0,including,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""including"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",200,209
6,20324,3905,1,First Party Collection/Use,0,"other purposes, for example when you report a problem with our site","{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""including"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",287,354
7,20325,3905,1,First Party Collection/Use,0,nformation that you provide by filling in forms on our site,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""names, e-mail and website addresses"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 245, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",139,198
8,20325,3905,1,First Party Collection/Use,0,Sci-News.com may collect and process,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""names, e-mail and website addresses"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 245, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",59,95
9,20325,3905,1,First Party Collection/Use,0,"names, e-mail and website addresses","{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""names, e-mail and website addresses"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 245, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",210,245
10,20325,3905,1,First Party Collection/Use,0,"other purposes, for example when you report a problem with our site","{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""names, e-mail and website addresses"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 245, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",287,354
