,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C211,3829,0,Introductory/Generic,9,"AOL Privacy Policy Last updated: June 23, 2015","{""Other Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 9, ""selectedText"": ""AOL Privacy Policy Last updated: June 23, 2015"", ""value"": ""Introductory/Generic""}}",9,84
1,13488,3829,0,Policy Change,6,"Last updated: June 23, 2015","{""Change Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""General notice in privacy policy""}}",57,84
2,13488,3829,0,Policy Change,6,"Last updated: June 23, 2015","{""Change Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""General notice in privacy policy""}}",57,84
3,13488,3829,0,Policy Change,6,"Last updated: June 23, 2015","{""Change Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""General notice in privacy policy""}}",57,84
4,C212,3829,1,Practice not covered,10,"AOL is now part of the Verizon family of companies. Additional privacy practices are described in the Verizon Privacy Policy. In the event of a conflict between this Privacy Policy and the Verizon Privacy Policy, the AOL Privacy Policy will control when you are on an AOL site or using and AOL product or service.","{""Other Type"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 0, ""selectedText"": ""AOL is now part of the Verizon family of companies. Additional privacy practices are described in the Verizon Privacy Policy. In the event of a conflict between this Privacy Policy and the Verizon Privacy Policy, the AOL Privacy Policy will control when you are on an AOL site or using and AOL product or service."", ""value"": ""Practice not covered""}}",0,313
5,C213,3829,2,Introductory/Generic,9,"At AOL, it's our mission to provide users with rich, interactive online experiences. From Pulitzer-Prize winning journalism on the Huffington Post, to the latest technology news on TechCrunch, to up-to-the-minute traffic information on MapQuest, our websites, apps, and other services and software are designed to keep you informed, entertained and delighted. We also operate some of the industry's best-known advertising services, including Adap.tv and Advertising.com.","{""Other Type"": {""endIndexInSegment"": 470, ""startIndexInSegment"": 0, ""selectedText"": ""At AOL, it's our mission to provide users with rich, interactive online experiences. From Pulitzer-Prize winning journalism on the Huffington Post, to the latest technology news on TechCrunch, to up-to-the-minute traffic information on MapQuest, our websites, apps, and other services and software are designed to keep you informed, entertained and delighted. We also operate some of the industry's best-known advertising services, including Adap.tv and Advertising.com."", ""value"": ""Introductory/Generic""}}",0,470
6,C214,3829,3,First Party Collection/Use,0,collect and receive,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",113,132
7,C214,3829,3,First Party Collection/Use,0,collect and receive,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",113,132
8,C214,3829,3,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",98,109
9,C214,3829,3,First Party Collection/Use,0,we collect and receive,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",110,132
10,C214,3829,3,First Party Collection/Use,0,users,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",139,144
11,C214,3829,3,First Party Collection/Use,0,analyzing,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",88,97
12,C215,3829,3,First Party Collection/Use,0,and receive,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 121, ""selectedText"": ""and receive"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",121,132
13,C215,3829,3,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 121, ""selectedText"": ""and receive"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",98,109
14,C215,3829,3,First Party Collection/Use,0,One of the ways we do that,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 121, ""selectedText"": ""and receive"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",55,81
15,13491,3829,3,First Party Collection/Use,0,we collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 110, ""selectedText"": ""we collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",110,120
16,13491,3829,3,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 110, ""selectedText"": ""we collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",98,109
17,13491,3829,3,First Party Collection/Use,0,One of the ways we do that,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 110, ""selectedText"": ""we collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",55,81
18,13493,3829,3,First Party Collection/Use,0,provide more effective advertising,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 284, ""startIndexInSegment"": 250, ""selectedText"": ""provide more effective advertising"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 202, ""selectedText"": ""This"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 285, ""startIndexInSegment"": 250, ""selectedText"": ""provide more effective advertising,"", ""value"": ""Advertising""}}",250,284
19,13493,3829,3,First Party Collection/Use,0,This,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 284, ""startIndexInSegment"": 250, ""selectedText"": ""provide more effective advertising"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 202, ""selectedText"": ""This"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 285, ""startIndexInSegment"": 250, ""selectedText"": ""provide more effective advertising,"", ""value"": ""Advertising""}}",202,206
