,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2058,3836,0,Introductory/Generic,9,"STATEMENT OF PRIVACY ( 12/23/2014, UNITED STATES ONLY)","{""Other Type"": {""selectedText"": ""STATEMENT OF PRIVACY ( 12/23/2014, UNITED STATES ONLY)"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 54, ""value"": ""Introductory/Generic""}}",0,54
1,C2059,3836,1,Introductory/Generic,9,"American Honda Motor Co., Inc. (American Honda) is considerate of the privacy of our visitors and the individual sensitivities of personal information. At American Honda, we believe the confidentiality and protection of customer information is one of our fundamental responsibilities. Because privacy and consumer trust are important to us, we provide this privacy statement for you to explain our policies in detail. While information is critical to providing quality service, we recognize that one of our most important assets is our customers' trust. Our goal is to protect your information.","{""Other Type"": {""selectedText"": ""American Honda Motor Co., Inc. (American Honda) is considerate of the privacy of our visitors and the individual sensitivities of personal information. At American Honda, we believe the confidentiality and protection of customer information is one of our fundamental responsibilities. Because privacy and consumer trust are important to us, we provide this privacy statement for you to explain our policies in detail. While information is critical to providing quality service, we recognize that one of our most important assets is our customers' trust. Our goal is to protect your information."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 594, ""value"": ""Introductory/Generic""}}",0,594
2,C2060,3836,2,Introductory/Generic,9,"This statement explains our privacy policies and procedures in connection with data collection and usage governing the American Honda Family of Web Sites which include honda.com, corporate.honda.com, automobiles.honda.com, hpd.honda.com, powersports.honda.com, hrca.honda.com, powerequipment.honda.com, marine.honda.com, engines.honda.com, owners.honda.com, owners.acura.com, estore.honda.com, hondafinancialservices.com, hondafinancialservices.com/ir, acurafinancialservices.com, acura.com, civictour.honda.com and greendealer.honda.com. This statement does not apply to our offline information practices.","{""Other Type"": {""selectedText"": ""This statement explains our privacy policies and procedures in connection with data collection and usage governing the American Honda Family of Web Sites which include honda.com, corporate.honda.com, automobiles.honda.com, hpd.honda.com, powersports.honda.com, hrca.honda.com, powerequipment.honda.com, marine.honda.com, engines.honda.com, owners.honda.com, owners.acura.com, estore.honda.com, hondafinancialservices.com, hondafinancialservices.com/ir, acurafinancialservices.com, acura.com, civictour.honda.com and greendealer.honda.com. This statement does not apply to our offline information practices."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 611, ""value"": ""Introductory/Generic""}}",0,611
3,15697,3836,2,Practice not covered,10,This statement does not apply to our offline information practices.,"{""Other Type"": {""selectedText"": ""This statement does not apply to our offline information practices."", ""startIndexInSegment"": 539, ""endIndexInSegment"": 606, ""value"": ""Practice not covered""}}",539,606
4,C2061,3836,3,User Choice/Control,2,You can visit our Web Sites without sharing personally identifiable information.,"{""Choice Type"": {""selectedText"": ""You can visit our Web Sites without sharing personally identifiable information."", ""startIndexInSegment"": 33, ""endIndexInSegment"": 118, ""value"": ""Other""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 112, ""value"": ""Other""}}",33,118
5,C2061,3836,3,User Choice/Control,2,personally identifiable information,"{""Choice Type"": {""selectedText"": ""You can visit our Web Sites without sharing personally identifiable information."", ""startIndexInSegment"": 33, ""endIndexInSegment"": 118, ""value"": ""Other""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 112, ""value"": ""Other""}}",77,112
6,15699,3836,3,First Party Collection/Use,0,without sharing personally identifiable information.,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""without sharing personally identifiable information."", ""startIndexInSegment"": 61, ""endIndexInSegment"": 113, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""You can visit our Web Sites"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 60, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information."", ""startIndexInSegment"": 77, ""endIndexInSegment"": 113, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""You can visit our Web Sites without sharing personally identifiable information."", ""startIndexInSegment"": 33, ""endIndexInSegment"": 113, ""value"": ""Other""}, ""Identifiability"": {""selectedText"": ""personally identifiable"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 100, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""without"", ""startIndexInSegment"": 61, ""endIndexInSegment"": 68, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""You can visit our Web Sites"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 60, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",61,113
7,15699,3836,3,First Party Collection/Use,0,You can visit our Web Sites,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""without sharing personally identifiable information."", ""startIndexInSegment"": 61, ""endIndexInSegment"": 113, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""You can visit our Web Sites"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 60, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information."", ""startIndexInSegment"": 77, ""endIndexInSegment"": 113, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""You can visit our Web Sites without sharing personally identifiable information."", ""startIndexInSegment"": 33, ""endIndexInSegment"": 113, ""value"": ""Other""}, ""Identifiability"": {""selectedText"": ""personally identifiable"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 100, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""without"", ""startIndexInSegment"": 61, ""endIndexInSegment"": 68, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""You can visit our Web Sites"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 60, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",33,60
8,15699,3836,3,First Party Collection/Use,0,personally identifiable information.,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""without sharing personally identifiable information."", ""startIndexInSegment"": 61, ""endIndexInSegment"": 113, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""You can visit our Web Sites"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 60, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information."", ""startIndexInSegment"": 77, ""endIndexInSegment"": 113, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""You can visit our Web Sites without sharing personally identifiable information."", ""startIndexInSegment"": 33, ""endIndexInSegment"": 113, ""value"": ""Other""}, ""Identifiability"": {""selectedText"": ""personally identifiable"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 100, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""without"", ""startIndexInSegment"": 61, ""endIndexInSegment"": 68, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""You can visit our Web Sites"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 60, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",77,113
9,15699,3836,3,First Party Collection/Use,0,You can visit our Web Sites without sharing personally identifiable information.,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""without sharing personally identifiable information."", ""startIndexInSegment"": 61, ""endIndexInSegment"": 113, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""You can visit our Web Sites"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 60, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information."", ""startIndexInSegment"": 77, ""endIndexInSegment"": 113, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""You can visit our Web Sites without sharing personally identifiable information."", ""startIndexInSegment"": 33, ""endIndexInSegment"": 113, ""value"": ""Other""}, ""Identifiability"": {""selectedText"": ""personally identifiable"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 100, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""without"", ""startIndexInSegment"": 61, ""endIndexInSegment"": 68, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""You can visit our Web Sites"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 60, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",33,113
