,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1486,3819,0,Introductory/Generic,9,Amazon.com Privacy Notice,"{""Other Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 0, ""selectedText"": ""Amazon.com Privacy Notice"", ""value"": ""Introductory/Generic""}}",0,25
1,C1487,3819,1,Policy Change,6,"Last updated: March 3, 2014. To see what has changed, click here.","{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",0,65
2,C1487,3819,1,Policy Change,6,click here.,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",54,65
3,C1487,3819,1,Policy Change,6,click here.,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",54,65
4,9608,3819,1,Policy Change,6,click here.,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",54,65
5,9608,3819,1,Policy Change,6,click here.,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",54,65
6,9608,3819,1,Policy Change,6,click here.,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",54,65
7,8993,3819,1,Policy Change,6,"To see what has changed, click here.","{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 29, ""selectedText"": ""To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 12, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated"", ""value"": ""General notice in privacy policy""}}",29,65
8,8993,3819,1,Policy Change,6,click here.,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 29, ""selectedText"": ""To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 12, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated"", ""value"": ""General notice in privacy policy""}}",54,65
9,8993,3819,1,Policy Change,6,Last updated,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 29, ""selectedText"": ""To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 12, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated"", ""value"": ""General notice in privacy policy""}}",0,12
10,9046,3819,1,Introductory/Generic,9,"Last updated: March 3, 2014. To see what has changed, click here.","{""Other Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Introductory/Generic""}}",0,65
11,C1488,3819,2,Introductory/Generic,9,This notice describes our privacy policy.,"{""Other Type"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 149, ""selectedText"": ""This notice describes our privacy policy."", ""value"": ""Introductory/Generic""}}",149,190
12,9607,3819,2,User Choice/Control,2,"By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.","{""Choice Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}}",191,280
13,9607,3819,2,User Choice/Control,2,"By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.","{""Choice Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}}",191,280
