,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C871,3634,0,Introductory/Generic,9,We take seriously your interest in how your information is collected and used. Please read the following to understand about our privacy practices.,"{""Other Type"": {""endIndexInSegment"": 250, ""startIndexInSegment"": 103, ""selectedText"": ""We take seriously your interest in how your information is collected and used. Please read the following to understand about our privacy practices."", ""value"": ""Introductory/Generic""}}",103,250
1,C872,3634,1,Introductory/Generic,9,"This Privacy Notice discloses the privacy practices of our website, mobile site or app (the ""Site""). Specifically, it outlines the types of information that we gather about you while you are using the Site, and the ways in which we use and share this information. This Privacy Notice does not apply to any information you may provide to us, or that we may collect, offline and/or through other means (for example, at a live event, via telephone, or through the mail).","{""Other Type"": {""endIndexInSegment"": 467, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Notice discloses the privacy practices of our website, mobile site or app (the \""Site\""). Specifically, it outlines the types of information that we gather about you while you are using the Site, and the ways in which we use and share this information. This Privacy Notice does not apply to any information you may provide to us, or that we may collect, offline and/or through other means (for example, at a live event, via telephone, or through the mail)."", ""value"": ""Introductory/Generic""}}",0,467
2,C873,3634,2,Policy Change,6,"Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified.","{""Change Type"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 224, ""selectedText"": ""Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 400, ""startIndexInSegment"": 333, ""selectedText"": ""in which case we'll post the revised Privacy Notice on this website"", ""value"": ""General notice on website""}}",224,576
3,C873,3634,2,Policy Change,6,"By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified.","{""Change Type"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 224, ""selectedText"": ""Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 400, ""startIndexInSegment"": 333, ""selectedText"": ""in which case we'll post the revised Privacy Notice on this website"", ""value"": ""General notice on website""}}",472,576
4,C873,3634,2,Policy Change,6,in which case we'll post the revised Privacy Notice on this website,"{""Change Type"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 224, ""selectedText"": ""Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 400, ""startIndexInSegment"": 333, ""selectedText"": ""in which case we'll post the revised Privacy Notice on this website"", ""value"": ""General notice on website""}}",333,400
5,C874,3634,2,Introductory/Generic,9,"lease read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service.","{""Other Type"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 1, ""selectedText"": ""lease read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service."", ""value"": ""Introductory/Generic""}}",1,223
6,3996,3634,2,Policy Change,6,"Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified.","{""Change Type"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 224, ""selectedText"": ""Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 471, ""startIndexInSegment"": 405, ""selectedText"": ""update the \""Last Updated\"" date to reflect the date of the changes."", ""value"": ""General notice in privacy policy""}}",224,576
7,3996,3634,2,Policy Change,6,"By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified.","{""Change Type"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 224, ""selectedText"": ""Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 471, ""startIndexInSegment"": 405, ""selectedText"": ""update the \""Last Updated\"" date to reflect the date of the changes."", ""value"": ""General notice in privacy policy""}}",472,576
8,3996,3634,2,Policy Change,6,"update the ""Last Updated"" date to reflect the date of the changes.","{""Change Type"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 224, ""selectedText"": ""Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 471, ""startIndexInSegment"": 405, ""selectedText"": ""update the \""Last Updated\"" date to reflect the date of the changes."", ""value"": ""General notice in privacy policy""}}",405,471
9,C876,3634,3,Privacy contact information,11,"Mark Faris Online Privacy Coordinator Gannett Law Department 7950 Jones Branch Drive McLean, VA 22107","{""Other Type"": {""endIndexInSegment"": 896, ""startIndexInSegment"": 755, ""selectedText"": ""Mark Faris Online Privacy Coordinator Gannett Law Department 7950 Jones Branch Drive McLean, VA 22107"", ""value"": ""Privacy contact information""}}",755,896
