,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1091,3848,0,Introductory/Generic,9,"EN: The Enthusiast Network (TEN or We or we) is strongly committed to protecting your privacy and providing a safe online experience for all of our users and subscribers while offering the highest quality publications and services to them. This Privacy Policy discloses what information we gather, how we use it, to whom we disclose personal information and other information you have provided, and how to correct or change personal information that you have provided to us. This Privacy Policy applies to TEN and all of its parent companies, subsidiaries, and affiliates. We urge you to read the complete Privacy Policy set forth below, as well as our Terms and Conditions of Use, and contact us if you have any questions.","{""Other Type"": {""selectedText"": ""EN: The Enthusiast Network (TEN or We or we) is strongly committed to protecting your privacy and providing a safe online experience for all of our users and subscribers while offering the highest quality publications and services to them. This Privacy Policy discloses what information we gather, how we use it, to whom we disclose personal information and other information you have provided, and how to correct or change personal information that you have provided to us. This Privacy Policy applies to TEN and all of its parent companies, subsidiaries, and affiliates. We urge you to read the complete Privacy Policy set forth below, as well as our Terms and Conditions of Use, and contact us if you have any questions."", ""startIndexInSegment"": 54, ""endIndexInSegment"": 777, ""value"": ""Introductory/Generic""}}",54,777
1,14461,3848,0,Data Security,5,TEN: The Enthusiast Network (TEN or We or we) is strongly committed to protecting your privacy and providing a safe online experience for all of our users and subscribers while offering the highest quality publications and services to them.,"{""Security Measure"": {""endIndexInSegment"": 293, ""startIndexInSegment"": 53, ""selectedText"": ""TEN: The Enthusiast Network (TEN or We or we) is strongly committed to protecting your privacy and providing a safe online experience for all of our users and subscribers while offering the highest quality publications and services to them."", ""value"": ""Generic""}}",53,293
2,C1092,3848,1,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""demographic information"", ""startIndexInSegment"": 177, ""endIndexInSegment"": 200, ""value"": ""Demographic""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""in a variety of situations"", ""startIndexInSegment"": 226, ""endIndexInSegment"": 252, ""value"": ""Unspecified""}}",77,87
3,C1092,3848,1,First Party Collection/Use,0,demographic information,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""demographic information"", ""startIndexInSegment"": 177, ""endIndexInSegment"": 200, ""value"": ""Demographic""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""in a variety of situations"", ""startIndexInSegment"": 226, ""endIndexInSegment"": 252, ""value"": ""Unspecified""}}",177,200
4,C1092,3848,1,First Party Collection/Use,0,in a variety of situations,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""demographic information"", ""startIndexInSegment"": 177, ""endIndexInSegment"": 200, ""value"": ""Demographic""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""in a variety of situations"", ""startIndexInSegment"": 226, ""endIndexInSegment"": 252, ""value"": ""Unspecified""}}",226,252
5,C1093,3848,1,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""uch as names, mailing addresses, e-mail addresses"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 175, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""in a variety of situations"", ""startIndexInSegment"": 226, ""endIndexInSegment"": 252, ""value"": ""Unspecified""}}",77,87
6,C1093,3848,1,First Party Collection/Use,0,"uch as names, mailing addresses, e-mail addresses","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""uch as names, mailing addresses, e-mail addresses"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 175, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""in a variety of situations"", ""startIndexInSegment"": 226, ""endIndexInSegment"": 252, ""value"": ""Unspecified""}}",126,175
7,C1093,3848,1,First Party Collection/Use,0,in a variety of situations,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""uch as names, mailing addresses, e-mail addresses"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 175, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""in a variety of situations"", ""startIndexInSegment"": 226, ""endIndexInSegment"": 252, ""value"": ""Unspecified""}}",226,252
8,15655,3848,1,First Party Collection/Use,0,when you subscribe to one of our magazines or place an order,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""when you subscribe to one of our magazines or place an order"", ""startIndexInSegment"": 302, ""endIndexInSegment"": 362, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""names, mailing addresses, e-mail addresses"", ""startIndexInSegment"": 133, ""endIndexInSegment"": 175, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 88, ""endIndexInSegment"": 123, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",302,362
9,15655,3848,1,First Party Collection/Use,0,"names, mailing addresses, e-mail addresses","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""when you subscribe to one of our magazines or place an order"", ""startIndexInSegment"": 302, ""endIndexInSegment"": 362, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""names, mailing addresses, e-mail addresses"", ""startIndexInSegment"": 133, ""endIndexInSegment"": 175, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 88, ""endIndexInSegment"": 123, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",133,175
