,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2460,3700,0,Introductory/Generic,9,"Our Promise to You Dallas County Community College District's (DCCCD) Privacy Commitment is based on two principles. We promise to: Comply with all the applicable local, state and federal laws and regulations; and Protect your privacy while still offering relevant, personalized service.","{""Other Type"": {""endIndexInSegment"": 358, ""startIndexInSegment"": 61, ""selectedText"": ""Our Promise to You Dallas County Community College District's (DCCCD) Privacy Commitment is based on two principles. We promise to: Comply with all the applicable local, state and federal laws and regulations; and Protect your privacy while still offering relevant, personalized service."", ""value"": ""Introductory/Generic""}}",61,358
1,14472,3700,0,Data Security,5,Protect your privacy,"{""Security Measure"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 285, ""selectedText"": ""Protect your privacy"", ""value"": ""Generic""}}",285,305
2,C2461,3700,1,Introductory/Generic,9,DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment.,"{""Other Type"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 0, ""selectedText"": ""DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment."", ""value"": ""Introductory/Generic""}}",0,253
3,7540,3700,1,Data Security,5,DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment.,"{""Security Measure"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 0, ""selectedText"": ""DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment."", ""value"": ""Privacy review/audit""}}",0,253
4,14475,3700,1,Practice not covered,10,bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA).,"{""Other Type"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 61, ""selectedText"": ""bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA)."", ""value"": ""Practice not covered""}}",61,159
5,C2462,3700,2,Introductory/Generic,9,Texas Public Information Act The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act.,"{""Other Type"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 9, ""selectedText"": ""Texas Public Information Act The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Introductory/Generic""}}",9,309
6,7541,3700,2,First Party Collection/Use,0,Most information kept by a public body is public under the Act.,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 200, ""selectedText"": ""Most information kept by a public body is public under the Act."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 114, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 58, ""selectedText"": ""The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Legal requirement""}}",200,263
7,7541,3700,2,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 200, ""selectedText"": ""Most information kept by a public body is public under the Act."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 114, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 58, ""selectedText"": ""The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Legal requirement""}}",114,125
8,7541,3700,2,First Party Collection/Use,0,The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act.,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 200, ""selectedText"": ""Most information kept by a public body is public under the Act."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 114, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 58, ""selectedText"": ""The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Legal requirement""}}",58,309
9,7542,3700,2,Data Retention,4,information,"{""Personal Information Type"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 114, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Retention Period"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 200, ""selectedText"": ""Most information kept by a public body is public under the Act."", ""value"": ""Unspecified""}, ""Retention Purpose"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 58, ""selectedText"": ""The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Legal requirement""}}",114,125
10,7542,3700,2,Data Retention,4,Most information kept by a public body is public under the Act.,"{""Personal Information Type"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 114, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Retention Period"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 200, ""selectedText"": ""Most information kept by a public body is public under the Act."", ""value"": ""Unspecified""}, ""Retention Purpose"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 58, ""selectedText"": ""The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Legal requirement""}}",200,263
11,7542,3700,2,Data Retention,4,The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act.,"{""Personal Information Type"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 114, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Retention Period"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 200, ""selectedText"": ""Most information kept by a public body is public under the Act."", ""value"": ""Unspecified""}, ""Retention Purpose"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 58, ""selectedText"": ""The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Legal requirement""}}",58,309
12,C2463,3700,3,Introductory/Generic,9,"Family Education Rights and Privacy Act of 1974 (FERPA) FERPA protects educational records of a student from public disclosure without written permission of the student. Although many exceptions to the Act exist, the exceptions are very limited. The Department of Education enforces this Act.","{""Other Type"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 9, ""selectedText"": ""Family Education Rights and Privacy Act of 1974 (FERPA) FERPA protects educational records of a student from public disclosure without written permission of the student. Although many exceptions to the Act exist, the exceptions are very limited. The Department of Education enforces this Act."", ""value"": ""Introductory/Generic""}}",9,321
13,7543,3700,3,Data Security,5,"Family Education Rights and Privacy Act of 1974 (FERPA) FERPA protects educational records of a student from public disclosure without written permission of the student. Although many exceptions to the Act exist, the exceptions are very limited. The Department of Education enforces this Act.","{""Security Measure"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 9, ""selectedText"": ""Family Education Rights and Privacy Act of 1974 (FERPA) FERPA protects educational records of a student from public disclosure without written permission of the student. Although many exceptions to the Act exist, the exceptions are very limited. The Department of Education enforces this Act."", ""value"": ""Other""}}",9,321
14,C2464,3700,4,Third Party Sharing/Collection,1,the general public,"{""Third Party Entity"": {""endIndexInSegment"": 216, ""startIndexInSegment"": 198, ""selectedText"": ""the general public"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 133, ""selectedText"": ""may release information"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 105, ""selectedText"": ""to comply with FERPA"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 303, ""selectedText"": ""name; </li> </ul> <ul> <li> home address; </li> </ul> <ul> <li> home telephone number; </li> </ul> <ul> <li> email addresses;"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 58, ""selectedText"": ""you request that your information be withheld"", ""value"": ""Opt-out via contacting company""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 133, ""selectedText"": ""may release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 127, ""selectedText"": ""DCCCD may release information"", ""value"": ""Receive/Shared with""}}",198,216
15,C2464,3700,4,Third Party Sharing/Collection,1,may release information,"{""Third Party Entity"": {""endIndexInSegment"": 216, ""startIndexInSegment"": 198, ""selectedText"": ""the general public"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 133, ""selectedText"": ""may release information"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 105, ""selectedText"": ""to comply with FERPA"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 303, ""selectedText"": ""name; </li> </ul> <ul> <li> home address; </li> </ul> <ul> <li> home telephone number; </li> </ul> <ul> <li> email addresses;"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 58, ""selectedText"": ""you request that your information be withheld"", ""value"": ""Opt-out via contacting company""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 133, ""selectedText"": ""may release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 127, ""selectedText"": ""DCCCD may release information"", ""value"": ""Receive/Shared with""}}",133,156
16,C2464,3700,4,Third Party Sharing/Collection,1,to comply with FERPA,"{""Third Party Entity"": {""endIndexInSegment"": 216, ""startIndexInSegment"": 198, ""selectedText"": ""the general public"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 133, ""selectedText"": ""may release information"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 105, ""selectedText"": ""to comply with FERPA"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 303, ""selectedText"": ""name; </li> </ul> <ul> <li> home address; </li> </ul> <ul> <li> home telephone number; </li> </ul> <ul> <li> email addresses;"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 58, ""selectedText"": ""you request that your information be withheld"", ""value"": ""Opt-out via contacting company""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 133, ""selectedText"": ""may release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 127, ""selectedText"": ""DCCCD may release information"", ""value"": ""Receive/Shared with""}}",105,125
