,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2542,3732,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy"", ""value"": ""Introductory/Generic""}}",0,14
1,C2543,3732,1,First Party Collection/Use,0,"In some areas, however, you may choose services that require you to provide us with information by which you can be identified.","{""Collection Mode"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 279, ""selectedText"": ""nformation by which you can be identified."", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",194,321
2,C2543,3732,1,First Party Collection/Use,0,"In some areas, however, you may choose services that require you to provide us with information by which you can be identified.","{""Collection Mode"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 279, ""selectedText"": ""nformation by which you can be identified."", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",194,321
3,C2543,3732,1,First Party Collection/Use,0,nformation by which you can be identified.,"{""Collection Mode"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 279, ""selectedText"": ""nformation by which you can be identified."", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",279,321
4,C2543,3732,1,First Party Collection/Use,0,"In some areas, however, you may choose services that require you to provide us with information by which you can be identified.","{""Collection Mode"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 279, ""selectedText"": ""nformation by which you can be identified."", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 194, ""selectedText"": ""In some areas, however, you may choose services that require you to provide us with information by which you can be identified."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",194,321
5,C2544,3732,1,Introductory/Generic,9,"The GW Medical Faculty Associates (MFA) is committed to respecting your privacy. In general, you can visit The MFA on the Web without identifying yourself or revealing any personal information. In some areas, however, you may choose services that require you to provide us with information by which you can be identified. Once any personally identifiable information is received, you can be assured that it will only be used to support your relationship with the MFA.","{""Other Type"": {""endIndexInSegment"": 467, ""startIndexInSegment"": 0, ""selectedText"": ""The GW Medical Faculty Associates (MFA) is committed to respecting your privacy. In general, you can visit The MFA on the Web without identifying yourself or revealing any personal information. In some areas, however, you may choose services that require you to provide us with information by which you can be identified. Once any personally identifiable information is received, you can be assured that it will only be used to support your relationship with the MFA."", ""value"": ""Introductory/Generic""}}",0,467
6,C2545,3732,2,First Party Collection/Use,0,"Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you.","{""Collection Mode"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 120, ""selectedText"": ""Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 13, ""selectedText"": ""the information collected from you"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 120, ""selectedText"": ""Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 230, ""selectedText"": ""to personalize our website for you."", ""value"": ""Personalization/Customization""}}",120,265
7,C2545,3732,2,First Party Collection/Use,0,the information collected from you,"{""Collection Mode"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 120, ""selectedText"": ""Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 13, ""selectedText"": ""the information collected from you"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 120, ""selectedText"": ""Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 230, ""selectedText"": ""to personalize our website for you."", ""value"": ""Personalization/Customization""}}",13,47
8,C2545,3732,2,First Party Collection/Use,0,"Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you.","{""Collection Mode"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 120, ""selectedText"": ""Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 13, ""selectedText"": ""the information collected from you"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 120, ""selectedText"": ""Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 230, ""selectedText"": ""to personalize our website for you."", ""value"": ""Personalization/Customization""}}",120,265
9,C2545,3732,2,First Party Collection/Use,0,to personalize our website for you.,"{""Collection Mode"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 120, ""selectedText"": ""Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 13, ""selectedText"": ""the information collected from you"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 120, ""selectedText"": ""Specifically, we use your information to communicate back to you, to update you on services and benefits, and to personalize our website for you."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 230, ""selectedText"": ""to personalize our website for you."", ""value"": ""Personalization/Customization""}}",230,265
