,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2548,3701,0,Introductory/Generic,9,Web Privacy Statement,"{""Other Type"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 9, ""selectedText"": ""Web Privacy Statement"", ""value"": ""Introductory/Generic""}}",9,30
1,C2549,3701,1,Third Party Sharing/Collection,1,share,"{""Third Party Entity"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 112, ""selectedText"": ""share"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 138, ""startIndexInSegment"": 118, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 102, ""startIndexInSegment"": 96, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 112, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",112,117
2,C2549,3701,1,Third Party Sharing/Collection,1,personal information,"{""Third Party Entity"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 112, ""selectedText"": ""share"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 138, ""startIndexInSegment"": 118, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 102, ""startIndexInSegment"": 96, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 112, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",118,138
3,C2549,3701,1,Third Party Sharing/Collection,1,share,"{""Third Party Entity"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 112, ""selectedText"": ""share"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 138, ""startIndexInSegment"": 118, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 102, ""startIndexInSegment"": 96, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 112, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",112,117
4,C2549,3701,1,Third Party Sharing/Collection,1,do not,"{""Third Party Entity"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 112, ""selectedText"": ""share"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 138, ""startIndexInSegment"": 118, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 102, ""startIndexInSegment"": 96, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 112, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",96,102
5,C2550,3701,1,First Party Collection/Use,0,from the ACC web site,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 264, ""startIndexInSegment"": 243, ""selectedText"": ""from the ACC web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 320, ""selectedText"": ""information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 242, ""startIndexInSegment"": 221, ""selectedText"": ""information collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 536, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release information."", ""value"": ""Legal requirement""}}",243,264
6,C2550,3701,1,First Party Collection/Use,0,information collected from Web-based forms,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 264, ""startIndexInSegment"": 243, ""selectedText"": ""from the ACC web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 320, ""selectedText"": ""information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 242, ""startIndexInSegment"": 221, ""selectedText"": ""information collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 536, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release information."", ""value"": ""Legal requirement""}}",320,362
7,C2550,3701,1,First Party Collection/Use,0,information collected,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 264, ""startIndexInSegment"": 243, ""selectedText"": ""from the ACC web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 320, ""selectedText"": ""information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 242, ""startIndexInSegment"": 221, ""selectedText"": ""information collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 536, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release information."", ""value"": ""Legal requirement""}}",221,242
8,C2550,3701,1,First Party Collection/Use,0,we may be compelled by Open Records law to release information.,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 264, ""startIndexInSegment"": 243, ""selectedText"": ""from the ACC web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 320, ""selectedText"": ""information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 242, ""startIndexInSegment"": 221, ""selectedText"": ""information collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 536, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release information."", ""value"": ""Legal requirement""}}",473,536
9,4569,3701,1,Introductory/Generic,9,Austin Community College (ACC) is committed to ensuring the privacy of personal information.,"{""Other Type"": {""endIndexInSegment"": 92, ""startIndexInSegment"": 0, ""selectedText"": ""Austin Community College (ACC) is committed to ensuring the privacy of personal information."", ""value"": ""Introductory/Generic""}}",0,92
10,4571,3701,1,Third Party Sharing/Collection,1,Open Records law to release information,"{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 276, ""selectedText"": ""summary server log information"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",496,535
11,4571,3701,1,Third Party Sharing/Collection,1,Open Records law,"{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 276, ""selectedText"": ""summary server log information"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",496,512
12,4571,3701,1,Third Party Sharing/Collection,1,summary server log information,"{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 276, ""selectedText"": ""summary server log information"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",276,306
13,4571,3701,1,Third Party Sharing/Collection,1,"including summary server log information, emails, and information collected from Web-based forms","{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 276, ""selectedText"": ""summary server log information"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",266,362
14,4571,3701,1,Third Party Sharing/Collection,1,release,"{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 276, ""selectedText"": ""summary server log information"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",516,523
15,4571,3701,1,Third Party Sharing/Collection,1,we may be compelled by Open Records law to release,"{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 276, ""selectedText"": ""summary server log information"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",473,523
