,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3564,3907,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""selectedText"": ""Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 14, ""value"": ""Introductory/Generic""}}",0,14
1,C3565,3907,1,Introductory/Generic,9,"Cincymuseum.org and all other websites and/or domains hosted in conjunction with this domain (the ""Site"") are services of Cincinnati Museum Center (CMC), a non-profit organization based in Cincinnati, OH.","{""Other Type"": {""selectedText"": ""Cincymuseum.org and all other websites and/or domains hosted in conjunction with this domain (the \""Site\"") are services of Cincinnati Museum Center (CMC), a non-profit organization based in Cincinnati, OH."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 204, ""value"": ""Introductory/Generic""}}",0,204
2,C3566,3907,2,Policy Change,6,"Please review this privacy policy periodically as we may update it from time to time. This privacy policy was last revised per the date listed below. Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time.","{""Change Type"": {""selectedText"": ""Please review this privacy policy periodically as we may update it from time to time. This privacy policy was last revised per the date listed below. Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time."", ""startIndexInSegment"": 283, ""endIndexInSegment"": 584, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time."", ""startIndexInSegment"": 433, ""endIndexInSegment"": 584, ""value"": ""User participation""}, ""Notification Type"": {""selectedText"": ""This privacy policy was last revised per the date listed below."", ""startIndexInSegment"": 369, ""endIndexInSegment"": 432, ""value"": ""General notice in privacy policy""}}",283,584
3,C3566,3907,2,Policy Change,6,"Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time.","{""Change Type"": {""selectedText"": ""Please review this privacy policy periodically as we may update it from time to time. This privacy policy was last revised per the date listed below. Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time."", ""startIndexInSegment"": 283, ""endIndexInSegment"": 584, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time."", ""startIndexInSegment"": 433, ""endIndexInSegment"": 584, ""value"": ""User participation""}, ""Notification Type"": {""selectedText"": ""This privacy policy was last revised per the date listed below."", ""startIndexInSegment"": 369, ""endIndexInSegment"": 432, ""value"": ""General notice in privacy policy""}}",433,584
4,C3566,3907,2,Policy Change,6,This privacy policy was last revised per the date listed below.,"{""Change Type"": {""selectedText"": ""Please review this privacy policy periodically as we may update it from time to time. This privacy policy was last revised per the date listed below. Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time."", ""startIndexInSegment"": 283, ""endIndexInSegment"": 584, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time."", ""startIndexInSegment"": 433, ""endIndexInSegment"": 584, ""value"": ""User participation""}, ""Notification Type"": {""selectedText"": ""This privacy policy was last revised per the date listed below."", ""startIndexInSegment"": 369, ""endIndexInSegment"": 432, ""value"": ""General notice in privacy policy""}}",369,432
5,C3567,3907,2,Introductory/Generic,9,"Cincinnati Museum Center has created this privacy policy to demonstrate our firm commitment to protecting your information and informing you about how we handle your information. This privacy policy applies to all interactions with, transactions made, and data gathered on the Site. Please review this privacy policy periodically as we may update it from time to time. This privacy policy was last revised per the date listed below. Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time.","{""Other Type"": {""selectedText"": ""Cincinnati Museum Center has created this privacy policy to demonstrate our firm commitment to protecting your information and informing you about how we handle your information. This privacy policy applies to all interactions with, transactions made, and data gathered on the Site. Please review this privacy policy periodically as we may update it from time to time. This privacy policy was last revised per the date listed below. Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 584, ""value"": ""Introductory/Generic""}}",0,584
6,20379,3907,2,Data Security,5,firm commitment to protecting your information and informing you about how we handle your information,"{""Security Measure"": {""selectedText"": ""firm commitment to protecting your information and informing you about how we handle your information"", ""startIndexInSegment"": 76, ""endIndexInSegment"": 177, ""value"": ""Generic""}}",76,177
7,20261,3907,2,Practice not covered,10,"Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time.","{""Other Type"": {""selectedText"": ""Each time you visit the Site or provide us with information, by doing so you are accepting the practices described in this privacy policy at that time."", ""startIndexInSegment"": 433, ""endIndexInSegment"": 584, ""value"": ""Practice not covered""}}",433,584
8,C3568,3907,3,First Party Collection/Use,0,automatically,"{""Collection Mode"": {""selectedText"": ""automatically"", ""startIndexInSegment"": 98, ""endIndexInSegment"": 111, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""we automatically collect"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 119, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""your IP address"", ""startIndexInSegment"": 120, ""endIndexInSegment"": 135, ""value"": ""IP address and device IDs""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""in order to administer and optimize the Site for you and to diagnose problems with our Site, and, in certain cases, to help identify you."", ""startIndexInSegment"": 197, ""endIndexInSegment"": 334, ""value"": ""Service Operation and Security""}}",98,111
9,C3568,3907,3,First Party Collection/Use,0,we automatically collect,"{""Collection Mode"": {""selectedText"": ""automatically"", ""startIndexInSegment"": 98, ""endIndexInSegment"": 111, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""we automatically collect"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 119, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""your IP address"", ""startIndexInSegment"": 120, ""endIndexInSegment"": 135, ""value"": ""IP address and device IDs""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""in order to administer and optimize the Site for you and to diagnose problems with our Site, and, in certain cases, to help identify you."", ""startIndexInSegment"": 197, ""endIndexInSegment"": 334, ""value"": ""Service Operation and Security""}}",95,119
