,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2795,3822,0,Introductory/Generic,9,Privacy Statement,"{""Other Type"": {""endIndexInSegment"": 17, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Statement"", ""value"": ""Introductory/Generic""}}",0,17
1,C2796,3822,1,Policy Change,6,we make material changes,"{""Change Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 469, ""selectedText"": ""we make material changes"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 514, ""selectedText"": ""we will announce them"", ""value"": ""Other""}}",469,493
2,C2796,3822,1,Policy Change,6,we will announce them,"{""Change Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 469, ""selectedText"": ""we make material changes"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 514, ""selectedText"": ""we will announce them"", ""value"": ""Other""}}",514,535
3,C2797,3822,1,Policy Change,6,we make material changes,"{""Change Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 469, ""selectedText"": ""we make material changes"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 560, ""startIndexInSegment"": 540, ""selectedText"": ""notify you via email"", ""value"": ""Personal notice""}}",469,493
4,C2797,3822,1,Policy Change,6,notify you via email,"{""Change Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 469, ""selectedText"": ""we make material changes"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 560, ""startIndexInSegment"": 540, ""selectedText"": ""notify you via email"", ""value"": ""Personal notice""}}",540,560
5,10123,3822,1,Introductory/Generic,9,"The Motley Fool, LLC (""The Motley Fool"" or ""we"" or ""us"") is committed to protecting and respecting your privacy. This Privacy Statement sets out our privacy practices and explains what we do with the personal information that we collect from you on www.fool.com. Please read the following to understand our practices regarding personal information and how they affect you as you use our features and services. This statement discloses our current privacy practices;","{""Other Type"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 0, ""selectedText"": ""The Motley Fool, LLC (\""The Motley Fool\"" or \""we\"" or \""us\"") is committed to protecting and respecting your privacy. This Privacy Statement sets out our privacy practices and explains what we do with the personal information that we collect from you on www.fool.com. Please read the following to understand our practices regarding personal information and how they affect you as you use our features and services. This statement discloses our current privacy practices;"", ""value"": ""Introductory/Generic""}}",0,465
6,10788,3822,1,Data Security,5,"The Motley Fool, LLC (""The Motley Fool"" or ""we"" or ""us"") is committed to protecting and respecting your privacy.","{""Security Measure"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 0, ""selectedText"": ""The Motley Fool, LLC (\""The Motley Fool\"" or \""we\"" or \""us\"") is committed to protecting and respecting your privacy."", ""value"": ""Generic""}}",0,112
7,10789,3822,1,Introductory/Generic,9,his Privacy Statement sets out our privacy practices and explains what we do with the personal information that we collect from you on www.fool.com.,"{""Other Type"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 114, ""selectedText"": ""his Privacy Statement sets out our privacy practices and explains what we do with the personal information that we collect from you on www.fool.com."", ""value"": ""Introductory/Generic""}}",114,262
8,12142,3822,1,Policy Change,6,if we make material changes to these practices,"{""Change Type"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 466, ""selectedText"": ""if we make material changes to these practices"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 560, ""startIndexInSegment"": 514, ""selectedText"": ""we will announce them and notify you via email"", ""value"": ""Personal notice""}}",466,512
9,12142,3822,1,Policy Change,6,we will announce them and notify you via email,"{""Change Type"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 466, ""selectedText"": ""if we make material changes to these practices"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 560, ""startIndexInSegment"": 514, ""selectedText"": ""we will announce them and notify you via email"", ""value"": ""Personal notice""}}",514,560
