,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2853,3740,0,Introductory/Generic,9,Zacks Investment Research Privacy Policy,"{""Other Type"": {""selectedText"": ""Zacks Investment Research Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 59, ""value"": ""Introductory/Generic""}}",0,59
1,C2854,3740,1,First Party Collection/Use,0,The information you may choose to provide,"{""Collection Mode"": {""endIndexInSegment"": 290, ""startIndexInSegment"": 249, ""selectedText"": ""The information you may choose to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 383, ""selectedText"": ""In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",249,290
2,C2854,3740,1,First Party Collection/Use,0,"email address, name, postal address, and phone number.","{""Collection Mode"": {""endIndexInSegment"": 290, ""startIndexInSegment"": 249, ""selectedText"": ""The information you may choose to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 383, ""selectedText"": ""In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",329,383
3,C2854,3740,1,First Party Collection/Use,0,"In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings.","{""Collection Mode"": {""endIndexInSegment"": 290, ""startIndexInSegment"": 249, ""selectedText"": ""The information you may choose to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 383, ""selectedText"": ""In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",383,595
4,C2855,3740,1,Introductory/Generic,9,"Since our inception in 1978, we have sought to have long-term relationships with our customers. Thus, we do not wish to profit from the unwanted distribution of your private information or to inundate you with unnecessary e-mails or other material.","{""Other Type"": {""selectedText"": ""Since our inception in 1978, we have sought to have long-term relationships with our customers. Thus, we do not wish to profit from the unwanted distribution of your private information or to inundate you with unnecessary e-mails or other material."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 248, ""value"": ""Introductory/Generic""}}",0,248
5,13760,3740,1,Third Party Sharing/Collection,1,third party,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 401, ""selectedText"": ""disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Both""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 393, ""selectedText"": ""we only disclose the information you provide us or send you information if you authorize us to do so"", ""value"": ""Receive/Shared with""}}",574,585
6,13760,3740,1,Third Party Sharing/Collection,1,disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings.,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 401, ""selectedText"": ""disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Both""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 393, ""selectedText"": ""we only disclose the information you provide us or send you information if you authorize us to do so"", ""value"": ""Receive/Shared with""}}",401,595
7,13760,3740,1,Third Party Sharing/Collection,1,"email address, name, postal address, and phone number.","{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 401, ""selectedText"": ""disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Both""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 393, ""selectedText"": ""we only disclose the information you provide us or send you information if you authorize us to do so"", ""value"": ""Receive/Shared with""}}",329,383
8,13760,3740,1,Third Party Sharing/Collection,1,if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings.,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 401, ""selectedText"": ""disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Both""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 393, ""selectedText"": ""we only disclose the information you provide us or send you information if you authorize us to do so"", ""value"": ""Receive/Shared with""}}",465,595
9,13760,3740,1,Third Party Sharing/Collection,1,we only disclose the information you provide us or send you information if you authorize us to do so,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 401, ""selectedText"": ""disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Both""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 393, ""selectedText"": ""we only disclose the information you provide us or send you information if you authorize us to do so"", ""value"": ""Receive/Shared with""}}",393,493
