,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3109,3734,0,Introductory/Generic,9,This statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech.,"{""Other Type"": {""endIndexInSegment"": 307, ""startIndexInSegment"": 177, ""selectedText"": ""This statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech."", ""value"": ""Introductory/Generic""}}",177,307
1,12467,3734,0,Data Security,5,"Chase Paymentech Solutions, LLC is committed to safeguarding the privacy and security of the information we collect.","{""Security Measure"": {""endIndexInSegment"": 176, ""startIndexInSegment"": 60, ""selectedText"": ""Chase Paymentech Solutions, LLC is committed to safeguarding the privacy and security of the information we collect."", ""value"": ""Generic""}}",60,176
2,C3110,3734,1,Introductory/Generic,9,"Chase Paymentech Solutions, LLC and its operating entity Paymentech, LLC (collectively, ""Chase Paymentech"") are committed to safeguarding the privacy and security of the information we collect. This Privacy Statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech. This Privacy Statement covers the services provided by Chase Paymentech to our merchant customers, including merchant customers using the Chase Mobile Checkout application.","{""Other Type"": {""selectedText"": ""Chase Paymentech Solutions, LLC and its operating entity Paymentech, LLC (collectively, \""Chase Paymentech\"") are committed to safeguarding the privacy and security of the information we collect. This Privacy Statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech. This Privacy Statement covers the services provided by Chase Paymentech to our merchant customers, including merchant customers using the Chase Mobile Checkout application."", ""startIndexInSegment"": 64, ""endIndexInSegment"": 569, ""value"": ""Introductory/Generic""}}",64,569
3,12476,3734,1,Data Security,5,"Commitment to Privacy and Security Chase Paymentech Solutions, LLC and its operating entity Paymentech, LLC (collectively, ""Chase Paymentech"") are committed to safeguarding the privacy and security of the information we collect. This Privacy Statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech. This Privacy Statement covers the services provided by Chase Paymentech to our merchant customers, including merchant customers using the Chase Mobile Checkout application.","{""Security Measure"": {""endIndexInSegment"": 569, ""startIndexInSegment"": 9, ""selectedText"": ""Commitment to Privacy and Security Chase Paymentech Solutions, LLC and its operating entity Paymentech, LLC (collectively, \""Chase Paymentech\"") are committed to safeguarding the privacy and security of the information we collect. This Privacy Statement explains the policies we follow with respect to the handling of customer information collected by Chase Paymentech. This Privacy Statement covers the services provided by Chase Paymentech to our merchant customers, including merchant customers using the Chase Mobile Checkout application."", ""value"": ""Generic""}}",9,569
4,C3111,3734,2,First Party Collection/Use,0,we receive from our Merchants,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""we receive from our Merchants"", ""startIndexInSegment"": 1026, ""endIndexInSegment"": 1055, ""value"": ""Receive from other service/third-party (named)""}, ""Personal Information Type"": {""selectedText"": ""name, address"", ""startIndexInSegment"": 1142, ""endIndexInSegment"": 1155, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we receive"", ""startIndexInSegment"": 1026, ""endIndexInSegment"": 1036, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""about their customers or applicants"", ""startIndexInSegment"": 1099, ""endIndexInSegment"": 1134, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1026,1055
5,C3111,3734,2,First Party Collection/Use,0,"name, address","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""we receive from our Merchants"", ""startIndexInSegment"": 1026, ""endIndexInSegment"": 1055, ""value"": ""Receive from other service/third-party (named)""}, ""Personal Information Type"": {""selectedText"": ""name, address"", ""startIndexInSegment"": 1142, ""endIndexInSegment"": 1155, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we receive"", ""startIndexInSegment"": 1026, ""endIndexInSegment"": 1036, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""about their customers or applicants"", ""startIndexInSegment"": 1099, ""endIndexInSegment"": 1134, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1142,1155
6,C3111,3734,2,First Party Collection/Use,0,we receive,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""we receive from our Merchants"", ""startIndexInSegment"": 1026, ""endIndexInSegment"": 1055, ""value"": ""Receive from other service/third-party (named)""}, ""Personal Information Type"": {""selectedText"": ""name, address"", ""startIndexInSegment"": 1142, ""endIndexInSegment"": 1155, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we receive"", ""startIndexInSegment"": 1026, ""endIndexInSegment"": 1036, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""about their customers or applicants"", ""startIndexInSegment"": 1099, ""endIndexInSegment"": 1134, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1026,1036
7,C3111,3734,2,First Party Collection/Use,0,about their customers or applicants,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""we receive from our Merchants"", ""startIndexInSegment"": 1026, ""endIndexInSegment"": 1055, ""value"": ""Receive from other service/third-party (named)""}, ""Personal Information Type"": {""selectedText"": ""name, address"", ""startIndexInSegment"": 1142, ""endIndexInSegment"": 1155, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we receive"", ""startIndexInSegment"": 1026, ""endIndexInSegment"": 1036, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""about their customers or applicants"", ""startIndexInSegment"": 1099, ""endIndexInSegment"": 1134, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1099,1134
8,C3112,3734,2,Data Security,5,hase Paymentech understands that such information is sensitive and takes appropriate steps to protect the confidentiality and security of all information collected by Chase Paymentech in accordance with this Privacy Statement.,"{""Security Measure"": {""endIndexInSegment"": 1524, ""startIndexInSegment"": 1298, ""selectedText"": ""hase Paymentech understands that such information is sensitive and takes appropriate steps to protect the confidentiality and security of all information collected by Chase Paymentech in accordance with this Privacy Statement."", ""value"": ""Generic""}}",1298,1524
9,8822,3734,2,First Party Collection/Use,0,"Chase Paymentech does not have direct relationships with, or collect information directly from, individual consumers other than in their capacity as owners or operators of a commercial enterprise.","{""Collection Mode"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 399, ""selectedText"": ""Chase Paymentech does not have direct relationships with, or collect information directly from, individual consumers other than in their capacity as owners or operators of a commercial enterprise."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 692, ""startIndexInSegment"": 399, ""selectedText"": ""Chase Paymentech does not have direct relationships with, or collect information directly from, individual consumers other than in their capacity as owners or operators of a commercial enterprise. Chase Paymentech does not provide services for consumer, personal, family or household purposes."", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 424, ""startIndexInSegment"": 416, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",399,595
