,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1716,3733,1,Introductory/Generic,9,"Thank you for visiting Fortune, or using our mobile device applications (the ""Apps"") or other services (together with the Apps, the ""Services""), Services within the network of Time Inc. and its subsidiaries, each of which have adopted this Privacy Policy. Your privacy is important to us. To better protect your privacy, we provide this notice explaining our information practices and the choices you can make about the way your information is collected and used by Time Inc. and its subsidiaries. Click here for a list of the sites of Time Inc. and its subsidiaries which are governed by this Privacy Notice.","{""Other Type"": {""endIndexInSegment"": 609, ""startIndexInSegment"": 0, ""selectedText"": ""Thank you for visiting Fortune, or using our mobile device applications (the \""Apps\"") or other services (together with the Apps, the \""Services\""), Services within the network of Time Inc. and its subsidiaries, each of which have adopted this Privacy Policy. Your privacy is important to us. To better protect your privacy, we provide this notice explaining our information practices and the choices you can make about the way your information is collected and used by Time Inc. and its subsidiaries. Click here for a list of the sites of Time Inc. and its subsidiaries which are governed by this Privacy Notice."", ""value"": ""Introductory/Generic""}}",0,609
1,10885,3733,1,Data Security,5,Your privacy is important to us.,"{""Security Measure"": {""endIndexInSegment"": 288, ""startIndexInSegment"": 256, ""selectedText"": ""Your privacy is important to us."", ""value"": ""Generic""}}",256,288
2,C1717,3733,2,First Party Collection/Use,0,our personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested.,"{""Collection Mode"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 422, ""selectedText"": ""our personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 461, ""startIndexInSegment"": 421, ""selectedText"": ""Your personally identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 426, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 419, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media, you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities"", ""value"": ""Additional service/feature""}}",422,580
3,C1717,3733,2,First Party Collection/Use,0,"Through Time Inc. publications, websites, and other media,","{""Collection Mode"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 422, ""selectedText"": ""our personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 461, ""startIndexInSegment"": 421, ""selectedText"": ""Your personally identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 426, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 419, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media, you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities"", ""value"": ""Additional service/feature""}}",56,114
4,C1717,3733,2,First Party Collection/Use,0,Your personally identifiable information,"{""Collection Mode"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 422, ""selectedText"": ""our personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 461, ""startIndexInSegment"": 421, ""selectedText"": ""Your personally identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 426, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 419, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media, you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities"", ""value"": ""Additional service/feature""}}",421,461
5,C1717,3733,2,First Party Collection/Use,0,personally identifiable,"{""Collection Mode"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 422, ""selectedText"": ""our personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 461, ""startIndexInSegment"": 421, ""selectedText"": ""Your personally identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 426, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 419, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media, you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities"", ""value"": ""Additional service/feature""}}",426,449
6,C1717,3733,2,First Party Collection/Use,0,"Through Time Inc. publications, websites, and other media, you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities","{""Collection Mode"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 422, ""selectedText"": ""our personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 461, ""startIndexInSegment"": 421, ""selectedText"": ""Your personally identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 426, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 419, ""startIndexInSegment"": 56, ""selectedText"": ""Through Time Inc. publications, websites, and other media, you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities"", ""value"": ""Additional service/feature""}}",56,419
7,C1718,3733,2,First Party Collection/Use,0,"Through Time Inc. publications, websites, and other media,","{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""Through Time Inc. publications, websites, and other media,"", ""startIndexInSegment"": 56, ""endIndexInSegment"": 114, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""credit or debit card information."", ""startIndexInSegment"": 785, ""endIndexInSegment"": 818, ""value"": ""Financial""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 437, ""endIndexInSegment"": 449, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities. Your personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested."", ""startIndexInSegment"": 115, ""endIndexInSegment"": 580, ""value"": ""Additional service/feature""}}",56,114
8,C1718,3733,2,First Party Collection/Use,0,credit or debit card information.,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""Through Time Inc. publications, websites, and other media,"", ""startIndexInSegment"": 56, ""endIndexInSegment"": 114, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""credit or debit card information."", ""startIndexInSegment"": 785, ""endIndexInSegment"": 818, ""value"": ""Financial""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 437, ""endIndexInSegment"": 449, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities. Your personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested."", ""startIndexInSegment"": 115, ""endIndexInSegment"": 580, ""value"": ""Additional service/feature""}}",785,818
9,C1718,3733,2,First Party Collection/Use,0,identifiable,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""Through Time Inc. publications, websites, and other media,"", ""startIndexInSegment"": 56, ""endIndexInSegment"": 114, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""credit or debit card information."", ""startIndexInSegment"": 785, ""endIndexInSegment"": 818, ""value"": ""Financial""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 437, ""endIndexInSegment"": 449, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""you can order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communities. Your personally identifiable information may be required to engage in these activities as well as to receive products and services that you may have requested."", ""startIndexInSegment"": 115, ""endIndexInSegment"": 580, ""value"": ""Additional service/feature""}}",437,449
