,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3994,3716,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""selectedText"": ""Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 14, ""value"": ""Introductory/Generic""}}",0,14
1,C3995,3716,1,Other,0,"This Privacy Policy is effective as of February 15, 2012.","{""Other Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 50, ""selectedText"": ""This Privacy Policy is effective as of February 15, 2012."", ""value"": ""Other""}}",50,107
2,C3996,3716,2,Introductory/Generic,9,"This Privacy Policy describes the practices that Miami New Times, LLC (""Miami New Times"") follows with respect to the collection, maintenance and use of information submitted on miaminewtimes.com (the ""Site""). This Privacy Policy applies only to information we collect from this Site, and does not apply to any other website or business activity of Miami New Times.","{""Other Type"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy describes the practices that Miami New Times, LLC (\""Miami New Times\"") follows with respect to the collection, maintenance and use of information submitted on miaminewtimes.com (the \""Site\""). This Privacy Policy applies only to information we collect from this Site, and does not apply to any other website or business activity of Miami New Times."", ""value"": ""Introductory/Generic""}}",0,365
3,10320,3716,2,User Choice/Control,2,"By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us.","{""Choice Type"": {""endIndexInSegment"": 498, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 498, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us."", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 420, ""startIndexInSegment"": 392, ""selectedText"": ""providing information to us,"", ""value"": ""Unspecified""}}",366,498
4,10320,3716,2,User Choice/Control,2,"By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us.","{""Choice Type"": {""endIndexInSegment"": 498, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 498, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us."", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 420, ""startIndexInSegment"": 392, ""selectedText"": ""providing information to us,"", ""value"": ""Unspecified""}}",366,498
5,10320,3716,2,User Choice/Control,2,By using our Site,"{""Choice Type"": {""endIndexInSegment"": 498, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 498, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us."", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 420, ""startIndexInSegment"": 392, ""selectedText"": ""providing information to us,"", ""value"": ""Unspecified""}}",366,383
6,10320,3716,2,User Choice/Control,2,"providing information to us,","{""Choice Type"": {""endIndexInSegment"": 498, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 498, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site, and/or providing information to us, you consent to the collection, maintenance and use of this information by us."", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 366, ""selectedText"": ""By using our Site"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 420, ""startIndexInSegment"": 392, ""selectedText"": ""providing information to us,"", ""value"": ""Unspecified""}}",392,420
7,C3997,3716,3,Policy Change,6,We reserve the right to modify or amend the terms of this Privacy Policy from time to time.,"{""Change Type"": {""endIndexInSegment"": 197, ""startIndexInSegment"": 106, ""selectedText"": ""We reserve the right to modify or amend the terms of this Privacy Policy from time to time."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 198, ""selectedText"": ""Your continued use of the Site following the posting of changes to these terms means that you accept those changes."", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 463, ""startIndexInSegment"": 314, ""selectedText"": ""We will give you notice of the revised Privacy Policy by posting the revised policy on the Site and by revising the \""effective date\"" set forth above."", ""value"": ""No notification""}}",106,197
8,C3997,3716,3,Policy Change,6,Your continued use of the Site following the posting of changes to these terms means that you accept those changes.,"{""Change Type"": {""endIndexInSegment"": 197, ""startIndexInSegment"": 106, ""selectedText"": ""We reserve the right to modify or amend the terms of this Privacy Policy from time to time."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 198, ""selectedText"": ""Your continued use of the Site following the posting of changes to these terms means that you accept those changes."", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 463, ""startIndexInSegment"": 314, ""selectedText"": ""We will give you notice of the revised Privacy Policy by posting the revised policy on the Site and by revising the \""effective date\"" set forth above."", ""value"": ""No notification""}}",198,313
9,C3997,3716,3,Policy Change,6,"We will give you notice of the revised Privacy Policy by posting the revised policy on the Site and by revising the ""effective date"" set forth above.","{""Change Type"": {""endIndexInSegment"": 197, ""startIndexInSegment"": 106, ""selectedText"": ""We reserve the right to modify or amend the terms of this Privacy Policy from time to time."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 198, ""selectedText"": ""Your continued use of the Site following the posting of changes to these terms means that you accept those changes."", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 463, ""startIndexInSegment"": 314, ""selectedText"": ""We will give you notice of the revised Privacy Policy by posting the revised policy on the Site and by revising the \""effective date\"" set forth above."", ""value"": ""No notification""}}",314,463
10,10321,3716,3,User Choice/Control,2,"If you do not agree to the terms of this Privacy Policy, please do not use the Site and exit immediately.","{""Choice Type"": {""endIndexInSegment"": 105, ""startIndexInSegment"": 0, ""selectedText"": ""If you do not agree to the terms of this Privacy Policy, please do not use the Site and exit immediately."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",0,105
11,25444,3716,3,Policy Change,6,We reserve the right to modify or amend the terms of this Privacy Policy from time to time.,"{""Change Type"": {""selectedText"": ""We reserve the right to modify or amend the terms of this Privacy Policy from time to time."", ""startIndexInSegment"": 106, ""endIndexInSegment"": 197, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""If you do not agree to the terms of this Privacy Policy, please do not use the Site and exit immediately. We reserve the right to modify or amend the terms of this Privacy Policy from time to time. Your continued use of the Site following the posting of changes to these terms means that you accept those changes."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 313, ""value"": ""None""}, ""Notification Type"": {""selectedText"": ""by revising the \""effective date\"" set forth above."", ""startIndexInSegment"": 414, ""endIndexInSegment"": 463, ""value"": ""General notice in privacy policy""}}",106,197
