,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1960,3639,0,Introductory/Generic,9,"The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service.","{""Other Type"": {""endIndexInSegment"": 519, ""startIndexInSegment"": 122, ""selectedText"": ""The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service."", ""value"": ""Introductory/Generic""}}",122,519
1,C1961,3639,1,First Party Collection/Use,0,collects,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 527, ""startIndexInSegment"": 480, ""selectedText"": ""provide a credit, debit, or charge card number,"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 377, ""selectedText"": ""Service as a whole"", ""value"": ""Basic service/feature""}}",22,30
2,C1961,3639,1,First Party Collection/Use,0,"provide a credit, debit, or charge card number,","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 527, ""startIndexInSegment"": 480, ""selectedText"": ""provide a credit, debit, or charge card number,"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 377, ""selectedText"": ""Service as a whole"", ""value"": ""Basic service/feature""}}",480,527
3,C1961,3639,1,First Party Collection/Use,0,consent,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 527, ""startIndexInSegment"": 480, ""selectedText"": ""provide a credit, debit, or charge card number,"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 377, ""selectedText"": ""Service as a whole"", ""value"": ""Basic service/feature""}}",100,107
4,C1961,3639,1,First Party Collection/Use,0,personally identifiable,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 527, ""startIndexInSegment"": 480, ""selectedText"": ""provide a credit, debit, or charge card number,"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 377, ""selectedText"": ""Service as a whole"", ""value"": ""Basic service/feature""}}",31,54
5,C1961,3639,1,First Party Collection/Use,0,Service as a whole,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 527, ""startIndexInSegment"": 480, ""selectedText"": ""provide a credit, debit, or charge card number,"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 377, ""selectedText"": ""Service as a whole"", ""value"": ""Basic service/feature""}}",377,395
6,C1962,3639,1,First Party Collection/Use,0,collects,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 55, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 163, ""startIndexInSegment"": 124, ""selectedText"": ""hen you enter a sweepstakes or contest,"", ""value"": ""Additional service/feature""}}",22,30
7,C1962,3639,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 55, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 163, ""startIndexInSegment"": 124, ""selectedText"": ""hen you enter a sweepstakes or contest,"", ""value"": ""Additional service/feature""}}",55,66
8,C1962,3639,1,First Party Collection/Use,0,consent,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 55, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 163, ""startIndexInSegment"": 124, ""selectedText"": ""hen you enter a sweepstakes or contest,"", ""value"": ""Additional service/feature""}}",100,107
9,C1962,3639,1,First Party Collection/Use,0,personally identifiable,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 22, ""selectedText"": ""collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 55, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 100, ""selectedText"": ""consent"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 31, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 163, ""startIndexInSegment"": 124, ""selectedText"": ""hen you enter a sweepstakes or contest,"", ""value"": ""Additional service/feature""}}",31,54
