,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4714,3788,0,Introductory/Generic,9,"The following Privacy Policy applies to your use of all websites, mobile applications, and other products and services owned, controlled, operated or hosted (whether now or in the future) by JibJab Media Inc. dba JibJab Bros. Studios and/or its corporate affiliates, including but not limited to the JibJab.com, StoryBots.com, HelloSanta.com, JibJab Messages and all related applications and services (collectively the ""JibJab Sites"").","{""Other Type"": {""endIndexInSegment"": 435, ""startIndexInSegment"": 0, ""selectedText"": ""The following Privacy Policy applies to your use of all websites, mobile applications, and other products and services owned, controlled, operated or hosted (whether now or in the future) by JibJab Media Inc. dba JibJab Bros. Studios and/or its corporate affiliates, including but not limited to the JibJab.com, StoryBots.com, HelloSanta.com, JibJab Messages and all related applications and services (collectively the \""JibJab Sites\"")."", ""value"": ""Introductory/Generic""}}",0,435
1,C4715,3788,1,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy"", ""value"": ""Introductory/Generic""}}",0,14
2,C4716,3788,2,Introductory/Generic,9,"Last Updated: March 1, 2015","{""Other Type"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""Introductory/Generic""}}",0,27
3,11169,3788,2,Policy Change,6,"Last Updated: March 1, 2015","{""Change Type"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""General notice in privacy policy""}}",0,27
4,11169,3788,2,Policy Change,6,"Last Updated: March 1, 2015","{""Change Type"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""General notice in privacy policy""}}",0,27
5,11169,3788,2,Policy Change,6,"Last Updated: March 1, 2015","{""Change Type"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 27, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 1, 2015"", ""value"": ""General notice in privacy policy""}}",0,27
6,C4717,3788,3,Other,0,"The other integral parts of such agreement are the JibJab Terms of Service (click here), the JibJab Terms of Sale (click here) and the Legal Notices (click here). All capitalized terms used herein that are not otherwise defined in this Privacy Policy shall be as defined in the JibJab Terms of Service (click here).","{""Other Type"": {""endIndexInSegment"": 571, ""startIndexInSegment"": 256, ""selectedText"": ""The other integral parts of such agreement are the JibJab Terms of Service (click here), the JibJab Terms of Sale (click here) and the Legal Notices (click here). All capitalized terms used herein that are not otherwise defined in this Privacy Policy shall be as defined in the JibJab Terms of Service (click here)."", ""value"": ""Other""}}",256,571
7,11170,3788,3,Introductory/Generic,9,"This Privacy Policy is an integral part of the agreement between JibJab Bros. Studios (""JibJab"" or ""we"") and each Visitor, Registered User, Live Call Purchaser or Member, as the case may be (each, a ""user"" or ""you"") concerning the use of the JibJab Sites.","{""Other Type"": {""endIndexInSegment"": 255, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy is an integral part of the agreement between JibJab Bros. Studios (\""JibJab\"" or \""we\"") and each Visitor, Registered User, Live Call Purchaser or Member, as the case may be (each, a \""user\"" or \""you\"") concerning the use of the JibJab Sites."", ""value"": ""Introductory/Generic""}}",0,255
8,11172,3788,4,Data Security,5,"At JibJab, we respect your right to privacy and we understand that you need to control the uses of your personal information.","{""Security Measure"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 0, ""selectedText"": ""At JibJab, we respect your right to privacy and we understand that you need to control the uses of your personal information."", ""value"": ""Generic""}}",0,125
9,11173,3788,4,Third Party Sharing/Collection,1,public,"{""Third Party Entity"": {""endIndexInSegment"": 558, ""startIndexInSegment"": 552, ""selectedText"": ""public"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 388, ""startIndexInSegment"": 271, ""selectedText"": ""you understand that the JibJab Sites and JibJab Services allow, among other things, users who are 13 or older to post"", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": 405, ""startIndexInSegment"": 389, ""selectedText"": ""personal content"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 578, ""startIndexInSegment"": 548, ""selectedText"": ""for public review and comment,"", ""value"": ""See""}}",552,558
