,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C0,3861,0,Introductory/Generic,9,"Last updated: March 25, 2015","{""Other Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Introductory/Generic""}}",44,72
1,15594,3861,0,Policy Change,6,"Last updated: March 25, 2015","{""Change Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""General notice in privacy policy""}}",44,72
2,15594,3861,0,Policy Change,6,"Last updated: March 25, 2015","{""Change Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""General notice in privacy policy""}}",44,77
3,15594,3861,0,Policy Change,6,"Last updated: March 25, 2015","{""Change Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""General notice in privacy policy""}}",44,77
4,C1,3861,1,Introductory/Generic,9,"This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications; SHOP.GEOCACHING.COM website; WAYMARKING.COM website; WHERIGO.COM website and mobile application; GROUNDSPEAK.COM, including discussion forums BLOG.GEOCACHING.COM website; and MYGEOCACHINGPROFILE.COM website.","{""Other Type"": {""selectedText"": ""This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications; SHOP.GEOCACHING.COM website; WAYMARKING.COM website; WHERIGO.COM website and mobile application; GROUNDSPEAK.COM, including discussion forums BLOG.GEOCACHING.COM website; and MYGEOCACHINGPROFILE.COM website."", ""startIndexInSegment"": 59, ""endIndexInSegment"": 415, ""value"": ""Introductory/Generic""}}",59,415
5,15595,3861,1,Data Security,5,"Groundspeak, Inc. is dedicated to protecting your privacy.","{""Security Measure"": {""selectedText"": ""Groundspeak, Inc. is dedicated to protecting your privacy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 58, ""value"": ""Generic""}}",0,58
6,C2,3861,2,Introductory/Generic,9,"This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see ""How We Use Cookies"" for more information about these technologies and how you can opt out of their use.","{""Other Type"": {""selectedText"": ""This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see \""How We Use Cookies\"" for more information about these technologies and how you can opt out of their use."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 497, ""value"": ""Introductory/Generic""}}",0,497
7,C3,3861,3,Introductory/Generic,9,"By using any of the services above, you are accepting the practices described in our Privacy Policy.","{""Other Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Introductory/Generic""}}",0,100
8,15598,3861,3,Policy Change,6,"By using any of the services above, you are accepting the practices described in our Privacy Policy.","{""Change Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""User participation""}, ""Notification Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Unspecified""}}",0,100
9,15598,3861,3,Policy Change,6,"By using any of the services above, you are accepting the practices described in our Privacy Policy.","{""Change Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""User participation""}, ""Notification Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Unspecified""}}",0,100
