,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C170,3631,0,Introductory/Generic,9,"Last updated and effective as of April 28, 2014","{""Other Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 44, ""selectedText"": ""Last updated and effective as of April 28, 2014"", ""value"": ""Introductory/Generic""}}",44,91
1,3006,3631,0,Policy Change,6,"Last updated and effective as of April 28, 2014","{""Change Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 44, ""selectedText"": ""Last updated and effective as of April 28, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 44, ""selectedText"": ""Last updated and effective as of April 28, 2014"", ""value"": ""General notice in privacy policy""}}",44,91
2,3006,3631,0,Policy Change,6,"Last updated and effective as of April 28, 2014","{""Change Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 44, ""selectedText"": ""Last updated and effective as of April 28, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 44, ""selectedText"": ""Last updated and effective as of April 28, 2014"", ""value"": ""General notice in privacy policy""}}",44,91
3,C171,3631,1,Introductory/Generic,9,"This website ( http://taylorswift.com) is operated by GROUND CTRL, LLC d/b/a Ground(ctrl), on behalf of Taylor Nation, LLC, with the on-line store ( http://store.taylorswift.com) operated by Miva Merchant, Inc. on behalf of Taylor Nation, LLC (each of the foregoing entities, and all entities collectively, ""we,"" ""us"" or ""our""). This Privacy Policy (""Policy"") explains how we collect, use and protect information that we learn about you as a result of your interaction with us through the websites on which this Policy is posted, including the websites that you may access using your mobile electronic device (collectively, ""Sites"") and the services provided through the Sites (""Services"").","{""Other Type"": {""endIndexInSegment"": 690, ""startIndexInSegment"": 0, ""selectedText"": ""This website ( http://taylorswift.com) is operated by GROUND CTRL, LLC d/b/a Ground(ctrl), on behalf of Taylor Nation, LLC, with the on-line store ( http://store.taylorswift.com) operated by Miva Merchant, Inc. on behalf of Taylor Nation, LLC (each of the foregoing entities, and all entities collectively, \""we,\"" \""us\"" or \""our\""). This Privacy Policy (\""Policy\"") explains how we collect, use and protect information that we learn about you as a result of your interaction with us through the websites on which this Policy is posted, including the websites that you may access using your mobile electronic device (collectively, \""Sites\"") and the services provided through the Sites (\""Services\"")."", ""value"": ""Introductory/Generic""}}",0,690
4,3013,3631,1,User Choice/Control,2,"By accessing any part of the Sites or using the Services, you agree to the practices described in this Policy and consent to the collection, use and disclosure of your personal information as set out in this Policy. This Policy is part of the Terms of Use governing your use of the Sites and the Services; please read the Terms of Use. If you do not wish to provide your consent and/or do not agree with any part of this Policy and/or the Terms of Use, please do not use the Sites or the Services.","{""Choice Type"": {""endIndexInSegment"": 1188, ""startIndexInSegment"": 691, ""selectedText"": ""By accessing any part of the Sites or using the Services, you agree to the practices described in this Policy and consent to the collection, use and disclosure of your personal information as set out in this Policy. This Policy is part of the Terms of Use governing your use of the Sites and the Services; please read the Terms of Use. If you do not wish to provide your consent and/or do not agree with any part of this Policy and/or the Terms of Use, please do not use the Sites or the Services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",691,1188
5,3268,3631,1,First Party Collection/Use,0,websites,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 497, ""startIndexInSegment"": 489, ""selectedText"": ""websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 401, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 373, ""selectedText"": ""we collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",489,497
6,3268,3631,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 497, ""startIndexInSegment"": 489, ""selectedText"": ""websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 401, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 373, ""selectedText"": ""we collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",401,412
7,3268,3631,1,First Party Collection/Use,0,we collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 497, ""startIndexInSegment"": 489, ""selectedText"": ""websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 401, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 373, ""selectedText"": ""we collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",373,383
8,3269,3631,1,First Party Collection/Use,0,websites that you may access using your mobile electronic device,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 608, ""startIndexInSegment"": 544, ""selectedText"": ""websites that you may access using your mobile electronic device"", ""value"": ""Collect on mobile website""}, ""Personal Information Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 401, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 373, ""selectedText"": ""we collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",544,608
9,3269,3631,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 608, ""startIndexInSegment"": 544, ""selectedText"": ""websites that you may access using your mobile electronic device"", ""value"": ""Collect on mobile website""}, ""Personal Information Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 401, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 373, ""selectedText"": ""we collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",401,412
