,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C693,3789,0,Introductory/Generic,9,Last Updated: March 2015,"{""Other Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Introductory/Generic""}}",0,24
1,11310,3789,0,Policy Change,6,Last Updated: March 2015,"{""Change Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""General notice in privacy policy""}}",0,24
2,11310,3789,0,Policy Change,6,Last Updated: March 2015,"{""Change Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""General notice in privacy policy""}}",0,24
3,11310,3789,0,Policy Change,6,Last Updated: March 2015,"{""Change Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""General notice in privacy policy""}}",0,24
4,C694,3789,1,Introductory/Generic,9,"This privacy statement applies to Bing and MSN websites, services, products and applications that collect data and display these terms. It does not apply to other Microsoft products and services that do not link to the Bing and MSN Privacy Statement.","{""Other Type"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 60, ""selectedText"": ""This privacy statement applies to Bing and MSN websites, services, products and applications that collect data and display these terms. It does not apply to other Microsoft products and services that do not link to the Bing and MSN Privacy Statement."", ""value"": ""Introductory/Generic""}}",60,310
5,11312,3789,2,First Party Collection/Use,0,we will place one or mor,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 139, ""startIndexInSegment"": 115, ""selectedText"": ""we will place one or mor"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 150, ""startIndexInSegment"": 141, ""selectedText"": ""\""cookies\"""", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 60, ""selectedText"": ""When you use Bing and MSN services with a web browser, we will place one or more \""cookies\"" on your machine."", ""value"": ""Unspecified""}}",115,139
6,11312,3789,2,First Party Collection/Use,0,"""cookies""","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 139, ""startIndexInSegment"": 115, ""selectedText"": ""we will place one or mor"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 150, ""startIndexInSegment"": 141, ""selectedText"": ""\""cookies\"""", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 60, ""selectedText"": ""When you use Bing and MSN services with a web browser, we will place one or more \""cookies\"" on your machine."", ""value"": ""Unspecified""}}",141,150
7,11312,3789,2,First Party Collection/Use,0,"When you use Bing and MSN services with a web browser, we will place one or more ""cookies"" on your machine.","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 139, ""startIndexInSegment"": 115, ""selectedText"": ""we will place one or mor"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 150, ""startIndexInSegment"": 141, ""selectedText"": ""\""cookies\"""", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 60, ""selectedText"": ""When you use Bing and MSN services with a web browser, we will place one or more \""cookies\"" on your machine."", ""value"": ""Unspecified""}}",60,167
8,11313,3789,2,First Party Collection/Use,0,Bing uses,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 181, ""selectedText"": ""Bing uses"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 199, ""startIndexInSegment"": 193, ""selectedText"": ""cookie"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 248, ""selectedText"": ""to operate the service and enable certain search features"", ""value"": ""Basic service/feature""}}",181,190
9,11313,3789,2,First Party Collection/Use,0,cookie,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 181, ""selectedText"": ""Bing uses"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 199, ""startIndexInSegment"": 193, ""selectedText"": ""cookie"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 248, ""selectedText"": ""to operate the service and enable certain search features"", ""value"": ""Basic service/feature""}}",193,199
