,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4343,3702,0,Other,0,"Last Updated: September 1, 2013","{""Other Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: September 1, 2013"", ""value"": ""Other""}}",0,31
1,15895,3702,0,Policy Change,6,"Last Updated: September 1, 2013","{""Change Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: September 1, 2013"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: September 1, 2013"", ""value"": ""General notice in privacy policy""}}",0,31
2,15895,3702,0,Policy Change,6,"Last Updated: September 1, 2013","{""Change Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: September 1, 2013"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated: September 1, 2013"", ""value"": ""General notice in privacy policy""}}",0,31
3,C4344,3702,1,Introductory/Generic,9,"Your access to, and use of any of the Pittsburgh Post-Gazette websites, microsites and apps, including, but not limited to: www.post-gazette.com; communityvoices.sites.post-gazette.com; blogs.sites.post-gazette.com; earlyreturns.sites.post-gazette.com; sportstown.sites.post-gazette.com; shale.sites.post-gazette.com; pittsburghmom.com; steelernation.sites.post-gazette.com; pge.post-gazette.com; press.post-gazette.com; as well as the Post-Gazette's tablet and smartphone applications (individually and collectively, the ""Site"") is subject to the Pittsburgh Post-Gazette's Terms of Use (www.post-gazette.com/termsofuse.asp). The Post-Gazette has created this Privacy Policy to explain what information we gather from you when you visit our Site, how we may use this information, and the security approaches we use to protect your information. This Privacy Policy is incorporated and made part of the Post-Gazette's Terms of Use.","{""Other Type"": {""endIndexInSegment"": 973, ""startIndexInSegment"": 44, ""selectedText"": ""Your access to, and use of any of the Pittsburgh Post-Gazette websites, microsites and apps, including, but not limited to: www.post-gazette.com; communityvoices.sites.post-gazette.com; blogs.sites.post-gazette.com; earlyreturns.sites.post-gazette.com; sportstown.sites.post-gazette.com; shale.sites.post-gazette.com; pittsburghmom.com; steelernation.sites.post-gazette.com; pge.post-gazette.com; press.post-gazette.com; as well as the Post-Gazette's tablet and smartphone applications (individually and collectively, the \""Site\"") is subject to the Pittsburgh Post-Gazette's Terms of Use (www.post-gazette.com/termsofuse.asp). The Post-Gazette has created this Privacy Policy to explain what information we gather from you when you visit our Site, how we may use this information, and the security approaches we use to protect your information. This Privacy Policy is incorporated and made part of the Post-Gazette's Terms of Use."", ""value"": ""Introductory/Generic""}}",44,973
4,16734,3702,1,First Party Collection/Use,0,websites,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 106, ""selectedText"": ""websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 746, ""startIndexInSegment"": 735, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 765, ""startIndexInSegment"": 735, ""selectedText"": ""information we gather from you"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",106,114
5,16734,3702,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 106, ""selectedText"": ""websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 746, ""startIndexInSegment"": 735, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 765, ""startIndexInSegment"": 735, ""selectedText"": ""information we gather from you"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",735,746
6,16734,3702,1,First Party Collection/Use,0,information we gather from you,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 106, ""selectedText"": ""websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 746, ""startIndexInSegment"": 735, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 765, ""startIndexInSegment"": 735, ""selectedText"": ""information we gather from you"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",735,765
7,16736,3702,1,Data Security,5,the security approaches we use to protect your information.,"{""Security Measure"": {""endIndexInSegment"": 887, ""startIndexInSegment"": 828, ""selectedText"": ""the security approaches we use to protect your information."", ""value"": ""Generic""}}",828,887
8,16740,3702,1,First Party Collection/Use,0,tablet and smartphone applications,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 495, ""selectedText"": ""tablet and smartphone applications"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 746, ""startIndexInSegment"": 735, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 765, ""startIndexInSegment"": 735, ""selectedText"": ""information we gather from you"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",495,529
9,16740,3702,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 495, ""selectedText"": ""tablet and smartphone applications"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 746, ""startIndexInSegment"": 735, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 765, ""startIndexInSegment"": 735, ""selectedText"": ""information we gather from you"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",735,746
