,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1397,3841,0,Introductory/Generic,9,SIDEARM Sports Privacy Policy,"{""Other Type"": {""selectedText"": ""SIDEARM Sports Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 29, ""value"": ""Introductory/Generic""}}",0,29
1,C1398,3841,1,Introductory/Generic,9,"Privacy Policy SIDEARM Sports (together with its parent company, its subsidiaries and its affiliates, the ""SIDEARM Entities"") owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to SIDEARM's Privacy Policy (collectively, our ""Web Sites""). This Privacy Policy, effective December 9, 2014, describes the privacy practices for our Web Sites and other applications (collectively referred to as the ""SIDEARM Services"") and to any services that display this notice.","{""Other Type"": {""selectedText"": ""Privacy Policy SIDEARM Sports (together with its parent company, its subsidiaries and its affiliates, the \""SIDEARM Entities\"") owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to SIDEARM's Privacy Policy (collectively, our \""Web Sites\""). This Privacy Policy, effective December 9, 2014, describes the privacy practices for our Web Sites and other applications (collectively referred to as the \""SIDEARM Services\"") and to any services that display this notice."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 549, ""value"": ""Introductory/Generic""}}",0,549
2,C1399,3841,2,Introductory/Generic,9,Our Web Sites may contain links to other websites for your convenience and information. We are not responsible for the privacy practices or the content of those websites.,"{""Other Type"": {""selectedText"": ""Our Web Sites may contain links to other websites for your convenience and information. We are not responsible for the privacy practices or the content of those websites."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 170, ""value"": ""Introductory/Generic""}}",0,170
3,C1400,3841,3,First Party Collection/Use,0,"personal information you supply when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address","{""Collection Mode"": {""selectedText"": ""personal information you supply when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 266, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""personal information you supply"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 131, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you interact with SIDEARM Services,"", ""startIndexInSegment"": 43, ""endIndexInSegment"": 83, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 120, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you supply"", ""startIndexInSegment"": 121, ""endIndexInSegment"": 131, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we collect:"", ""startIndexInSegment"": 84, ""endIndexInSegment"": 95, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 266, ""value"": ""Basic service/feature""}}",100,266
4,C1400,3841,3,First Party Collection/Use,0,personal information you supply,"{""Collection Mode"": {""selectedText"": ""personal information you supply when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 266, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""personal information you supply"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 131, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you interact with SIDEARM Services,"", ""startIndexInSegment"": 43, ""endIndexInSegment"": 83, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 120, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you supply"", ""startIndexInSegment"": 121, ""endIndexInSegment"": 131, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we collect:"", ""startIndexInSegment"": 84, ""endIndexInSegment"": 95, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 266, ""value"": ""Basic service/feature""}}",100,131
5,C1400,3841,3,First Party Collection/Use,0,"When you interact with SIDEARM Services,","{""Collection Mode"": {""selectedText"": ""personal information you supply when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 266, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""personal information you supply"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 131, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you interact with SIDEARM Services,"", ""startIndexInSegment"": 43, ""endIndexInSegment"": 83, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 120, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you supply"", ""startIndexInSegment"": 121, ""endIndexInSegment"": 131, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we collect:"", ""startIndexInSegment"": 84, ""endIndexInSegment"": 95, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 266, ""value"": ""Basic service/feature""}}",43,83
6,C1400,3841,3,First Party Collection/Use,0,personal information,"{""Collection Mode"": {""selectedText"": ""personal information you supply when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 266, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""personal information you supply"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 131, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you interact with SIDEARM Services,"", ""startIndexInSegment"": 43, ""endIndexInSegment"": 83, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 120, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you supply"", ""startIndexInSegment"": 121, ""endIndexInSegment"": 131, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we collect:"", ""startIndexInSegment"": 84, ""endIndexInSegment"": 95, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 266, ""value"": ""Basic service/feature""}}",100,120
7,C1400,3841,3,First Party Collection/Use,0,you supply,"{""Collection Mode"": {""selectedText"": ""personal information you supply when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 266, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""personal information you supply"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 131, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you interact with SIDEARM Services,"", ""startIndexInSegment"": 43, ""endIndexInSegment"": 83, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 120, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you supply"", ""startIndexInSegment"": 121, ""endIndexInSegment"": 131, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we collect:"", ""startIndexInSegment"": 84, ""endIndexInSegment"": 95, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 266, ""value"": ""Basic service/feature""}}",121,131
8,C1400,3841,3,First Party Collection/Use,0,we collect:,"{""Collection Mode"": {""selectedText"": ""personal information you supply when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 266, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""personal information you supply"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 131, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you interact with SIDEARM Services,"", ""startIndexInSegment"": 43, ""endIndexInSegment"": 83, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 120, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you supply"", ""startIndexInSegment"": 121, ""endIndexInSegment"": 131, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we collect:"", ""startIndexInSegment"": 84, ""endIndexInSegment"": 95, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 266, ""value"": ""Basic service/feature""}}",84,95
9,C1400,3841,3,First Party Collection/Use,0,"when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address","{""Collection Mode"": {""selectedText"": ""personal information you supply when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 266, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""personal information you supply"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 131, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you interact with SIDEARM Services,"", ""startIndexInSegment"": 43, ""endIndexInSegment"": 83, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 100, ""endIndexInSegment"": 120, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you supply"", ""startIndexInSegment"": 121, ""endIndexInSegment"": 131, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""we collect:"", ""startIndexInSegment"": 84, ""endIndexInSegment"": 95, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""when you subscribe, order, complete a form or survey, register for one of our Web Sites, enter a contest or provide your email address"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 266, ""value"": ""Basic service/feature""}}",132,266
