,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2165,3624,0,Introductory/Generic,9,"This Privacy Policy is applicable to www.prometheusgm.com, www.billboard.com, www.billboard.biz, www.adweek.com, www.backstage.com, www.hollywoodreporter.com, www.clioawards.com, www.filmjournal.com and any other site that may be operated by or for Prometheus Global Media (togetheher, the ""Websites""). It explains how we collect information from users of the Websites and how we use such information. Your use of the Websites constitutes your acceptance of this Privacy Policy. Please also read our Terms of Use , which govern the basic operation of the Websites.","{""Other Type"": {""endIndexInSegment"": 652, ""startIndexInSegment"": 88, ""selectedText"": ""This Privacy Policy is applicable to www.prometheusgm.com, www.billboard.com, www.billboard.biz, www.adweek.com, www.backstage.com, www.hollywoodreporter.com, www.clioawards.com, www.filmjournal.com and any other site that may be operated by or for Prometheus Global Media (togetheher, the \""Websites\""). It explains how we collect information from users of the Websites and how we use such information. Your use of the Websites constitutes your acceptance of this Privacy Policy. Please also read our Terms of Use , which govern the basic operation of the Websites."", ""value"": ""Introductory/Generic""}}",88,652
1,750,3624,0,First Party Collection/Use,0,collect information from users of the Websites,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 456, ""startIndexInSegment"": 410, ""selectedText"": ""collect information from users of the Websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 418, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 566, ""startIndexInSegment"": 490, ""selectedText"": ""Your use of the Websites constitutes your acceptance of this Privacy Policy."", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 488, ""startIndexInSegment"": 403, ""selectedText"": ""how we collect information from users of the Websites and how we use such information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",410,456
2,750,3624,0,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 456, ""startIndexInSegment"": 410, ""selectedText"": ""collect information from users of the Websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 418, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 566, ""startIndexInSegment"": 490, ""selectedText"": ""Your use of the Websites constitutes your acceptance of this Privacy Policy."", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 488, ""startIndexInSegment"": 403, ""selectedText"": ""how we collect information from users of the Websites and how we use such information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",418,429
3,750,3624,0,First Party Collection/Use,0,Your use of the Websites constitutes your acceptance of this Privacy Policy.,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 456, ""startIndexInSegment"": 410, ""selectedText"": ""collect information from users of the Websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 418, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 566, ""startIndexInSegment"": 490, ""selectedText"": ""Your use of the Websites constitutes your acceptance of this Privacy Policy."", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 488, ""startIndexInSegment"": 403, ""selectedText"": ""how we collect information from users of the Websites and how we use such information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",490,566
4,750,3624,0,First Party Collection/Use,0,how we collect information from users of the Websites and how we use such information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 456, ""startIndexInSegment"": 410, ""selectedText"": ""collect information from users of the Websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 418, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 566, ""startIndexInSegment"": 490, ""selectedText"": ""Your use of the Websites constitutes your acceptance of this Privacy Policy."", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 488, ""startIndexInSegment"": 403, ""selectedText"": ""how we collect information from users of the Websites and how we use such information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",403,488
5,1723,3624,0,Policy Change,6,Your use of the Websites constitutes your acceptance of this Privacy Policy.,"{""Change Type"": {""endIndexInSegment"": 566, ""startIndexInSegment"": 490, ""selectedText"": ""Your use of the Websites constitutes your acceptance of this Privacy Policy."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 566, ""startIndexInSegment"": 490, ""selectedText"": ""Your use of the Websites constitutes your acceptance of this Privacy Policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",490,566
6,1723,3624,0,Policy Change,6,Your use of the Websites constitutes your acceptance of this Privacy Policy.,"{""Change Type"": {""endIndexInSegment"": 566, ""startIndexInSegment"": 490, ""selectedText"": ""Your use of the Websites constitutes your acceptance of this Privacy Policy."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 566, ""startIndexInSegment"": 490, ""selectedText"": ""Your use of the Websites constitutes your acceptance of this Privacy Policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",490,566
7,383,3624,1,First Party Collection/Use,0,you visit,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 303, ""startIndexInSegment"": 281, ""selectedText"": ""Protocol (IP) address,"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",97,106
8,383,3624,1,First Party Collection/Use,0,Website,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 303, ""startIndexInSegment"": 281, ""selectedText"": ""Protocol (IP) address,"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",109,116
9,383,3624,1,First Party Collection/Use,0,"Protocol (IP) address,","{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 303, ""startIndexInSegment"": 281, ""selectedText"": ""Protocol (IP) address,"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",281,303
10,383,3624,1,First Party Collection/Use,0,Non-Personally Identifiable Information.,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 303, ""startIndexInSegment"": 281, ""selectedText"": ""Protocol (IP) address,"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",51,91
11,383,3624,1,First Party Collection/Use,0,We Collect,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 303, ""startIndexInSegment"": 281, ""selectedText"": ""Protocol (IP) address,"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",19,29
12,384,3624,1,First Party Collection/Use,0,you visit,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 316, ""startIndexInSegment"": 304, ""selectedText"": ""browser type"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",97,106
13,384,3624,1,First Party Collection/Use,0,Website,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 316, ""startIndexInSegment"": 304, ""selectedText"": ""browser type"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",109,116
14,384,3624,1,First Party Collection/Use,0,browser type,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 316, ""startIndexInSegment"": 304, ""selectedText"": ""browser type"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",304,316
15,384,3624,1,First Party Collection/Use,0,Non-Personally Identifiable Information.,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 316, ""startIndexInSegment"": 304, ""selectedText"": ""browser type"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",51,91
16,384,3624,1,First Party Collection/Use,0,We Collect,"{""Collection Mode"": {""endIndexInSegment"": 106, ""startIndexInSegment"": 97, ""selectedText"": ""you visit"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 109, ""selectedText"": ""Website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 316, ""startIndexInSegment"": 304, ""selectedText"": ""browser type"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 51, ""selectedText"": ""Non-Personally Identifiable Information."", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 19, ""selectedText"": ""We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",19,29
