,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1659,3853,0,Introductory/Generic,9,This Web Site's Privacy Policy,"{""Other Type"": {""selectedText"": ""This Web Site's Privacy Policy"", ""startIndexInSegment"": 9, ""endIndexInSegment"": 39, ""value"": ""Introductory/Generic""}}",9,39
1,C1660,3853,1,Introductory/Generic,9,"We provide a variety of online web services, mobile applications, and services for location-enabled and other types of devices (collectively, the ""Services"") from news and weather to interactive entertainment to electronic commerce via our relationship with Gannaway Web Holdings, LLC d/b/a WorldNow (""WorldNow"").","{""Other Type"": {""selectedText"": ""We provide a variety of online web services, mobile applications, and services for location-enabled and other types of devices (collectively, the \""Services\"") from news and weather to interactive entertainment to electronic commerce via our relationship with Gannaway Web Holdings, LLC d/b/a WorldNow (\""WorldNow\"")."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 313, ""value"": ""Introductory/Generic""}}",0,313
2,17983,3853,1,Other,0,WorldNow is the host of this Web site.,"{""Other Type"": {""selectedText"": ""WorldNow is the host of this Web site."", ""startIndexInSegment"": 314, ""endIndexInSegment"": 352, ""value"": ""Other""}}",314,352
3,16749,3853,1,Data Security,5,"Because the success of the Services is dependent on building and maintaining goodwill with our customers, this Web site and WorldNow (hereinafter collectively referred to as ""we"" or ""us"" or ""our"") are committed to implementing measures designed to protect the privacy of those using our services. Moreover, we see it as our responsibility to set examples and help establish the standards for privacy on the Internet.","{""Security Measure"": {""selectedText"": ""Because the success of the Services is dependent on building and maintaining goodwill with our customers, this Web site and WorldNow (hereinafter collectively referred to as \""we\"" or \""us\"" or \""our\"") are committed to implementing measures designed to protect the privacy of those using our services. Moreover, we see it as our responsibility to set examples and help establish the standards for privacy on the Internet."", ""startIndexInSegment"": 353, ""endIndexInSegment"": 774, ""value"": ""Generic""}}",353,774
4,C1661,3853,2,Introductory/Generic,9,"Although we respect the privacy of all those who use our Services, we do collect information from our members and visitors. This Privacy Policy governs your interaction with the Services, and your registration for and use of this station's Services.","{""Other Type"": {""selectedText"": ""Although we respect the privacy of all those who use our Services, we do collect information from our members and visitors. This Privacy Policy governs your interaction with the Services, and your registration for and use of this station's Services."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 249, ""value"": ""Introductory/Generic""}}",0,249
5,16750,3853,2,First Party Collection/Use,0,we do collect,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""we do collect"", ""startIndexInSegment"": 67, ""endIndexInSegment"": 80, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 81, ""endIndexInSegment"": 92, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""we do collect information from our members and visitors."", ""startIndexInSegment"": 67, ""endIndexInSegment"": 123, ""value"": ""Unspecified""}}",67,80
6,16750,3853,2,First Party Collection/Use,0,information,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""we do collect"", ""startIndexInSegment"": 67, ""endIndexInSegment"": 80, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 81, ""endIndexInSegment"": 92, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""we do collect information from our members and visitors."", ""startIndexInSegment"": 67, ""endIndexInSegment"": 123, ""value"": ""Unspecified""}}",81,92
7,16750,3853,2,First Party Collection/Use,0,we do collect information from our members and visitors.,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""we do collect"", ""startIndexInSegment"": 67, ""endIndexInSegment"": 80, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 81, ""endIndexInSegment"": 92, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""we do collect information from our members and visitors."", ""startIndexInSegment"": 67, ""endIndexInSegment"": 123, ""value"": ""Unspecified""}}",67,123
8,16751,3853,2,Introductory/Generic,9,"This Privacy Policy governs your interaction with the Services, and your registration for and use of this station's Services.","{""Other Type"": {""selectedText"": ""This Privacy Policy governs your interaction with the Services, and your registration for and use of this station's Services."", ""startIndexInSegment"": 124, ""endIndexInSegment"": 249, ""value"": ""Introductory/Generic""}}",124,249
9,16752,3853,2,Third Party Sharing/Collection,1,release,"{""Third Party Entity"": {""selectedText"": ""release"", ""startIndexInSegment"": 367, ""endIndexInSegment"": 374, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""we do not release personally identifiable information about the Service's members and visitors without their permission."", ""startIndexInSegment"": 357, ""endIndexInSegment"": 477, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 375, ""endIndexInSegment"": 410, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""we do not"", ""startIndexInSegment"": 357, ""endIndexInSegment"": 366, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""release"", ""startIndexInSegment"": 367, ""endIndexInSegment"": 374, ""value"": ""Receive/Shared with""}}",367,374
