,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1834,3838,0,Introductory/Generic,9,Tulsaworld.com's Privacy Policy,"{""Other Type"": {""selectedText"": ""Tulsaworld.com's Privacy Policy"", ""startIndexInSegment"": 25, ""endIndexInSegment"": 56, ""value"": ""Introductory/Generic""}}",25,56
1,C1835,3838,1,Introductory/Generic,9,"Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.","{""Other Type"": {""selectedText"": ""Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this \""Website\"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 831, ""value"": ""Introductory/Generic""}}",0,831
2,C1836,3838,1,Practice not covered,10,There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party.,"{""Other Type"": {""selectedText"": ""There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party."", ""startIndexInSegment"": 280, ""endIndexInSegment"": 575, ""value"": ""Practice not covered""}}",280,575
3,21796,3838,1,Privacy contact information,11,you may contact Tulsaworld.com as set forth at the end of this policy,"{""Other Type"": {""selectedText"": ""you may contact Tulsaworld.com as set forth at the end of this policy"", ""startIndexInSegment"": 761, ""endIndexInSegment"": 830, ""value"": ""Privacy contact information""}}",761,830
4,21797,3838,1,Other,0,"If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage","{""Other Type"": {""selectedText"": ""If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage"", ""startIndexInSegment"": 576, ""endIndexInSegment"": 756, ""value"": ""Other""}}",576,756
5,C1837,3838,2,Introductory/Generic,9,"We understand that privacy is very important to our visitors. We want to make sure that you understand why we collect certain information, how we use it, and how we protect it. We want our guests to feel confident that their information is handled with great care.","{""Other Type"": {""selectedText"": ""We understand that privacy is very important to our visitors. We want to make sure that you understand why we collect certain information, how we use it, and how we protect it. We want our guests to feel confident that their information is handled with great care."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 264, ""value"": ""Introductory/Generic""}}",0,264
6,C1838,3838,3,Other,0,"BY ACCESSING OR USING OUR WEBSITE, YOU ACKNOWLEDGE THAT YOU HAVE READ, UNDERSTAND, AND AGREE TO BE BOUND TO ALL THE TERMS OF THIS PRIVACY POLICY AND OUR WEBSITE TERMS OF USE. IF YOU DO NOT AGREE TO THESE TERMS, EXIT THIS PAGE AD DO NOT ACCESS OR USE THE WEBSITE.","{""Other Type"": {""selectedText"": ""BY ACCESSING OR USING OUR WEBSITE, YOU ACKNOWLEDGE THAT YOU HAVE READ, UNDERSTAND, AND AGREE TO BE BOUND TO ALL THE TERMS OF THIS PRIVACY POLICY AND OUR WEBSITE TERMS OF USE. IF YOU DO NOT AGREE TO THESE TERMS, EXIT THIS PAGE AD DO NOT ACCESS OR USE THE WEBSITE."", ""startIndexInSegment"": 43, ""endIndexInSegment"": 305, ""value"": ""Other""}}",43,305
7,18133,3838,3,User Choice/Control,2,"IF YOU DO NOT AGREE TO THESE TERMS, EXIT THIS PAGE AD DO NOT ACCESS OR USE THE WEBSITE.","{""Choice Type"": {""selectedText"": ""IF YOU DO NOT AGREE TO THESE TERMS, EXIT THIS PAGE AD DO NOT ACCESS OR USE THE WEBSITE."", ""startIndexInSegment"": 218, ""endIndexInSegment"": 310, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""PLEASE READ THIS PRIVACY POLICY CAREFULLY. BY ACCESSING OR USING OUR WEBSITE, YOU ACKNOWLEDGE THAT YOU HAVE READ, UNDERSTAND, AND AGREE TO BE BOUND TO ALL THE TERMS OF THIS PRIVACY POLICY AND OUR WEBSITE TERMS OF USE."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 217, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",218,310
8,18133,3838,3,User Choice/Control,2,"PLEASE READ THIS PRIVACY POLICY CAREFULLY. BY ACCESSING OR USING OUR WEBSITE, YOU ACKNOWLEDGE THAT YOU HAVE READ, UNDERSTAND, AND AGREE TO BE BOUND TO ALL THE TERMS OF THIS PRIVACY POLICY AND OUR WEBSITE TERMS OF USE.","{""Choice Type"": {""selectedText"": ""IF YOU DO NOT AGREE TO THESE TERMS, EXIT THIS PAGE AD DO NOT ACCESS OR USE THE WEBSITE."", ""startIndexInSegment"": 218, ""endIndexInSegment"": 310, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""PLEASE READ THIS PRIVACY POLICY CAREFULLY. BY ACCESSING OR USING OUR WEBSITE, YOU ACKNOWLEDGE THAT YOU HAVE READ, UNDERSTAND, AND AGREE TO BE BOUND TO ALL THE TERMS OF THIS PRIVACY POLICY AND OUR WEBSITE TERMS OF USE."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 217, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",0,217
9,C1839,3838,4,Policy Change,6,This privacy policy may be modified from time to time. If we decide to change our privacy policy,"{""Change Type"": {""selectedText"": ""This privacy policy may be modified from time to time. If we decide to change our privacy policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 96, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""We reserve the right to modify this privacy policy at any time, so please periodically review it."", ""startIndexInSegment"": 186, ""endIndexInSegment"": 283, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""y, we will post those changes to this privacy policy and other places we deem appropriate."", ""startIndexInSegment"": 95, ""endIndexInSegment"": 185, ""value"": ""General notice in privacy policy""}}",0,96
