,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2004,3627,0,Introductory/Generic,9,"This policy describes the privacy practices of MediaNews Group, Inc., and MediaNews Group Interactive, Inc. and MediaNews Group affiliates, collectively referred to herein as MediaNews. This Privacy Policy is applicable only to the MediaNews Web sites (Web site(s)) and does not apply to the print versions of any of the MediaNews publications. This policy does not apply to any third party web sites or to companies or persons not controlled by, affiliated with or managed by MediaNews and applies only to information collected by MediaNews on the MediaNews Web sites and not to information disclosed, obtained or used by MediaNews through other means. MediaNews may provide links to unaffiliated web sites for which this privacy policy does not apply. If you are unsure whether a web site is controlled, affiliated or managed by MediaNews, we recommend that you review the privacy policy at each linked web site to determine how that site treats your personal information.","{""Other Type"": {""endIndexInSegment"": 1018, ""startIndexInSegment"": 44, ""selectedText"": ""This policy describes the privacy practices of MediaNews Group, Inc., and MediaNews Group Interactive, Inc. and MediaNews Group affiliates, collectively referred to herein as MediaNews. This Privacy Policy is applicable only to the MediaNews Web sites (Web site(s)) and does not apply to the print versions of any of the MediaNews publications. This policy does not apply to any third party web sites or to companies or persons not controlled by, affiliated with or managed by MediaNews and applies only to information collected by MediaNews on the MediaNews Web sites and not to information disclosed, obtained or used by MediaNews through other means. MediaNews may provide links to unaffiliated web sites for which this privacy policy does not apply. If you are unsure whether a web site is controlled, affiliated or managed by MediaNews, we recommend that you review the privacy policy at each linked web site to determine how that site treats your personal information."", ""value"": ""Introductory/Generic""}}",44,1018
1,2523,3627,0,Practice not covered,10,"This policy does not apply to any third party web sites or to companies or persons not controlled by, affiliated with or managed by MediaNews","{""Other Type"": {""endIndexInSegment"": 530, ""startIndexInSegment"": 389, ""selectedText"": ""This policy does not apply to any third party web sites or to companies or persons not controlled by, affiliated with or managed by MediaNews"", ""value"": ""Practice not covered""}}",389,530
2,C2005,3627,1,Policy Change,6,MediaNews may change this privacy policy from time to time. The revised policy will be posted on the MediaNews Web site. Please check this page periodically for changes.,"{""Change Type"": {""endIndexInSegment"": 169, ""startIndexInSegment"": 0, ""selectedText"": ""MediaNews may change this privacy policy from time to time. The revised policy will be posted on the MediaNews Web site. Please check this page periodically for changes."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 60, ""selectedText"": ""The revised policy will be posted on the MediaNews Web site"", ""value"": ""General notice on website""}}",0,169
3,C2005,3627,1,Policy Change,6,The revised policy will be posted on the MediaNews Web site,"{""Change Type"": {""endIndexInSegment"": 169, ""startIndexInSegment"": 0, ""selectedText"": ""MediaNews may change this privacy policy from time to time. The revised policy will be posted on the MediaNews Web site. Please check this page periodically for changes."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 60, ""selectedText"": ""The revised policy will be posted on the MediaNews Web site"", ""value"": ""General notice on website""}}",60,119
4,C2006,3627,2,First Party Collection/Use,0,MediaNews Web sites,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 210, ""startIndexInSegment"": 191, ""selectedText"": ""MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 277, ""startIndexInSegment"": 267, ""selectedText"": ""age, gende"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 94, ""startIndexInSegment"": 60, ""selectedText"": ""Personally Identifying Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 166, ""selectedText"": ""gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 544, ""startIndexInSegment"": 456, ""selectedText"": ""billing information where necessary to contact you or to process your Web site purchases"", ""value"": ""Basic service/feature""}}",191,210
5,C2006,3627,2,First Party Collection/Use,0,"age, gende","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 210, ""startIndexInSegment"": 191, ""selectedText"": ""MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 277, ""startIndexInSegment"": 267, ""selectedText"": ""age, gende"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 94, ""startIndexInSegment"": 60, ""selectedText"": ""Personally Identifying Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 166, ""selectedText"": ""gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 544, ""startIndexInSegment"": 456, ""selectedText"": ""billing information where necessary to contact you or to process your Web site purchases"", ""value"": ""Basic service/feature""}}",267,277
6,C2006,3627,2,First Party Collection/Use,0,Personally Identifying Information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 210, ""startIndexInSegment"": 191, ""selectedText"": ""MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 277, ""startIndexInSegment"": 267, ""selectedText"": ""age, gende"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 94, ""startIndexInSegment"": 60, ""selectedText"": ""Personally Identifying Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 166, ""selectedText"": ""gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 544, ""startIndexInSegment"": 456, ""selectedText"": ""billing information where necessary to contact you or to process your Web site purchases"", ""value"": ""Basic service/feature""}}",60,94
7,C2006,3627,2,First Party Collection/Use,0,gathered by MediaNews,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 210, ""startIndexInSegment"": 191, ""selectedText"": ""MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 277, ""startIndexInSegment"": 267, ""selectedText"": ""age, gende"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 94, ""startIndexInSegment"": 60, ""selectedText"": ""Personally Identifying Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 166, ""selectedText"": ""gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 544, ""startIndexInSegment"": 456, ""selectedText"": ""billing information where necessary to contact you or to process your Web site purchases"", ""value"": ""Basic service/feature""}}",166,187
8,C2006,3627,2,First Party Collection/Use,0,billing information where necessary to contact you or to process your Web site purchases,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 210, ""startIndexInSegment"": 191, ""selectedText"": ""MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 277, ""startIndexInSegment"": 267, ""selectedText"": ""age, gende"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 94, ""startIndexInSegment"": 60, ""selectedText"": ""Personally Identifying Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 166, ""selectedText"": ""gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 544, ""startIndexInSegment"": 456, ""selectedText"": ""billing information where necessary to contact you or to process your Web site purchases"", ""value"": ""Basic service/feature""}}",456,544
9,C2007,3627,2,First Party Collection/Use,0,MediaNews Web sites,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 210, ""startIndexInSegment"": 191, ""selectedText"": ""MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 266, ""startIndexInSegment"": 231, ""selectedText"": ""e-mail address, password, zip code,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 94, ""startIndexInSegment"": 60, ""selectedText"": ""Personally Identifying Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 166, ""selectedText"": ""gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 544, ""startIndexInSegment"": 456, ""selectedText"": ""billing information where necessary to contact you or to process your Web site purchases"", ""value"": ""Basic service/feature""}}",191,210
