,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2358,3843,0,Introductory/Generic,9,"Last Modified: March 25, 2013","{""Other Type"": {""selectedText"": ""Last Modified: March 25, 2013"", ""startIndexInSegment"": 25, ""endIndexInSegment"": 54, ""value"": ""Introductory/Generic""}}",25,54
1,C2359,3843,1,Introductory/Generic,9,"This is the privacy policy (""Privacy Policy"") for LatinPost.com (""Site,"" ""we,"" ""us,"" or ""our""). This Privacy Policy is intended to explain our privacy practices and covers the following areas: When This Privacy Policy Applies. U.S. Governing Law; Safe Harbor. Collection and Use of Personal Information and Other Information (Other than Wireless Marketing Services and Associated Promotional Opportunities). Opting-out of Certain Uses of your Personal Information and Other Information (Other than Wireless Marketing Services and Associated Promotional Opportunities). Wireless Marketing Services and Associated Promotional Opportunities. Sharing and Disclosure of Personal Information and Other Information. Reviewing, Updating or Deleting Certain Information. Protection of Information. Your California Privacy Rights. Changes to this Privacy Policy and Notice. Miscellaneous.","{""Other Type"": {""selectedText"": ""This is the privacy policy (\""Privacy Policy\"") for LatinPost.com (\""Site,\"" \""we,\"" \""us,\"" or \""our\""). This Privacy Policy is intended to explain our privacy practices and covers the following areas: When This Privacy Policy Applies. U.S. Governing Law; Safe Harbor. Collection and Use of Personal Information and Other Information (Other than Wireless Marketing Services and Associated Promotional Opportunities). Opting-out of Certain Uses of your Personal Information and Other Information (Other than Wireless Marketing Services and Associated Promotional Opportunities). Wireless Marketing Services and Associated Promotional Opportunities. Sharing and Disclosure of Personal Information and Other Information. Reviewing, Updating or Deleting Certain Information. Protection of Information. Your California Privacy Rights. Changes to this Privacy Policy and Notice. Miscellaneous."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 1118, ""value"": ""Introductory/Generic""}}",0,1118
2,C2360,3843,2,Introductory/Generic,9,"This Privacy Policy applies whether you are accessing the Site via a personal computer, a mobile device or any other technology or devices now known or hereafter developed or discovered (each, a ""Device"") and whether you are accessing the Site as a registered user (if offered by the Site) or other user of the Site. This Privacy Policy governs only the Personal Information and Other Information (as those terms are defined below) collected by the Site and does not cover any such information collected in any other manner, the Parent Companies and/or any subsidiaries and affiliates of the Parent Companies (collectively, ""Affiliates"") or collected by any other company, unless specifically stated.","{""Other Type"": {""selectedText"": ""This Privacy Policy applies whether you are accessing the Site via a personal computer, a mobile device or any other technology or devices now known or hereafter developed or discovered (each, a \""Device\"") and whether you are accessing the Site as a registered user (if offered by the Site) or other user of the Site. This Privacy Policy governs only the Personal Information and Other Information (as those terms are defined below) collected by the Site and does not cover any such information collected in any other manner, the Parent Companies and/or any subsidiaries and affiliates of the Parent Companies (collectively, \""Affiliates\"") or collected by any other company, unless specifically stated."", ""startIndexInSegment"": 66, ""endIndexInSegment"": 766, ""value"": ""Introductory/Generic""}}",66,766
3,20758,3843,2,First Party Collection/Use,0,"a mobile device or any other technology or devices now known or hereafter developed or discovered (each, a ""Device"")","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""a mobile device or any other technology or devices now known or hereafter developed or discovered (each, a \""Device\"")"", ""startIndexInSegment"": 154, ""endIndexInSegment"": 270, ""value"": ""Collect on mobile website""}, ""Personal Information Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""User with account""}, ""Purpose"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Other""}}",154,270
4,20759,3843,2,First Party Collection/Use,0,) or other user of the Site.,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": "") or other user of the Site."", ""startIndexInSegment"": 354, ""endIndexInSegment"": 382, ""value"": ""User without account""}, ""Purpose"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Other""}}",354,382
5,20760,3843,2,First Party Collection/Use,0,"a mobile device or any other technology or devices now known or hereafter developed or discovered (each, a ""Device"")","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""a mobile device or any other technology or devices now known or hereafter developed or discovered (each, a \""Device\"")"", ""startIndexInSegment"": 154, ""endIndexInSegment"": 270, ""value"": ""Collect on mobile website""}, ""Personal Information Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""or other user of the Site."", ""startIndexInSegment"": 356, ""endIndexInSegment"": 382, ""value"": ""User without account""}, ""Purpose"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Other""}}",154,270
6,20760,3843,2,First Party Collection/Use,0,or other user of the Site.,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""a mobile device or any other technology or devices now known or hereafter developed or discovered (each, a \""Device\"")"", ""startIndexInSegment"": 154, ""endIndexInSegment"": 270, ""value"": ""Collect on mobile website""}, ""Personal Information Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""or other user of the Site."", ""startIndexInSegment"": 356, ""endIndexInSegment"": 382, ""value"": ""User without account""}, ""Purpose"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Other""}}",356,382
7,22795,3843,2,Practice not covered,10,"We may from time to time, combine Information (as that term is defined below) with other information we collect from other sources, such as information received from our Parent Companies, Affiliates, marketing companies or Advertisers and, if we do so, our use of the resulting combined Information will be subject to this Privacy Policy.","{""Other Type"": {""selectedText"": ""We may from time to time, combine Information (as that term is defined below) with other information we collect from other sources, such as information received from our Parent Companies, Affiliates, marketing companies or Advertisers and, if we do so, our use of the resulting combined Information will be subject to this Privacy Policy."", ""startIndexInSegment"": 767, ""endIndexInSegment"": 1105, ""value"": ""Practice not covered""}}",767,1105
8,C2361,3843,3,Practice not covered,10,"This Privacy Policy will remain in full force and effect, even if your use of or participation in the Site or any particular service, feature, function or promotional activity offered through the Site terminates, expires, ceases, is suspended or deactivated for any reason.","{""Other Type"": {""selectedText"": ""This Privacy Policy will remain in full force and effect, even if your use of or participation in the Site or any particular service, feature, function or promotional activity offered through the Site terminates, expires, ceases, is suspended or deactivated for any reason."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 273, ""value"": ""Practice not covered""}}",0,273
9,20761,3843,3,User Choice/Control,2,"This Privacy Policy will remain in full force and effect, even if your use of or participation in the Site or any particular service, feature, function or promotional activity offered through the Site terminates, expires, ceases, is suspended or deactivated for any reason. If you do not agree with this Privacy Policy, please do not participate in the Site or any features, activities or services offered through the Site.","{""Choice Type"": {""selectedText"": ""This Privacy Policy will remain in full force and effect, even if your use of or participation in the Site or any particular service, feature, function or promotional activity offered through the Site terminates, expires, ceases, is suspended or deactivated for any reason. If you do not agree with this Privacy Policy, please do not participate in the Site or any features, activities or services offered through the Site."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 423, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",0,423
10,22797,3843,3,Introductory/Generic,9,"If you do not agree with this Privacy Policy, please do not participate in the Site or any features, activities or services offered through the Site.","{""Other Type"": {""selectedText"": ""If you do not agree with this Privacy Policy, please do not participate in the Site or any features, activities or services offered through the Site."", ""startIndexInSegment"": 274, ""endIndexInSegment"": 423, ""value"": ""Introductory/Generic""}}",274,423
11,22798,3843,4,Introductory/Generic,9,"By participating in our Site activities, you certify that you meet the age and other eligibility requirements for this Site as set forth in our Terms of Use Agreement. If you do not meet such age and other eligibility requirements, please discontinue using the Site immediately as your continued use of the Site indicates that you are agreeing to the collection, use, disclosure, management and storage of your Information as described in this Privacy Policy.","{""Other Type"": {""selectedText"": ""By participating in our Site activities, you certify that you meet the age and other eligibility requirements for this Site as set forth in our Terms of Use Agreement. If you do not meet such age and other eligibility requirements, please discontinue using the Site immediately as your continued use of the Site indicates that you are agreeing to the collection, use, disclosure, management and storage of your Information as described in this Privacy Policy."", ""startIndexInSegment"": 320, ""endIndexInSegment"": 779, ""value"": ""Introductory/Generic""}}",320,779
