,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2326,3633,0,Introductory/Generic,9,"PLEASE READ THIS PRIVACY POLICY (THIS ""PRIVACY POLICY"") CAREFULLY BEFORE USING OUR WEBSITE, APPLICATIONS OR ANY OTHER MLB ADVANCED MEDIA, L.P. PRODUCT OR SERVICE.","{""Other Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 44, ""selectedText"": ""PLEASE READ THIS PRIVACY POLICY (THIS \""PRIVACY POLICY\"") CAREFULLY BEFORE USING OUR WEBSITE, APPLICATIONS OR ANY OTHER MLB ADVANCED MEDIA, L.P. PRODUCT OR SERVICE."", ""value"": ""Introductory/Generic""}}",44,206
1,C2327,3633,1,Introductory/Generic,9,"MLB Advanced Media, L.P. is the organization that produces and publishes the Official Website of Major League Baseball, which encompasses MLB.com, the Official Websites of the thirty (30) Major League Baseball (""MLB"") Clubs, the Official Websites of certain other MLB-related properties (collectively, this ""Website""), downloadable mobile applications (e.g. MLB.com At Bat, MLB.com At the Ballpark) available from third party application storefronts (""Application(s)""""), mobile games available from third party application storefronts (e.g. MLB.com Beat the Streak, MLB.com) (""Mobile Games"") and games and other applications available from third party social media locations and gaming websites (""Social Games""). This Privacy Policy is applicable to this Website, the Applications, Mobile Games and the Social Games, all of which will be called ""Services"" throughout this Privacy Policy, and describes what information we collect, how we may use that information and the choices we offer for you to manage the information we collect related to your use of our Services.","{""Other Type"": {""endIndexInSegment"": 1069, ""startIndexInSegment"": 0, ""selectedText"": ""MLB Advanced Media, L.P. is the organization that produces and publishes the Official Website of Major League Baseball, which encompasses MLB.com, the Official Websites of the thirty (30) Major League Baseball (\""MLB\"") Clubs, the Official Websites of certain other MLB-related properties (collectively, this \""Website\""), downloadable mobile applications (e.g. MLB.com At Bat, MLB.com At the Ballpark) available from third party application storefronts (\""Application(s)\""\""), mobile games available from third party application storefronts (e.g. MLB.com Beat the Streak, MLB.com) (\""Mobile Games\"") and games and other applications available from third party social media locations and gaming websites (\""Social Games\""). This Privacy Policy is applicable to this Website, the Applications, Mobile Games and the Social Games, all of which will be called \""Services\"" throughout this Privacy Policy, and describes what information we collect, how we may use that information and the choices we offer for you to manage the information we collect related to your use of our Services."", ""value"": ""Introductory/Generic""}}",0,1069
2,C2328,3633,2,First Party Collection/Use,0,Information You Provide,"{""Collection Mode"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 86, ""selectedText"": ""Information You Provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 850, ""startIndexInSegment"": 839, ""selectedText"": ""Birth date,"", ""value"": ""Personal identifier""}, ""Choice Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 235, ""selectedText"": ""However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 9, ""selectedText"": ""Personal Information Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 414, ""selectedText"": ""When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:"", ""value"": ""Additional service/feature""}}",86,109
3,C2328,3633,2,First Party Collection/Use,0,"Birth date,","{""Collection Mode"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 86, ""selectedText"": ""Information You Provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 850, ""startIndexInSegment"": 839, ""selectedText"": ""Birth date,"", ""value"": ""Personal identifier""}, ""Choice Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 235, ""selectedText"": ""However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 9, ""selectedText"": ""Personal Information Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 414, ""selectedText"": ""When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:"", ""value"": ""Additional service/feature""}}",839,850
4,C2328,3633,2,First Party Collection/Use,0,"However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly","{""Collection Mode"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 86, ""selectedText"": ""Information You Provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 850, ""startIndexInSegment"": 839, ""selectedText"": ""Birth date,"", ""value"": ""Personal identifier""}, ""Choice Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 235, ""selectedText"": ""However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 9, ""selectedText"": ""Personal Information Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 414, ""selectedText"": ""When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:"", ""value"": ""Additional service/feature""}}",235,412
5,C2328,3633,2,First Party Collection/Use,0,Personal Information Collected,"{""Collection Mode"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 86, ""selectedText"": ""Information You Provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 850, ""startIndexInSegment"": 839, ""selectedText"": ""Birth date,"", ""value"": ""Personal identifier""}, ""Choice Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 235, ""selectedText"": ""However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 9, ""selectedText"": ""Personal Information Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 414, ""selectedText"": ""When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:"", ""value"": ""Additional service/feature""}}",9,39
6,C2328,3633,2,First Party Collection/Use,0,"When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:","{""Collection Mode"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 86, ""selectedText"": ""Information You Provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 850, ""startIndexInSegment"": 839, ""selectedText"": ""Birth date,"", ""value"": ""Personal identifier""}, ""Choice Type"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 235, ""selectedText"": ""However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 9, ""selectedText"": ""Personal Information Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 414, ""selectedText"": ""When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:"", ""value"": ""Additional service/feature""}}",414,635
7,2443,3633,2,First Party Collection/Use,0,our Services,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 162, ""selectedText"": ""our Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 620, ""selectedText"": ""not limited to:"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 330, ""selectedText"": ""share"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",162,174
8,2443,3633,2,First Party Collection/Use,0,not limited to:,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 162, ""selectedText"": ""our Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 620, ""selectedText"": ""not limited to:"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 330, ""selectedText"": ""share"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",620,635
9,2443,3633,2,First Party Collection/Use,0,share,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 162, ""selectedText"": ""our Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 620, ""selectedText"": ""not limited to:"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 330, ""selectedText"": ""share"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",330,335
