,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2573,3825,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy"", ""value"": ""Introductory/Generic""}}",9,23
1,C2574,3825,1,Introductory/Generic,9,"The mission of FARE (Food Allergy Research & Education) is to raise public awareness, to provide advocacy and education, and to advance research on behalf of all those affected by food allergies and anaphylaxis. The Food Allergy Research & Education website provides information, resources, referrals, and data intended to assist the public in managing life-threatening food allergies. The website also provides information for healthcare professionals and offers opportunities for volunteering in Food Allergy Research & Education fundraising events.","{""Other Type"": {""endIndexInSegment"": 593, ""startIndexInSegment"": 42, ""selectedText"": ""The mission of FARE (Food Allergy Research & Education) is to raise public awareness, to provide advocacy and education, and to advance research on behalf of all those affected by food allergies and anaphylaxis. The Food Allergy Research & Education website provides information, resources, referrals, and data intended to assist the public in managing life-threatening food allergies. The website also provides information for healthcare professionals and offers opportunities for volunteering in Food Allergy Research & Education fundraising events."", ""value"": ""Introductory/Generic""}}",42,593
2,C2575,3825,2,Privacy contact information,11,"If you have any questions about this Policy or you wish to review or correct your or your child's personal information, you may contact us by U.S. mail, e-mail, or telephone at the addresses and numbers listed below. Food Allergy Research & Education (FARE) 7925 Jones Branch Drive, Suite 1100 McLean, VA 22102 email: contactfare@foodallergy.org Telephone: (800) 929-4040","{""Other Type"": {""endIndexInSegment"": 473, ""startIndexInSegment"": 102, ""selectedText"": ""If you have any questions about this Policy or you wish to review or correct your or your child's personal information, you may contact us by U.S. mail, e-mail, or telephone at the addresses and numbers listed below. Food Allergy Research & Education (FARE) 7925 Jones Branch Drive, Suite 1100 McLean, VA 22102 email: contactfare@foodallergy.org Telephone: (800) 929-4040"", ""value"": ""Privacy contact information""}}",102,473
3,C2576,3825,3,Introductory/Generic,9,"We at Food Allergy Research & Education recognize the importance of protecting your privacy. The purpose of this notice is to explain the practices and procedures we implement to protect your personal information, the way we use this information, and the choices you can make regarding our use of your personal information. This notice may be accessed by clicking on a ""Privacy Policy"" link that appears on each page of our website. Food Allergy Research & Education is committed to protecting your privacy and will honor this Policy.","{""Other Type"": {""endIndexInSegment"": 589, ""startIndexInSegment"": 55, ""selectedText"": ""We at Food Allergy Research & Education recognize the importance of protecting your privacy. The purpose of this notice is to explain the practices and procedures we implement to protect your personal information, the way we use this information, and the choices you can make regarding our use of your personal information. This notice may be accessed by clicking on a \""Privacy Policy\"" link that appears on each page of our website. Food Allergy Research & Education is committed to protecting your privacy and will honor this Policy."", ""value"": ""Introductory/Generic""}}",55,589
4,13078,3825,4,Policy Change,6,Food Allergy Research & Education reserves the right to change this Policy at any time.,"{""Change Type"": {""endIndexInSegment"": 139, ""startIndexInSegment"": 52, ""selectedText"": ""Food Allergy Research & Education reserves the right to change this Policy at any time."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 450, ""startIndexInSegment"": 412, ""selectedText"": ""We encourage you to read this Policy."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 411, ""startIndexInSegment"": 198, ""selectedText"": ""we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website (http://www.foodallergy.org) indicating that there has been a change or update to the Privacy Policy"", ""value"": ""General notice on website""}}",52,139
5,13078,3825,4,Policy Change,6,We encourage you to read this Policy.,"{""Change Type"": {""endIndexInSegment"": 139, ""startIndexInSegment"": 52, ""selectedText"": ""Food Allergy Research & Education reserves the right to change this Policy at any time."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 450, ""startIndexInSegment"": 412, ""selectedText"": ""We encourage you to read this Policy."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 411, ""startIndexInSegment"": 198, ""selectedText"": ""we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website (http://www.foodallergy.org) indicating that there has been a change or update to the Privacy Policy"", ""value"": ""General notice on website""}}",412,450
6,13078,3825,4,Policy Change,6,we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website (http://www.foodallergy.org) indicating that there has been a change or update to the Privacy Policy,"{""Change Type"": {""endIndexInSegment"": 139, ""startIndexInSegment"": 52, ""selectedText"": ""Food Allergy Research & Education reserves the right to change this Policy at any time."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 450, ""startIndexInSegment"": 412, ""selectedText"": ""We encourage you to read this Policy."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 411, ""startIndexInSegment"": 198, ""selectedText"": ""we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website (http://www.foodallergy.org) indicating that there has been a change or update to the Privacy Policy"", ""value"": ""General notice on website""}}",198,411
7,12862,3825,4,Policy Change,6,been a change or update to the Privacy Policy,"{""Change Type"": {""endIndexInSegment"": 411, ""startIndexInSegment"": 366, ""selectedText"": ""been a change or update to the Privacy Policy"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 198, ""selectedText"": ""we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website"", ""value"": ""General notice on website""}}",366,411
8,12862,3825,4,Policy Change,6,we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website,"{""Change Type"": {""endIndexInSegment"": 411, ""startIndexInSegment"": 366, ""selectedText"": ""been a change or update to the Privacy Policy"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 198, ""selectedText"": ""we will notify you of any changes to this Policy by posting a notice prominently on the main page of our website"", ""value"": ""General notice on website""}}",198,310
9,11871,3825,4,Policy Change,6,any changes to this Policy,"{""Change Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 220, ""selectedText"": ""any changes to this Policy"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 247, ""selectedText"": ""by posting a notice prominently on the main page of our website"", ""value"": ""General notice on website""}}",220,246
10,11871,3825,4,Policy Change,6,by posting a notice prominently on the main page of our website,"{""Change Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 220, ""selectedText"": ""any changes to this Policy"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 247, ""selectedText"": ""by posting a notice prominently on the main page of our website"", ""value"": ""General notice on website""}}",247,310
11,C2577,3825,5,First Party Collection/Use,0,sign up,"{""Collection Mode"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 199, ""selectedText"": ""sign up"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 338, ""startIndexInSegment"": 321, ""selectedText"": ""you will be asked"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 452, ""startIndexInSegment"": 381, ""selectedText"": ""name, gender, postal address, e-mail address, phone number, fax number,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 198, ""startIndexInSegment"": 182, ""selectedText"": ""if you choose to"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 640, ""startIndexInSegment"": 525, ""selectedText"": ""The purpose of collecting such data is to assist FARE in contacting individuals and to collect payments made online"", ""value"": ""Basic service/feature""}}",199,206
12,C2577,3825,5,First Party Collection/Use,0,you will be asked,"{""Collection Mode"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 199, ""selectedText"": ""sign up"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 338, ""startIndexInSegment"": 321, ""selectedText"": ""you will be asked"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 452, ""startIndexInSegment"": 381, ""selectedText"": ""name, gender, postal address, e-mail address, phone number, fax number,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 198, ""startIndexInSegment"": 182, ""selectedText"": ""if you choose to"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 640, ""startIndexInSegment"": 525, ""selectedText"": ""The purpose of collecting such data is to assist FARE in contacting individuals and to collect payments made online"", ""value"": ""Basic service/feature""}}",321,338
