,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,4756,3718,0,Introductory/Generic,9,Privacy Policy - Your Privacy Rights,"{""Other Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy - Your Privacy Rights"", ""value"": ""Introductory/Generic""}}",0,36
1,5459,3718,0,Introductory/Generic,9,"Privacy Policy - Your Privacy Rights Last revised: January 07, 2014","{""Other Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy - Your Privacy Rights Last revised: January 07, 2014"", ""value"": ""Introductory/Generic""}}",0,77
2,5801,3718,0,Policy Change,6,"Last revised: January 07, 2014","{""Change Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 47, ""selectedText"": ""Last revised: January 07, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 47, ""selectedText"": ""Last revised: January 07, 2014"", ""value"": ""General notice in privacy policy""}}",47,77
3,5801,3718,0,Policy Change,6,"Last revised: January 07, 2014","{""Change Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 47, ""selectedText"": ""Last revised: January 07, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 47, ""selectedText"": ""Last revised: January 07, 2014"", ""value"": ""General notice in privacy policy""}}",47,77
4,C2608,3718,1,First Party Collection/Use,0,we collect informatio,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 205, ""selectedText"": ""we collect informatio"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 287, ""startIndexInSegment"": 242, ""selectedText"": ""use it to facilitate and improve our services"", ""value"": ""Basic service/feature""}}",205,226
5,C2608,3718,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 205, ""selectedText"": ""we collect informatio"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 287, ""startIndexInSegment"": 242, ""selectedText"": ""use it to facilitate and improve our services"", ""value"": ""Basic service/feature""}}",216,227
6,C2608,3718,1,First Party Collection/Use,0,use it to facilitate and improve our services,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 205, ""selectedText"": ""we collect informatio"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 287, ""startIndexInSegment"": 242, ""selectedText"": ""use it to facilitate and improve our services"", ""value"": ""Basic service/feature""}}",242,287
7,4758,3718,1,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 252, ""selectedText"": ""facilitate"", ""value"": ""Basic service/feature""}}",208,215
8,4758,3718,1,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 252, ""selectedText"": ""facilitate"", ""value"": ""Basic service/feature""}}",208,215
9,4758,3718,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 252, ""selectedText"": ""facilitate"", ""value"": ""Basic service/feature""}}",216,227
10,4758,3718,1,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 252, ""selectedText"": ""facilitate"", ""value"": ""Basic service/feature""}}",208,215
11,4758,3718,1,First Party Collection/Use,0,facilitate,"{""Collection Mode"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 252, ""selectedText"": ""facilitate"", ""value"": ""Basic service/feature""}}",252,262
12,4759,3718,1,Third Party Sharing/Collection,1,other companies,"{""Third Party Entity"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 335, ""selectedText"": ""other companies"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 289, ""selectedText"": ""Information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 314, ""startIndexInSegment"": 311, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 329, ""startIndexInSegment"": 323, ""selectedText"": ""shared"", ""value"": ""Receive/Shared with""}}",335,350
