,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C368,3635,0,Introductory/Generic,9,"At the Atlantic Monthly Group, Inc. (""The Atlantic""), we want you to enjoy and benefit from our websites and online services secure in the knowledge that we have implemented fair information practices designed to protect your privacy. Our privacy policy is applicable to The Atlantic, and The Atlantics affiliates and subsidiaries whose websites, mobile applications and other online services are directly linked (the Sites). The privacy policy describes the kinds of information we may gather during your visit to these Sites, how we use your information, when we might disclose your personally identifiable information, and how you can manage your information.","{""Other Type"": {""endIndexInSegment"": 762, ""startIndexInSegment"": 100, ""selectedText"": ""At the Atlantic Monthly Group, Inc. (\""The Atlantic\""), we want you to enjoy and benefit from our websites and online services secure in the knowledge that we have implemented fair information practices designed to protect your privacy. Our privacy policy is applicable to The Atlantic, and The Atlantics affiliates and subsidiaries whose websites, mobile applications and other online services are directly linked (the Sites). The privacy policy describes the kinds of information we may gather during your visit to these Sites, how we use your information, when we might disclose your personally identifiable information, and how you can manage your information."", ""value"": ""Introductory/Generic""}}",100,762
1,C369,3635,1,Practice not covered,10,This privacy policy does not apply to Sites maintained by other companies or organizations to which we may link or who may link to us. We are not responsible for the actions and privacy policies of third party websites.,"{""Other Type"": {""endIndexInSegment"": 219, ""startIndexInSegment"": 0, ""selectedText"": ""This privacy policy does not apply to Sites maintained by other companies or organizations to which we may link or who may link to us. We are not responsible for the actions and privacy policies of third party websites."", ""value"": ""Practice not covered""}}",0,219
2,C370,3635,2,Policy Change,6,"We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use.","{""Change Type"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 229, ""selectedText"": ""We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 450, ""startIndexInSegment"": 335, ""selectedText"": ""Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 333, ""startIndexInSegment"": 319, ""selectedText"": ""without notice"", ""value"": ""No notification""}}",229,713
3,C370,3635,2,Policy Change,6,Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes.,"{""Change Type"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 229, ""selectedText"": ""We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 450, ""startIndexInSegment"": 335, ""selectedText"": ""Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 333, ""startIndexInSegment"": 319, ""selectedText"": ""without notice"", ""value"": ""No notification""}}",335,450
4,C370,3635,2,Policy Change,6,without notice,"{""Change Type"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 229, ""selectedText"": ""We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 450, ""startIndexInSegment"": 335, ""selectedText"": ""Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 333, ""startIndexInSegment"": 319, ""selectedText"": ""without notice"", ""value"": ""No notification""}}",319,333
5,C371,3635,2,Policy Change,6,"If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use.","{""Change Type"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 451, ""selectedText"": ""If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 682, ""selectedText"": ""seek your consent for such use."", ""value"": ""Opt-in""}, ""Notification Type"": {""endIndexInSegment"": 677, ""startIndexInSegment"": 611, ""selectedText"": ""we will provide you with notice of the modifications or amendments"", ""value"": ""Unspecified""}}",451,713
6,C371,3635,2,Policy Change,6,seek your consent for such use.,"{""Change Type"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 451, ""selectedText"": ""If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 682, ""selectedText"": ""seek your consent for such use."", ""value"": ""Opt-in""}, ""Notification Type"": {""endIndexInSegment"": 677, ""startIndexInSegment"": 611, ""selectedText"": ""we will provide you with notice of the modifications or amendments"", ""value"": ""Unspecified""}}",682,713
7,C371,3635,2,Policy Change,6,we will provide you with notice of the modifications or amendments,"{""Change Type"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 451, ""selectedText"": ""If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 682, ""selectedText"": ""seek your consent for such use."", ""value"": ""Opt-in""}, ""Notification Type"": {""endIndexInSegment"": 677, ""startIndexInSegment"": 611, ""selectedText"": ""we will provide you with notice of the modifications or amendments"", ""value"": ""Unspecified""}}",611,677
8,2843,3635,2,Introductory/Generic,9,What Information Is Collected?,"{""Other Type"": {""endIndexInSegment"": 754, ""startIndexInSegment"": 724, ""selectedText"": ""What Information Is Collected?"", ""value"": ""Introductory/Generic""}}",724,754
9,3620,3635,2,Introductory/Generic,9,"By visiting our Sites, you are accepting the practices described in our privacy policy, including our use of cookies and similar online tools. If you do not agree to the terms of this privacy policy, please do not use the Sites. We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use. What Information Is Collected? How Do the Sites Use Cookies and Other Tracking Technologies? How Do We Use Your Information? Who Can See Your Information? What Are Your Choices? Other Important Information Governing Law & Notice to Non-U.S. Users Questions About this Policy; Access to Your Information","{""Other Type"": {""endIndexInSegment"": 1180, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting our Sites, you are accepting the practices described in our privacy policy, including our use of cookies and similar online tools. If you do not agree to the terms of this privacy policy, please do not use the Sites. We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use. What Information Is Collected? How Do the Sites Use Cookies and Other Tracking Technologies? How Do We Use Your Information? Who Can See Your Information? What Are Your Choices? Other Important Information Governing Law & Notice to Non-U.S. Users Questions About this Policy; Access to Your Information"", ""value"": ""Introductory/Generic""}}",0,1180
10,C372,3635,3,First Party Collection/Use,0,demographics,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 402, ""startIndexInSegment"": 390, ""selectedText"": ""demographics"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 154, ""selectedText"": ""non-personally identifiable"", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 60, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 111, ""selectedText"": ""in conjunction with your use of the Sites"", ""value"": ""Basic service/feature""}}",390,402
