,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C399,3741,0,Introductory/Generic,9,IMDb Privacy Notice,"{""Other Type"": {""selectedText"": ""IMDb Privacy Notice"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 24, ""value"": ""Introductory/Generic""}}",0,24
1,C400,3741,1,Introductory/Generic,9,"Last Updated, December 5, 2014 . To see what has changed click here.","{""Other Type"": {""selectedText"": ""Last Updated, December 5, 2014 . To see what has changed click here."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 68, ""value"": ""Introductory/Generic""}}",0,68
2,13797,3741,1,Policy Change,6,"Last Updated, December 5, 2014 . To see what has changed click here.","{""Change Type"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated, December 5, 2014 . To see what has changed click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 67, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated, December 5, 2014 . To see what has changed click here"", ""value"": ""General notice in privacy policy""}}",0,68
3,13797,3741,1,Policy Change,6,"Last Updated, December 5, 2014 . To see what has changed click here","{""Change Type"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated, December 5, 2014 . To see what has changed click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 67, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated, December 5, 2014 . To see what has changed click here"", ""value"": ""General notice in privacy policy""}}",0,67
4,C401,3741,2,Introductory/Generic,9,"IMDb knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly.","{""Other Type"": {""endIndexInSegment"": 142, ""startIndexInSegment"": 0, ""selectedText"": ""IMDb knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly."", ""value"": ""Introductory/Generic""}}",0,142
5,C402,3741,3,Introductory/Generic,9,"By visiting IMDb, you are accepting the practices described in this Privacy Notice.","{""Other Type"": {""selectedText"": ""By visiting IMDb, you are accepting the practices described in this Privacy Notice."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 83, ""value"": ""Introductory/Generic""}}",0,83
6,15395,3741,4,First Party Collection/Use,0,we learn from users,"{""Collection Mode"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 101, ""selectedText"": ""we learn from users"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 85, ""selectedText"": ""The information we learn from users"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 130, ""selectedText"": ""personalize and continually improve your experience"", ""value"": ""Personalization/Customization""}}",101,120
7,15395,3741,4,First Party Collection/Use,0,Personal Information,"{""Collection Mode"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 101, ""selectedText"": ""we learn from users"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 85, ""selectedText"": ""The information we learn from users"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 130, ""selectedText"": ""personalize and continually improve your experience"", ""value"": ""Personalization/Customization""}}",14,34
8,15395,3741,4,First Party Collection/Use,0,Personal Information,"{""Collection Mode"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 101, ""selectedText"": ""we learn from users"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 85, ""selectedText"": ""The information we learn from users"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 130, ""selectedText"": ""personalize and continually improve your experience"", ""value"": ""Personalization/Customization""}}",14,34
9,15395,3741,4,First Party Collection/Use,0,The information we learn from users,"{""Collection Mode"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 101, ""selectedText"": ""we learn from users"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 85, ""selectedText"": ""The information we learn from users"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 130, ""selectedText"": ""personalize and continually improve your experience"", ""value"": ""Personalization/Customization""}}",85,120
10,15395,3741,4,First Party Collection/Use,0,personalize and continually improve your experience,"{""Collection Mode"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 101, ""selectedText"": ""we learn from users"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 85, ""selectedText"": ""The information we learn from users"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 130, ""selectedText"": ""personalize and continually improve your experience"", ""value"": ""Personalization/Customization""}}",130,181
11,24668,3741,4,Introductory/Generic,9,The information we learn from users helps us personalize and continually improve your experience at IMDb. Here are the types of information we gather.,"{""Other Type"": {""selectedText"": ""The information we learn from users helps us personalize and continually improve your experience at IMDb. Here are the types of information we gather."", ""startIndexInSegment"": 80, ""endIndexInSegment"": 235, ""value"": ""Introductory/Generic""}}",80,235
12,13799,3741,5,First Party Collection/Use,0,We use the information that you provide,"{""Collection Mode"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 309, ""selectedText"": ""We use the information that you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 45, ""selectedText"": ""We receive and store any information you enter on our Web site or give us in any other way."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 137, ""selectedText"": ""Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 483, ""startIndexInSegment"": 349, ""selectedText"": ""for such purposes as responding to your requests, customizing future browsing for you, improving our site, and communicating with you."", ""value"": ""Basic service/feature""}}",309,348
13,13799,3741,5,First Party Collection/Use,0,We receive and store any information you enter on our Web site or give us in any other way.,"{""Collection Mode"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 309, ""selectedText"": ""We use the information that you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 45, ""selectedText"": ""We receive and store any information you enter on our Web site or give us in any other way."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 137, ""selectedText"": ""Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 483, ""startIndexInSegment"": 349, ""selectedText"": ""for such purposes as responding to your requests, customizing future browsing for you, improving our site, and communicating with you."", ""value"": ""Basic service/feature""}}",45,136
14,13799,3741,5,First Party Collection/Use,0,"Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features.","{""Collection Mode"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 309, ""selectedText"": ""We use the information that you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 45, ""selectedText"": ""We receive and store any information you enter on our Web site or give us in any other way."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 137, ""selectedText"": ""Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 483, ""startIndexInSegment"": 349, ""selectedText"": ""for such purposes as responding to your requests, customizing future browsing for you, improving our site, and communicating with you."", ""value"": ""Basic service/feature""}}",137,308
15,13799,3741,5,First Party Collection/Use,0,"for such purposes as responding to your requests, customizing future browsing for you, improving our site, and communicating with you.","{""Collection Mode"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 309, ""selectedText"": ""We use the information that you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 45, ""selectedText"": ""We receive and store any information you enter on our Web site or give us in any other way."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 137, ""selectedText"": ""Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 483, ""startIndexInSegment"": 349, ""selectedText"": ""for such purposes as responding to your requests, customizing future browsing for you, improving our site, and communicating with you."", ""value"": ""Basic service/feature""}}",349,483
16,13800,3741,5,First Party Collection/Use,0,We use the information that you provide,"{""Collection Mode"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 309, ""selectedText"": ""We use the information that you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 45, ""selectedText"": ""We receive and store any information you enter on our Web site or give us in any other way."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 137, ""selectedText"": ""Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 435, ""startIndexInSegment"": 399, ""selectedText"": ""customizing future browsing for you,"", ""value"": ""Personalization/Customization""}}",309,348
17,13800,3741,5,First Party Collection/Use,0,We receive and store any information you enter on our Web site or give us in any other way.,"{""Collection Mode"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 309, ""selectedText"": ""We use the information that you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 45, ""selectedText"": ""We receive and store any information you enter on our Web site or give us in any other way."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 137, ""selectedText"": ""Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 435, ""startIndexInSegment"": 399, ""selectedText"": ""customizing future browsing for you,"", ""value"": ""Personalization/Customization""}}",45,136
18,13800,3741,5,First Party Collection/Use,0,"Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features.","{""Collection Mode"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 309, ""selectedText"": ""We use the information that you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 45, ""selectedText"": ""We receive and store any information you enter on our Web site or give us in any other way."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 137, ""selectedText"": ""Click here to see examples of what we collect. You can choose not to provide certain information, but then you might not be able to take advantage of many of our features."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 435, ""startIndexInSegment"": 399, ""selectedText"": ""customizing future browsing for you,"", ""value"": ""Personalization/Customization""}}",137,308
