,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3403,3735,0,Introductory/Generic,9,TGI FRIDAYS PRIVACY POLICY We want to make your online and mobile experiences satisfying and safe. We want to provide you with the means to control your privacy and give you a way to voice questions or concerns you may have.,"{""Other Type"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 0, ""selectedText"": ""TGI FRIDAYS PRIVACY POLICY We want to make your online and mobile experiences satisfying and safe. We want to provide you with the means to control your privacy and give you a way to voice questions or concerns you may have."", ""value"": ""Introductory/Generic""}}",0,234
1,C3404,3735,1,First Party Collection/Use,0,When you use our digital or mobile application,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""When you use our digital or mobile application"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 48, ""selectedText"": ""certain information about your activity is collected."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 299, ""startIndexInSegment"": 102, ""selectedText"": ""We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying"", ""value"": ""Personalization/Customization""}}",0,46
2,C3404,3735,1,First Party Collection/Use,0,certain information about your activity is collected.,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""When you use our digital or mobile application"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 48, ""selectedText"": ""certain information about your activity is collected."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 299, ""startIndexInSegment"": 102, ""selectedText"": ""We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying"", ""value"": ""Personalization/Customization""}}",48,101
3,C3404,3735,1,First Party Collection/Use,0,"We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""When you use our digital or mobile application"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 48, ""selectedText"": ""certain information about your activity is collected."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 299, ""startIndexInSegment"": 102, ""selectedText"": ""We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying"", ""value"": ""Personalization/Customization""}}",102,299
4,C3405,3735,1,First Party Collection/Use,0,"From time to time, we may initiate a program, service or survey","{""Collection Mode"": {""endIndexInSegment"": 364, ""startIndexInSegment"": 301, ""selectedText"": ""From time to time, we may initiate a program, service or survey"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""When you use our digital or mobile application"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 443, ""startIndexInSegment"": 365, ""selectedText"": ""that requests your name, birthday, email address, city of residence, ZIP code,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 299, ""startIndexInSegment"": 102, ""selectedText"": ""We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying"", ""value"": ""Personalization/Customization""}}",301,364
5,C3405,3735,1,First Party Collection/Use,0,When you use our digital or mobile application,"{""Collection Mode"": {""endIndexInSegment"": 364, ""startIndexInSegment"": 301, ""selectedText"": ""From time to time, we may initiate a program, service or survey"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""When you use our digital or mobile application"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 443, ""startIndexInSegment"": 365, ""selectedText"": ""that requests your name, birthday, email address, city of residence, ZIP code,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 299, ""startIndexInSegment"": 102, ""selectedText"": ""We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying"", ""value"": ""Personalization/Customization""}}",0,46
6,C3405,3735,1,First Party Collection/Use,0,"that requests your name, birthday, email address, city of residence, ZIP code,","{""Collection Mode"": {""endIndexInSegment"": 364, ""startIndexInSegment"": 301, ""selectedText"": ""From time to time, we may initiate a program, service or survey"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""When you use our digital or mobile application"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 443, ""startIndexInSegment"": 365, ""selectedText"": ""that requests your name, birthday, email address, city of residence, ZIP code,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 299, ""startIndexInSegment"": 102, ""selectedText"": ""We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying"", ""value"": ""Personalization/Customization""}}",365,443
7,C3405,3735,1,First Party Collection/Use,0,"We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying","{""Collection Mode"": {""endIndexInSegment"": 364, ""startIndexInSegment"": 301, ""selectedText"": ""From time to time, we may initiate a program, service or survey"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""When you use our digital or mobile application"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 443, ""startIndexInSegment"": 365, ""selectedText"": ""that requests your name, birthday, email address, city of residence, ZIP code,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 299, ""startIndexInSegment"": 102, ""selectedText"": ""We use this information to determine our users' preferences, to design initiatives to meet those preferences, to eliminate hassles, and to generally make your TGI Fridays experience more satisfying"", ""value"": ""Personalization/Customization""}}",102,299
8,C3406,3735,1,First Party Collection/Use,0,"a program, service or survey that requests","{""Collection Mode"": {""selectedText"": ""a program, service or survey that requests"", ""startIndexInSegment"": 336, ""endIndexInSegment"": 378, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays."", ""startIndexInSegment"": 379, ""endIndexInSegment"": 513, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you use our digital or mobile application,"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 47, ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""selectedText"": ""birthday,"", ""startIndexInSegment"": 390, ""endIndexInSegment"": 399, ""value"": ""Demographic""}, ""Choice Type"": {""selectedText"": ""requests"", ""startIndexInSegment"": 370, ""endIndexInSegment"": 378, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",336,378
9,C3406,3735,1,First Party Collection/Use,0,"your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays.","{""Collection Mode"": {""selectedText"": ""a program, service or survey that requests"", ""startIndexInSegment"": 336, ""endIndexInSegment"": 378, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""your name, birthday, email address, city of residence, ZIP code, or information about what you like and do not like about TGI Fridays."", ""startIndexInSegment"": 379, ""endIndexInSegment"": 513, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you use our digital or mobile application,"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 47, ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""selectedText"": ""birthday,"", ""startIndexInSegment"": 390, ""endIndexInSegment"": 399, ""value"": ""Demographic""}, ""Choice Type"": {""selectedText"": ""requests"", ""startIndexInSegment"": 370, ""endIndexInSegment"": 378, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",379,513
