,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3608,3703,0,Other,0,Last Updated: March 2015,"{""Other Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 42, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Other""}}",42,66
1,7971,3703,0,Introductory/Generic,9,Walmart Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 22, ""startIndexInSegment"": 0, ""selectedText"": ""Walmart Privacy Policy"", ""value"": ""Introductory/Generic""}}",0,22
2,C3609,3703,1,Introductory/Generic,9,"At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices.","{""Other Type"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 0, ""selectedText"": ""At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices."", ""value"": ""Introductory/Generic""}}",0,156
3,17768,3703,1,First Party Collection/Use,0,information you share with,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 251, ""startIndexInSegment"": 206, ""selectedText"": ""to provide the products and services you need"", ""value"": ""Basic service/feature""}}",161,187
4,17768,3703,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 251, ""startIndexInSegment"": 206, ""selectedText"": ""to provide the products and services you need"", ""value"": ""Basic service/feature""}}",161,172
5,17768,3703,1,First Party Collection/Use,0,you share with,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 251, ""startIndexInSegment"": 206, ""selectedText"": ""to provide the products and services you need"", ""value"": ""Basic service/feature""}}",173,187
6,17768,3703,1,First Party Collection/Use,0,to provide the products and services you need,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 251, ""startIndexInSegment"": 206, ""selectedText"": ""to provide the products and services you need"", ""value"": ""Basic service/feature""}}",206,251
7,17769,3703,1,First Party Collection/Use,0,information you share with,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 267, ""selectedText"": ""giving you the very best shopping experience."", ""value"": ""Unspecified""}}",161,187
8,17769,3703,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 267, ""selectedText"": ""giving you the very best shopping experience."", ""value"": ""Unspecified""}}",161,172
9,17769,3703,1,First Party Collection/Use,0,you share with,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 267, ""selectedText"": ""giving you the very best shopping experience."", ""value"": ""Unspecified""}}",173,187
