,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,21127,3840,0,Introductory/Generic,9,Privacy Policy Minnesota Vikings Website Privacy Policy,"{""Other Type"": {""selectedText"": ""Privacy Policy Minnesota Vikings Website Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 84, ""value"": ""Introductory/Generic""}}",0,84
1,21988,3840,0,Introductory/Generic,9,Minnesota Vikings Website Privacy Policy,"{""Other Type"": {""selectedText"": ""Minnesota Vikings Website Privacy Policy"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 84, ""value"": ""Introductory/Generic""}}",44,84
2,C3743,3840,1,Other,0,"Posted: October 17, 2013","{""Other Type"": {""selectedText"": ""Posted: October 17, 2013"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 24, ""value"": ""Other""}}",0,24
3,C3744,3840,2,Introductory/Generic,9,"This privacy policy applies to the Minnesota Vikings' website located at www.vikings.com and www.minnesotavikings.com (the ""Website""). The purpose of this privacy policy is to disclose to you what information we may collect, how we may collect it, with whom we may share it, and certain other matters related to such information, including the choices you have regarding our collection of information and our use and disclosure to other parties of information we may have collected from you.","{""Other Type"": {""selectedText"": ""This privacy policy applies to the Minnesota Vikings' website located at www.vikings.com and www.minnesotavikings.com (the \""Website\""). The purpose of this privacy policy is to disclose to you what information we may collect, how we may collect it, with whom we may share it, and certain other matters related to such information, including the choices you have regarding our collection of information and our use and disclosure to other parties of information we may have collected from you."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 491, ""value"": ""Introductory/Generic""}}",0,491
4,C3745,3840,3,Introductory/Generic,9,"The Website is operated by the Minnesota Vikings Football, LLC.","{""Other Type"": {""selectedText"": ""The Website is operated by the Minnesota Vikings Football, LLC."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 63, ""value"": ""Introductory/Generic""}}",0,63
5,C3746,3840,4,Privacy contact information,11,"If you have questions or complaints regarding our privacy policy or practices, please contact us here. If you are not satisfied with our response you can contact TRUSTe here.","{""Other Type"": {""selectedText"": ""If you have questions or complaints regarding our privacy policy or practices, please contact us here. If you are not satisfied with our response you can contact TRUSTe here."", ""startIndexInSegment"": 697, ""endIndexInSegment"": 871, ""value"": ""Privacy contact information""}}",697,871
6,C3747,3840,4,Data Security,5,"The Minnesota Vikings has been awarded TRUSTe's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers information collected through this Web site, www.vikings.com and www.minnesotavikings.com and does not cover information that may be collected through our mobile applications. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions. If you have questions or complaints regarding our privacy policy or practices, please contact us here. If you are not satisfied with our response you can contact TRUSTe here.","{""Security Measure"": {""selectedText"": ""The Minnesota Vikings has been awarded TRUSTe's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers information collected through this Web site, www.vikings.com and www.minnesotavikings.com and does not cover information that may be collected through our mobile applications. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions. If you have questions or complaints regarding our privacy policy or practices, please contact us here. If you are not satisfied with our response you can contact TRUSTe here."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 871, ""value"": ""Privacy/Security program""}}",0,871
7,21992,3840,4,Introductory/Generic,9,"The Minnesota Vikings has been awarded TRUSTe's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers information collected through this Web site, www.vikings.com and www.minnesotavikings.com and does not cover information that may be collected through our mobile applications. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions.","{""Other Type"": {""selectedText"": ""The Minnesota Vikings has been awarded TRUSTe's Privacy Seal signifying that this privacy policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability and choice regarding the collection and use of your personal information. The TRUSTe program covers information collected through this Web site, www.vikings.com and www.minnesotavikings.com and does not cover information that may be collected through our mobile applications. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 696, ""value"": ""Introductory/Generic""}}",0,696
8,C3748,3840,5,Introductory/Generic,9,"When this privacy policy uses the term ""personally identifiable information"" or ""personal information,"" we mean information that identifies a particular individual, such as your full name, street address or email address. When other information, such as a favorite team or player, is associated with personal information, it also becomes personally identifiable information for the purposes of this privacy policy.","{""Other Type"": {""selectedText"": ""When this privacy policy uses the term \""personally identifiable information\"" or \""personal information,\"" we mean information that identifies a particular individual, such as your full name, street address or email address. When other information, such as a favorite team or player, is associated with personal information, it also becomes personally identifiable information for the purposes of this privacy policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 414, ""value"": ""Introductory/Generic""}}",0,414
9,18794,3840,5,First Party Collection/Use,0,"When this privacy policy uses the term ""personally identifiable information"" or ""personal information,"" we mean information that identifies a particular individual, such as your full name, street address or email address. When other information, such as a favorite team or player, is associated with personal information, it also becomes personally identifiable information for the purposes of this privacy policy.","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""When this privacy policy uses the term \""personally identifiable information\"" or \""personal information,\"" we mean information that identifies a particular individual, such as your full name, street address or email address. When other information, such as a favorite team or player, is associated with personal information, it also becomes personally identifiable information for the purposes of this privacy policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 414, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""When this privacy policy uses the term \""personally identifiable information\"" or \""personal information,\"" we mean information that identifies a particular individual, such as your full name, street address or email address."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 221, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""When this privacy policy uses the term \""personally identifiable information\"" or \""personal information,\"" we mean information that identifies a particular individual, such as your full name, street address or email address. When other information, such as a favorite team or player, is associated with personal information, it also becomes personally identifiable information for the purposes of this privacy policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 414, ""value"": ""Other""}}",0,414
