,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,3028,3638,0,Introductory/Generic,9,"Effective Date: January 1, 2013.","{""Other Type"": {""endIndexInSegment"": 76, ""startIndexInSegment"": 44, ""selectedText"": ""Effective Date: January 1, 2013."", ""value"": ""Introductory/Generic""}}",44,76
1,3781,3638,0,Introductory/Generic,9,"Privacy Policy Effective Date: January 1, 2013.","{""Other Type"": {""endIndexInSegment"": 76, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Effective Date: January 1, 2013."", ""value"": ""Introductory/Generic""}}",9,76
2,C3961,3638,1,Introductory/Generic,9,"The Media Research Center (THE MRC or we) is the owner and operator of NewsBusters.org (the Website), a multimedia news and commentary website.","{""Other Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 0, ""selectedText"": ""The Media Research Center (THE MRC or we) is the owner and operator of NewsBusters.org (the Website), a multimedia news and commentary website."", ""value"": ""Introductory/Generic""}}",0,143
3,C3962,3638,2,Introductory/Generic,9,"In this Privacy Policy (Policy), we describe the information that we collect about you as you use our Website and our products and services contained in our Website (collectively, our Services). This Policy applies to information that we collect online and offline.","{""Other Type"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 0, ""selectedText"": ""In this Privacy Policy (Policy), we describe the information that we collect about you as you use our Website and our products and services contained in our Website (collectively, our Services). This Policy applies to information that we collect online and offline."", ""value"": ""Introductory/Generic""}}",0,265
4,3030,3638,3,Introductory/Generic,9,"We are operated entirely within the United States. If you are located outside of the United States, please note that any information including personal data that we collect about you will be transferred to and processed in the United States. You hereby consent to these transfers.","{""Other Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 0, ""selectedText"": ""We are operated entirely within the United States. If you are located outside of the United States, please note that any information including personal data that we collect about you will be transferred to and processed in the United States. You hereby consent to these transfers."", ""value"": ""Introductory/Generic""}}",0,280
5,C3964,3638,4,Introductory/Generic,9,WHAT TYPES OF INFORMATION DO WE COLLECT? PERSONALLY IDENTIFIABLE INFORMATION WE COLLECT FROM AND ABOUT YOU INFORMATION COLLECTED AUTOMATICALLY WHEN USING OUR SERVICES HOW DO WE USE YOUR INFORMATION? WITH WHOM DO WE SHARE THE INFORMATION WE COLLECT? HOW CAN YOU MAKE CHOICES ABOUT THE INFORMATION THAT WE COLLECT ABOUT YOU? ADVERTISING LINKS TO OTHER (THIRD PARTY) WEBSITES HOW DO WE SECURE YOUR PERSONALLY IDENTIFIABLE INFORMATION? CHILDREN CHANGES TO THIS PRIVACY POLICY SPECIAL NOTICE TO CALIFORNIA CONSUMERS HOW TO CONTACT US,"{""Other Type"": {""endIndexInSegment"": 672, ""startIndexInSegment"": 0, ""selectedText"": ""WHAT TYPES OF INFORMATION DO WE COLLECT? PERSONALLY IDENTIFIABLE INFORMATION WE COLLECT FROM AND ABOUT YOU INFORMATION COLLECTED AUTOMATICALLY WHEN USING OUR SERVICES HOW DO WE USE YOUR INFORMATION? WITH WHOM DO WE SHARE THE INFORMATION WE COLLECT? HOW CAN YOU MAKE CHOICES ABOUT THE INFORMATION THAT WE COLLECT ABOUT YOU? ADVERTISING LINKS TO OTHER (THIRD PARTY) WEBSITES HOW DO WE SECURE YOUR PERSONALLY IDENTIFIABLE INFORMATION? CHILDREN CHANGES TO THIS PRIVACY POLICY SPECIAL NOTICE TO CALIFORNIA CONSUMERS HOW TO CONTACT US"", ""value"": ""Introductory/Generic""}}",0,672
6,3032,3638,4,First Party Collection/Use,0,FROM,"{""Collection Mode"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 108, ""selectedText"": ""FROM"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 96, ""startIndexInSegment"": 61, ""selectedText"": ""PERSONALLY IDENTIFIABLE INFORMATION"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 72, ""selectedText"": ""IDENTIFIABLE"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""DO"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",108,112
7,3032,3638,4,First Party Collection/Use,0,PERSONALLY IDENTIFIABLE INFORMATION,"{""Collection Mode"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 108, ""selectedText"": ""FROM"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 96, ""startIndexInSegment"": 61, ""selectedText"": ""PERSONALLY IDENTIFIABLE INFORMATION"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 72, ""selectedText"": ""IDENTIFIABLE"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""DO"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",61,96
8,3032,3638,4,First Party Collection/Use,0,IDENTIFIABLE,"{""Collection Mode"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 108, ""selectedText"": ""FROM"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 96, ""startIndexInSegment"": 61, ""selectedText"": ""PERSONALLY IDENTIFIABLE INFORMATION"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 72, ""selectedText"": ""IDENTIFIABLE"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""DO"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",72,84
9,3032,3638,4,First Party Collection/Use,0,DO,"{""Collection Mode"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 108, ""selectedText"": ""FROM"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 96, ""startIndexInSegment"": 61, ""selectedText"": ""PERSONALLY IDENTIFIABLE INFORMATION"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 72, ""selectedText"": ""IDENTIFIABLE"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""DO"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",26,28
