,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4610,3719,0,Introductory/Generic,9,Geekdo takes your privacy seriously. Please read the following to learn more about our privacy policy.,"{""Other Type"": {""endIndexInSegment"": 127, ""startIndexInSegment"": 25, ""selectedText"": ""Geekdo takes your privacy seriously. Please read the following to learn more about our privacy policy."", ""value"": ""Introductory/Generic""}}",25,127
1,C4611,3719,1,Third Party Sharing/Collection,1,"Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission","{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",0,145
2,C4611,3719,1,Third Party Sharing/Collection,1,personal information,"{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",37,57
3,C4611,3719,1,Third Party Sharing/Collection,1,except when we have your explicit permission,"{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",101,145
4,C4611,3719,1,Third Party Sharing/Collection,1,personal information,"{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",37,57
5,C4611,3719,1,Third Party Sharing/Collection,1,"rent, sell, or share","{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",16,36
6,C4611,3719,1,Third Party Sharing/Collection,1,does not,"{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",7,15
7,C4612,3719,1,Third Party Sharing/Collection,1,ompanies,"{""Third Party Entity"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 90, ""selectedText"": ""ompanies"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 113, ""selectedText"": ""we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 31, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",90,98
8,C4612,3719,1,Third Party Sharing/Collection,1,personal information,"{""Third Party Entity"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 90, ""selectedText"": ""ompanies"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 113, ""selectedText"": ""we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 31, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",37,57
9,C4612,3719,1,Third Party Sharing/Collection,1,we have your explicit permission,"{""Third Party Entity"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 90, ""selectedText"": ""ompanies"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 113, ""selectedText"": ""we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 31, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",113,145
