,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4852,3736,0,Introductory/Generic,9,"PRIVACY POLICY Buffalo Wild Wings, Inc., its franchisees, marketing agencies, and affiliated contractors, as specifically identified here (collectively ""BWW,"" ""we"" or ""us""), appreciate your patronage and take your privacy very seriously. As a result, we've developed the following policy terms which apply to all websites and mobile applications owned and operated by BWW, specifically including the buffalowildwings.com site and the Fight4Fandom Mobile App (collectively the ""Site(s)"").","{""Other Type"": {""endIndexInSegment"": 516, ""startIndexInSegment"": 9, ""selectedText"": ""PRIVACY POLICY Buffalo Wild Wings, Inc., its franchisees, marketing agencies, and affiliated contractors, as specifically identified here (collectively \""BWW,\"" \""we\"" or \""us\""), appreciate your patronage and take your privacy very seriously. As a result, we've developed the following policy terms which apply to all websites and mobile applications owned and operated by BWW, specifically including the buffalowildwings.com site and the Fight4Fandom Mobile App (collectively the \""Site(s)\"")."", ""value"": ""Introductory/Generic""}}",9,516
1,C4853,3736,1,Introductory/Generic,9,"We encourage you to read this Privacy Policy carefully to understand what personal information we may collect from you through our Sites, how we may use or share this information, and what steps you may take to control such use or sharing.","{""Other Type"": {""selectedText"": ""We encourage you to read this Privacy Policy carefully to understand what personal information we may collect from you through our Sites, how we may use or share this information, and what steps you may take to control such use or sharing."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 244, ""value"": ""Introductory/Generic""}}",0,244
2,C4854,3736,2,First Party Collection/Use,0,you affirmatively choose to provide us,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 100, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 478, ""startIndexInSegment"": 45, ""selectedText"": ""We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 189, ""startIndexInSegment"": 169, ""selectedText"": ""the pages you access"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 235, ""selectedText"": ""purchasing products, creating an account, joining our loyalty programs"", ""value"": ""Basic service/feature""}}",72,110
3,C4854,3736,2,First Party Collection/Use,0,provide us,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 100, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 478, ""startIndexInSegment"": 45, ""selectedText"": ""We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 189, ""startIndexInSegment"": 169, ""selectedText"": ""the pages you access"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 235, ""selectedText"": ""purchasing products, creating an account, joining our loyalty programs"", ""value"": ""Basic service/feature""}}",100,110
4,C4854,3736,2,First Party Collection/Use,0,"We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites.","{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 100, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 478, ""startIndexInSegment"": 45, ""selectedText"": ""We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 189, ""startIndexInSegment"": 169, ""selectedText"": ""the pages you access"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 235, ""selectedText"": ""purchasing products, creating an account, joining our loyalty programs"", ""value"": ""Basic service/feature""}}",45,478
5,C4854,3736,2,First Party Collection/Use,0,the pages you access,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 100, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 478, ""startIndexInSegment"": 45, ""selectedText"": ""We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 189, ""startIndexInSegment"": 169, ""selectedText"": ""the pages you access"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 235, ""selectedText"": ""purchasing products, creating an account, joining our loyalty programs"", ""value"": ""Basic service/feature""}}",169,189
6,C4854,3736,2,First Party Collection/Use,0,you affirmatively choose to provide us,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 100, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 478, ""startIndexInSegment"": 45, ""selectedText"": ""We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 189, ""startIndexInSegment"": 169, ""selectedText"": ""the pages you access"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 235, ""selectedText"": ""purchasing products, creating an account, joining our loyalty programs"", ""value"": ""Basic service/feature""}}",72,110
7,C4854,3736,2,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 100, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 478, ""startIndexInSegment"": 45, ""selectedText"": ""We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 189, ""startIndexInSegment"": 169, ""selectedText"": ""the pages you access"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 235, ""selectedText"": ""purchasing products, creating an account, joining our loyalty programs"", ""value"": ""Basic service/feature""}}",45,55
8,C4854,3736,2,First Party Collection/Use,0,"purchasing products, creating an account, joining our loyalty programs","{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 100, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 478, ""startIndexInSegment"": 45, ""selectedText"": ""We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 189, ""startIndexInSegment"": 169, ""selectedText"": ""the pages you access"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 235, ""selectedText"": ""purchasing products, creating an account, joining our loyalty programs"", ""value"": ""Basic service/feature""}}",235,305
9,C4855,3736,2,First Party Collection/Use,0,you affirmatively choose to provide us,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 100, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 478, ""startIndexInSegment"": 45, ""selectedText"": ""We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 142, ""selectedText"": ""name, contact information"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 72, ""selectedText"": ""you affirmatively choose to provide us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 168, ""startIndexInSegment"": 129, ""selectedText"": ""provide your name, contact information,"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 235, ""selectedText"": ""purchasing products, creating an account, joining our loyalty programs"", ""value"": ""Basic service/feature""}}",72,110
