,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C111,3727,0,Introductory/Generic,9,THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY.,"{""Other Type"": {""endIndexInSegment"": 214, ""startIndexInSegment"": 57, ""selectedText"": ""THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY."", ""value"": ""Introductory/Generic""}}",57,214
1,5420,3727,1,Other,0,breach,"{""Other Type"": {""endIndexInSegment"": 216, ""startIndexInSegment"": 210, ""selectedText"": ""breach"", ""value"": ""Other""}}",210,216
2,6421,3727,1,Data Security,5,Kaleida Health is required by law to protect the privacy of health information that may reveal your identity,"{""Security Measure"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 0, ""selectedText"": ""Kaleida Health is required by law to protect the privacy of health information that may reveal your identity"", ""value"": ""Other""}}",0,108
3,7119,3727,1,Introductory/Generic,9,"Kaleida Health is required by law to protect the privacy of health information that may reveal your identity, to provide you with this notice of our privacy practices, and to notify you if we become aware of a breach of your health information. A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit.","{""Other Type"": {""endIndexInSegment"": 492, ""startIndexInSegment"": 0, ""selectedText"": ""Kaleida Health is required by law to protect the privacy of health information that may reveal your identity, to provide you with this notice of our privacy practices, and to notify you if we become aware of a breach of your health information. A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit."", ""value"": ""Introductory/Generic""}}",0,492
4,7120,3727,1,Privacy contact information,11,"A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit.","{""Other Type"": {""endIndexInSegment"": 492, ""startIndexInSegment"": 244, ""selectedText"": ""A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit."", ""value"": ""Privacy contact information""}}",244,492
5,C112,3727,2,Privacy contact information,11,Kaleida Health Privacy Officer at 716-859-8559.,"{""Other Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 98, ""selectedText"": ""Kaleida Health Privacy Officer at 716-859-8559."", ""value"": ""Privacy contact information""}}",98,145
6,C113,3727,3,Introductory/Generic,9,"WHO WILL FOLLOW THIS NOTICE? Kaleida Health provides health care to patients along with physicians and other health care professionals and organizations. The privacy practices described in this notice will be followed by the following persons at Buffalo General Medical Center, Gates Vascular Institute, Women's and Children's Hospital of Buffalo, Millard Fillmore Suburban Hospital, DeGraff Memorial Hospital, and Kaleida Health affiliated clinics and laboratories: Any health care professional who treats you at any of these locations; All employees, medical staff, trainees, students or volunteers at any of these locations; Any business associates of these facilities (which are described further below).","{""Other Type"": {""endIndexInSegment"": 791, ""startIndexInSegment"": 9, ""selectedText"": ""WHO WILL FOLLOW THIS NOTICE? Kaleida Health provides health care to patients along with physicians and other health care professionals and organizations. The privacy practices described in this notice will be followed by the following persons at Buffalo General Medical Center, Gates Vascular Institute, Women's and Children's Hospital of Buffalo, Millard Fillmore Suburban Hospital, DeGraff Memorial Hospital, and Kaleida Health affiliated clinics and laboratories: Any health care professional who treats you at any of these locations; All employees, medical staff, trainees, students or volunteers at any of these locations; Any business associates of these facilities (which are described further below)."", ""value"": ""Introductory/Generic""}}",9,791
7,6422,3727,3,Introductory/Generic,9,WHO WILL FOLLOW THIS NOTICE?,"{""Other Type"": {""endIndexInSegment"": 37, ""startIndexInSegment"": 9, ""selectedText"": ""WHO WILL FOLLOW THIS NOTICE?"", ""value"": ""Introductory/Generic""}}",9,37
8,5423,3727,4,First Party Collection/Use,0,use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 149, ""selectedText"": ""use"", ""value"": ""Use""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 176, ""startIndexInSegment"": 170, ""selectedText"": ""health"", ""value"": ""Health""}, ""Choice Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 235, ""selectedText"": ""permissions"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 149, ""selectedText"": ""use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 214, ""startIndexInSegment"": 195, ""selectedText"": ""variety of purposes"", ""value"": ""Unspecified""}}",149,152
9,5423,3727,4,First Party Collection/Use,0,health,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 149, ""selectedText"": ""use"", ""value"": ""Use""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 176, ""startIndexInSegment"": 170, ""selectedText"": ""health"", ""value"": ""Health""}, ""Choice Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 235, ""selectedText"": ""permissions"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 149, ""selectedText"": ""use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 214, ""startIndexInSegment"": 195, ""selectedText"": ""variety of purposes"", ""value"": ""Unspecified""}}",170,176
