,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C301,3712,0,Introductory/Generic,9,Thank you for visiting our website. We protect your privacy while you visit us online.,"{""Other Type"": {""selectedText"": ""Thank you for visiting our website. We protect your privacy while you visit us online."", ""startIndexInSegment"": 47, ""endIndexInSegment"": 133, ""value"": ""Introductory/Generic""}}",47,133
1,9585,3712,0,Data Security,5,We protect your privacy while you visit us online,"{""Security Measure"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 83, ""selectedText"": ""We protect your privacy while you visit us online"", ""value"": ""Generic""}}",83,132
2,C302,3712,1,Other,0,Personal Information You do not have to provide any personal information to visit this website.,"{""Other Type"": {""endIndexInSegment"": 105, ""startIndexInSegment"": 0, ""selectedText"": ""Personal Information You do not have to provide any personal information to visit this website."", ""value"": ""Other""}}",0,105
3,25048,3712,1,User Choice/Control,2,You do not have to,"{""Choice Type"": {""selectedText"": ""You do not have to"", ""startIndexInSegment"": 31, ""endIndexInSegment"": 49, ""value"": ""Other""}, ""Choice Scope"": {""selectedText"": ""provide"", ""startIndexInSegment"": 50, ""endIndexInSegment"": 57, ""value"": ""First party collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to visit this website."", ""startIndexInSegment"": 83, ""endIndexInSegment"": 105, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""any personal information"", ""startIndexInSegment"": 58, ""endIndexInSegment"": 82, ""value"": ""Generic personal information""}}",31,49
4,25048,3712,1,User Choice/Control,2,provide,"{""Choice Type"": {""selectedText"": ""You do not have to"", ""startIndexInSegment"": 31, ""endIndexInSegment"": 49, ""value"": ""Other""}, ""Choice Scope"": {""selectedText"": ""provide"", ""startIndexInSegment"": 50, ""endIndexInSegment"": 57, ""value"": ""First party collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to visit this website."", ""startIndexInSegment"": 83, ""endIndexInSegment"": 105, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""any personal information"", ""startIndexInSegment"": 58, ""endIndexInSegment"": 82, ""value"": ""Generic personal information""}}",50,57
5,25048,3712,1,User Choice/Control,2,to visit this website.,"{""Choice Type"": {""selectedText"": ""You do not have to"", ""startIndexInSegment"": 31, ""endIndexInSegment"": 49, ""value"": ""Other""}, ""Choice Scope"": {""selectedText"": ""provide"", ""startIndexInSegment"": 50, ""endIndexInSegment"": 57, ""value"": ""First party collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to visit this website."", ""startIndexInSegment"": 83, ""endIndexInSegment"": 105, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""any personal information"", ""startIndexInSegment"": 58, ""endIndexInSegment"": 82, ""value"": ""Generic personal information""}}",83,105
6,25048,3712,1,User Choice/Control,2,any personal information,"{""Choice Type"": {""selectedText"": ""You do not have to"", ""startIndexInSegment"": 31, ""endIndexInSegment"": 49, ""value"": ""Other""}, ""Choice Scope"": {""selectedText"": ""provide"", ""startIndexInSegment"": 50, ""endIndexInSegment"": 57, ""value"": ""First party collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to visit this website."", ""startIndexInSegment"": 83, ""endIndexInSegment"": 105, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""any personal information"", ""startIndexInSegment"": 58, ""endIndexInSegment"": 82, ""value"": ""Generic personal information""}}",58,82
7,C303,3712,2,First Party Collection/Use,0,"you provide us information about yourself via e-mail or a web form,","{""Collection Mode"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 3, ""selectedText"": ""you provide us information about yourself via e-mail or a web form,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 7, ""selectedText"": ""provide us information about yourself"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 69, ""startIndexInSegment"": 3, ""selectedText"": ""you provide us information about yourself via e-mail or a web form"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 288, ""startIndexInSegment"": 269, ""selectedText"": ""contact information"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 0, ""selectedText"": ""If you provide us information about yourself"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 72, ""selectedText"": ""our information will be used only for the purposes described at the point of collection,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 458, ""startIndexInSegment"": 352, ""selectedText"": ""clarify your comment or question, or to learn about your level of customer satisfaction with our services."", ""value"": ""Basic service/feature""}}",3,70
8,C303,3712,2,First Party Collection/Use,0,provide us information about yourself,"{""Collection Mode"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 3, ""selectedText"": ""you provide us information about yourself via e-mail or a web form,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 7, ""selectedText"": ""provide us information about yourself"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 69, ""startIndexInSegment"": 3, ""selectedText"": ""you provide us information about yourself via e-mail or a web form"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 288, ""startIndexInSegment"": 269, ""selectedText"": ""contact information"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 0, ""selectedText"": ""If you provide us information about yourself"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 72, ""selectedText"": ""our information will be used only for the purposes described at the point of collection,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 458, ""startIndexInSegment"": 352, ""selectedText"": ""clarify your comment or question, or to learn about your level of customer satisfaction with our services."", ""value"": ""Basic service/feature""}}",7,44
9,C303,3712,2,First Party Collection/Use,0,you provide us information about yourself via e-mail or a web form,"{""Collection Mode"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 3, ""selectedText"": ""you provide us information about yourself via e-mail or a web form,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 7, ""selectedText"": ""provide us information about yourself"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 69, ""startIndexInSegment"": 3, ""selectedText"": ""you provide us information about yourself via e-mail or a web form"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 288, ""startIndexInSegment"": 269, ""selectedText"": ""contact information"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 0, ""selectedText"": ""If you provide us information about yourself"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 72, ""selectedText"": ""our information will be used only for the purposes described at the point of collection,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 458, ""startIndexInSegment"": 352, ""selectedText"": ""clarify your comment or question, or to learn about your level of customer satisfaction with our services."", ""value"": ""Basic service/feature""}}",3,69
