,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C738,3713,0,First Party Collection/Use,0,that you voluntarily provide.,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",336,365
1,C738,3713,0,First Party Collection/Use,0,collect personal information,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",307,335
2,C738,3713,0,First Party Collection/Use,0,personal information,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",315,335
3,C738,3713,0,First Party Collection/Use,0,you voluntarily provide,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",341,364
4,C738,3713,0,First Party Collection/Use,0,We will only collect,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",294,314
5,C738,3713,0,First Party Collection/Use,0,our online visitors and subscribers,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",175,210
6,C738,3713,0,First Party Collection/Use,0,We will only use the personal information you provide for its intended purpose.,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",376,455
7,C739,3713,0,Third Party Sharing/Collection,1,government agency,"{""Third Party Entity"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 514, ""selectedText"": ""government agency"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 550, ""startIndexInSegment"": 535, ""selectedText"": ""required by law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",514,531
8,C739,3713,0,Third Party Sharing/Collection,1,required by law,"{""Third Party Entity"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 514, ""selectedText"": ""government agency"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 550, ""startIndexInSegment"": 535, ""selectedText"": ""required by law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",535,550
9,C739,3713,0,Third Party Sharing/Collection,1,personal information,"{""Third Party Entity"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 514, ""selectedText"": ""government agency"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 550, ""startIndexInSegment"": 535, ""selectedText"": ""required by law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",488,508
