,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3720,3830,0,Introductory/Generic,9,"PRIVACY POLICY Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved.","{""Other Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 9, ""selectedText"": ""PRIVACY POLICY Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved."", ""value"": ""Introductory/Generic""}}",9,107
1,C3721,3830,1,User Choice/Control,2,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.","{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 113, ""selectedText"": ""ollection and use"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 100, ""selectedText"": ""information"", ""value"": ""Unspecified""}}",47,177
2,C3721,3830,1,User Choice/Control,2,ollection and use,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 113, ""selectedText"": ""ollection and use"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 100, ""selectedText"": ""information"", ""value"": ""Unspecified""}}",113,130
3,C3721,3830,1,User Choice/Control,2,information,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 113, ""selectedText"": ""ollection and use"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 100, ""selectedText"": ""information"", ""value"": ""Unspecified""}}",100,111
4,13373,3830,1,Introductory/Generic,9,Abita is committed to protecting your privacy.,"{""Other Type"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""Abita is committed to protecting your privacy."", ""value"": ""Introductory/Generic""}}",0,46
5,13654,3830,1,Data Security,5,Abita is committed to protecting your privacy.,"{""Security Measure"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""Abita is committed to protecting your privacy."", ""value"": ""Generic""}}",0,46
6,13656,3830,1,User Choice/Control,2,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.","{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 127, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 96, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",47,177
7,13656,3830,1,User Choice/Control,2,use,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 127, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 96, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",127,130
8,13656,3830,1,User Choice/Control,2,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.","{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 127, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 96, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",47,177
9,13656,3830,1,User Choice/Control,2,the information,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 127, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 96, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",96,111
