,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C902,3728,0,Introductory/Generic,9,The Coffee Review is committed to preserving your privacy. The following statement discloses the information gathering and dissemination practices for the CoffeeReview.com website and the Coffee Review Marketplace.,"{""Other Type"": {""endIndexInSegment"": 261, ""startIndexInSegment"": 47, ""selectedText"": ""The Coffee Review is committed to preserving your privacy. The following statement discloses the information gathering and dissemination practices for the CoffeeReview.com website and the Coffee Review Marketplace."", ""value"": ""Introductory/Generic""}}",47,261
1,C903,3728,1,First Party Collection/Use,0,We use your IP address,"{""Collection Mode"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 26, ""selectedText"": ""IP address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 112, ""selectedText"": ""Your IP address is used to help identify you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address to help diagnose problems with our server, and to administer our Web site. Your IP address is used to help identify you and, in the case of the Coffee Review Marketplace, your shopping cart and to gather broad demographic information in the interest of improving our site and service."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 271, ""selectedText"": ""in the interest of improving our site and service."", ""value"": ""Analytics/Research""}}",14,36
2,C903,3728,1,First Party Collection/Use,0,We use your IP address,"{""Collection Mode"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 26, ""selectedText"": ""IP address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 112, ""selectedText"": ""Your IP address is used to help identify you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address to help diagnose problems with our server, and to administer our Web site. Your IP address is used to help identify you and, in the case of the Coffee Review Marketplace, your shopping cart and to gather broad demographic information in the interest of improving our site and service."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 271, ""selectedText"": ""in the interest of improving our site and service."", ""value"": ""Analytics/Research""}}",14,36
3,C903,3728,1,First Party Collection/Use,0,IP address,"{""Collection Mode"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 26, ""selectedText"": ""IP address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 112, ""selectedText"": ""Your IP address is used to help identify you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address to help diagnose problems with our server, and to administer our Web site. Your IP address is used to help identify you and, in the case of the Coffee Review Marketplace, your shopping cart and to gather broad demographic information in the interest of improving our site and service."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 271, ""selectedText"": ""in the interest of improving our site and service."", ""value"": ""Analytics/Research""}}",26,36
4,C903,3728,1,First Party Collection/Use,0,Your IP address is used to help identify you,"{""Collection Mode"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 26, ""selectedText"": ""IP address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 112, ""selectedText"": ""Your IP address is used to help identify you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address to help diagnose problems with our server, and to administer our Web site. Your IP address is used to help identify you and, in the case of the Coffee Review Marketplace, your shopping cart and to gather broad demographic information in the interest of improving our site and service."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 271, ""selectedText"": ""in the interest of improving our site and service."", ""value"": ""Analytics/Research""}}",112,156
5,C903,3728,1,First Party Collection/Use,0,"We use your IP address to help diagnose problems with our server, and to administer our Web site. Your IP address is used to help identify you and, in the case of the Coffee Review Marketplace, your shopping cart and to gather broad demographic information in the interest of improving our site and service.","{""Collection Mode"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 26, ""selectedText"": ""IP address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 112, ""selectedText"": ""Your IP address is used to help identify you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address to help diagnose problems with our server, and to administer our Web site. Your IP address is used to help identify you and, in the case of the Coffee Review Marketplace, your shopping cart and to gather broad demographic information in the interest of improving our site and service."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 271, ""selectedText"": ""in the interest of improving our site and service."", ""value"": ""Analytics/Research""}}",14,321
6,C903,3728,1,First Party Collection/Use,0,in the interest of improving our site and service.,"{""Collection Mode"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 26, ""selectedText"": ""IP address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 112, ""selectedText"": ""Your IP address is used to help identify you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 14, ""selectedText"": ""We use your IP address to help diagnose problems with our server, and to administer our Web site. Your IP address is used to help identify you and, in the case of the Coffee Review Marketplace, your shopping cart and to gather broad demographic information in the interest of improving our site and service."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 271, ""selectedText"": ""in the interest of improving our site and service."", ""value"": ""Analytics/Research""}}",271,321
7,5567,3728,1,First Party Collection/Use,0,Web site,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 102, ""selectedText"": ""Web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""IP"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 17, ""selectedText"": ""use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 87, ""selectedText"": ""administer"", ""value"": ""Basic service/feature""}}",102,110
8,5567,3728,1,First Party Collection/Use,0,IP,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 102, ""selectedText"": ""Web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""IP"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 17, ""selectedText"": ""use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 87, ""selectedText"": ""administer"", ""value"": ""Basic service/feature""}}",26,28
9,5567,3728,1,First Party Collection/Use,0,use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 102, ""selectedText"": ""Web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""IP"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 17, ""selectedText"": ""use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 87, ""selectedText"": ""administer"", ""value"": ""Basic service/feature""}}",17,20
