,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1053,3705,0,Introductory/Generic,9,Your Privacy,"{""Other Type"": {""endIndexInSegment"": 12, ""startIndexInSegment"": 0, ""selectedText"": ""Your Privacy"", ""value"": ""Introductory/Generic""}}",0,12
1,C1054,3705,1,Other,0,"Caribou Coffee Privacy Statement June 3, 2003","{""Other Type"": {""endIndexInSegment"": 45, ""startIndexInSegment"": 0, ""selectedText"": ""Caribou Coffee Privacy Statement June 3, 2003"", ""value"": ""Other""}}",0,45
2,C1055,3705,2,Introductory/Generic,9,"Caribou Coffee Company, Inc. (""Caribou Coffee"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully. Therefore, this online Privacy Statement tells you about the information Caribou Coffee collects through the services available on www.cariboucoffee.com (the ""Site""), and how we use that information.","{""Other Type"": {""endIndexInSegment"": 372, ""startIndexInSegment"": 0, ""selectedText"": ""Caribou Coffee Company, Inc. (\""Caribou Coffee\"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully. Therefore, this online Privacy Statement tells you about the information Caribou Coffee collects through the services available on www.cariboucoffee.com (the \""Site\""), and how we use that information."", ""value"": ""Introductory/Generic""}}",0,372
3,8387,3705,2,Data Security,5,"Caribou Coffee Company, Inc. (""Caribou Coffee"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully.","{""Security Measure"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 0, ""selectedText"": ""Caribou Coffee Company, Inc. (\""Caribou Coffee\"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully."", ""value"": ""Generic""}}",0,172
4,8389,3705,2,First Party Collection/Use,0,"collects through the services available on www.cariboucoffee.com (the ""Site""),","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 339, ""startIndexInSegment"": 261, ""selectedText"": ""collects through the services available on www.cariboucoffee.com (the \""Site\""),"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 230, ""selectedText"": ""the information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",261,339
5,8389,3705,2,First Party Collection/Use,0,the information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 339, ""startIndexInSegment"": 261, ""selectedText"": ""collects through the services available on www.cariboucoffee.com (the \""Site\""),"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 230, ""selectedText"": ""the information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",230,245
6,C1056,3705,3,Policy Change,6,If we change this Privacy Statement,"{""Change Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 125, ""selectedText"": ""If we change this Privacy Statement"", ""value"": ""Non-privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 282, ""startIndexInSegment"": 226, ""selectedText"": ""and change the date at the top of this Privacy Statement"", ""value"": ""General notice in privacy policy""}}",125,160
7,C1056,3705,3,Policy Change,6,and change the date at the top of this Privacy Statement,"{""Change Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 125, ""selectedText"": ""If we change this Privacy Statement"", ""value"": ""Non-privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 282, ""startIndexInSegment"": 226, ""selectedText"": ""and change the date at the top of this Privacy Statement"", ""value"": ""General notice in privacy policy""}}",226,282
8,C1057,3705,3,Policy Change,6,If we change this Privacy Statement,"{""Change Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 125, ""selectedText"": ""If we change this Privacy Statement"", ""value"": ""Non-privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 225, ""startIndexInSegment"": 162, ""selectedText"": ""we will post a notice on the home page of www.cariboucoffee.com"", ""value"": ""General notice on website""}}",125,160
9,C1057,3705,3,Policy Change,6,we will post a notice on the home page of www.cariboucoffee.com,"{""Change Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 125, ""selectedText"": ""If we change this Privacy Statement"", ""value"": ""Non-privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 225, ""startIndexInSegment"": 162, ""selectedText"": ""we will post a notice on the home page of www.cariboucoffee.com"", ""value"": ""General notice on website""}}",162,225
10,22193,3705,3,User Choice/Control,2,"By using the Site, you are accepting the practices described in this Privacy Statement","{""Choice Type"": {""endIndexInSegment"": 86, ""startIndexInSegment"": 0, ""selectedText"": ""By using the Site, you are accepting the practices described in this Privacy Statement"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 347, ""startIndexInSegment"": 316, ""selectedText"": ""the information that we collect"", ""value"": ""First party collection""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 316, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",0,86
11,22193,3705,3,User Choice/Control,2,the information that we collect,"{""Choice Type"": {""endIndexInSegment"": 86, ""startIndexInSegment"": 0, ""selectedText"": ""By using the Site, you are accepting the practices described in this Privacy Statement"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 347, ""startIndexInSegment"": 316, ""selectedText"": ""the information that we collect"", ""value"": ""First party collection""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 316, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",316,347
12,22193,3705,3,User Choice/Control,2,the information,"{""Choice Type"": {""endIndexInSegment"": 86, ""startIndexInSegment"": 0, ""selectedText"": ""By using the Site, you are accepting the practices described in this Privacy Statement"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 347, ""startIndexInSegment"": 316, ""selectedText"": ""the information that we collect"", ""value"": ""First party collection""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 316, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",316,331
13,22194,3705,3,User Choice/Control,2,"By using the Site, you are accepting the practices described in this Privacy Statement","{""Choice Type"": {""endIndexInSegment"": 86, ""startIndexInSegment"": 0, ""selectedText"": ""By using the Site, you are accepting the practices described in this Privacy Statement"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 352, ""selectedText"": ""how we use it"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 316, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",0,86
14,22194,3705,3,User Choice/Control,2,how we use it,"{""Choice Type"": {""endIndexInSegment"": 86, ""startIndexInSegment"": 0, ""selectedText"": ""By using the Site, you are accepting the practices described in this Privacy Statement"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 352, ""selectedText"": ""how we use it"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 316, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",352,365
