,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C764,3711,0,Introductory/Generic,9,"Privacy Policy Last revised on December 31, 2014","{""Other Type"": {""selectedText"": ""Privacy Policy Last revised on December 31, 2014"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 58, ""value"": ""Introductory/Generic""}}",0,58
1,9336,3711,0,Policy Change,6,"Last revised on December 31, 2014","{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 58, ""startIndexInSegment"": 25, ""selectedText"": ""Last revised on December 31, 2014"", ""value"": ""General notice in privacy policy""}}",25,58
2,C765,3711,1,Introductory/Generic,9,"This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, ""Hearst"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, ""Covered Sites""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an ""Affiliate"", where control means ownership of 15% or more of the voting stock or other ownership interests. For the purposes of this policy, ""PersonallyIdentifiable Information"" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing. By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy.","{""Other Type"": {""selectedText"": ""This privacy policy describes how Hearst Communications, Inc.and its Affiliates (collectively, \""Hearst\"") treat the Personally Identifiable Information that is collected about you when you visit the web sites, mobile-optimized versions of the web sites, and digital applications to which this policy is linked (collectively, \""Covered Sites\""). For the purposes of this policy, an entity controlling, controlled by, or under common control with another entity shall be deemed to be an \""Affiliate\"", where control means ownership of 15% or more of the voting stock or other ownership interests. For the purposes of this policy, \""PersonallyIdentifiable Information\"" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing. By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy."", ""startIndexInSegment"": 55, ""endIndexInSegment"": 1202, ""value"": ""Introductory/Generic""}}",55,1202
3,8193,3711,1,First Party Collection/Use,0,"By submitting PersonallyIdentifiable Information through any of our Covered Sites,","{""Collection Mode"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 1088, ""selectedText"": ""collection, use"", ""value"": ""Both""}, ""Action First-Party"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 854, ""startIndexInSegment"": 809, ""selectedText"": ""name, email address, address,telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 714, ""startIndexInSegment"": 678, ""selectedText"": ""\""PersonallyIdentifiable Information\"""", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",926,1008
4,8193,3711,1,First Party Collection/Use,0,"collection, use","{""Collection Mode"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 1088, ""selectedText"": ""collection, use"", ""value"": ""Both""}, ""Action First-Party"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 854, ""startIndexInSegment"": 809, ""selectedText"": ""name, email address, address,telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 714, ""startIndexInSegment"": 678, ""selectedText"": ""\""PersonallyIdentifiable Information\"""", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",1088,1103
5,8193,3711,1,First Party Collection/Use,0,"By submitting PersonallyIdentifiable Information through any of our Covered Sites,","{""Collection Mode"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 1088, ""selectedText"": ""collection, use"", ""value"": ""Both""}, ""Action First-Party"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 854, ""startIndexInSegment"": 809, ""selectedText"": ""name, email address, address,telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 714, ""startIndexInSegment"": 678, ""selectedText"": ""\""PersonallyIdentifiable Information\"""", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",926,1008
6,8193,3711,1,First Party Collection/Use,0,"name, email address, address,telephone number","{""Collection Mode"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 1088, ""selectedText"": ""collection, use"", ""value"": ""Both""}, ""Action First-Party"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 854, ""startIndexInSegment"": 809, ""selectedText"": ""name, email address, address,telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 714, ""startIndexInSegment"": 678, ""selectedText"": ""\""PersonallyIdentifiable Information\"""", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",809,854
7,8193,3711,1,First Party Collection/Use,0,"By submitting PersonallyIdentifiable Information through any of our Covered Sites,","{""Collection Mode"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 1088, ""selectedText"": ""collection, use"", ""value"": ""Both""}, ""Action First-Party"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 854, ""startIndexInSegment"": 809, ""selectedText"": ""name, email address, address,telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 714, ""startIndexInSegment"": 678, ""selectedText"": ""\""PersonallyIdentifiable Information\"""", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",926,1008
8,8193,3711,1,First Party Collection/Use,0,"""PersonallyIdentifiable Information""","{""Collection Mode"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 1088, ""selectedText"": ""collection, use"", ""value"": ""Both""}, ""Action First-Party"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 854, ""startIndexInSegment"": 809, ""selectedText"": ""name, email address, address,telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 714, ""startIndexInSegment"": 678, ""selectedText"": ""\""PersonallyIdentifiable Information\"""", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",678,714
9,8193,3711,1,First Party Collection/Use,0,"By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use","{""Collection Mode"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 1088, ""selectedText"": ""collection, use"", ""value"": ""Both""}, ""Action First-Party"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 854, ""startIndexInSegment"": 809, ""selectedText"": ""name, email address, address,telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 1008, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites,"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 714, ""startIndexInSegment"": 678, ""selectedText"": ""\""PersonallyIdentifiable Information\"""", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 1103, ""startIndexInSegment"": 926, ""selectedText"": ""By submitting PersonallyIdentifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",926,1103
