,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2895,3823,0,Introductory/Generic,9,"Liquor.com Holdings, Inc. (""Liquor.com"") takes very seriously the private nature of your personal information. It is the goal of Liquor.com to bring you information that is relevant and targeted to your individual needs and, at the same time, protect your privacy. This Privacy Policy describes how we treat the information we collect when you visit our Web site and/or register for our email publication. Please read this notice carefully.","{""Other Type"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 25, ""selectedText"": ""Liquor.com Holdings, Inc. (\""Liquor.com\"") takes very seriously the private nature of your personal information. It is the goal of Liquor.com to bring you information that is relevant and targeted to your individual needs and, at the same time, protect your privacy. This Privacy Policy describes how we treat the information we collect when you visit our Web site and/or register for our email publication. Please read this notice carefully."", ""value"": ""Introductory/Generic""}}",25,465
1,C2896,3823,1,First Party Collection/Use,0,expressly,"{""Collection Mode"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 374, ""selectedText"": ""expressly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 222, ""startIndexInSegment"": 208, ""selectedText"": ""we may request"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 297, ""startIndexInSegment"": 262, ""selectedText"": ""name, zip code and telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 138, ""selectedText"": ""additional services as well as more interesting and relevant content"", ""value"": ""Additional service/feature""}}",374,383
2,C2896,3823,1,First Party Collection/Use,0,we may request,"{""Collection Mode"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 374, ""selectedText"": ""expressly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 222, ""startIndexInSegment"": 208, ""selectedText"": ""we may request"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 297, ""startIndexInSegment"": 262, ""selectedText"": ""name, zip code and telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 138, ""selectedText"": ""additional services as well as more interesting and relevant content"", ""value"": ""Additional service/feature""}}",208,222
3,C2896,3823,1,First Party Collection/Use,0,"name, zip code and telephone number","{""Collection Mode"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 374, ""selectedText"": ""expressly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 222, ""startIndexInSegment"": 208, ""selectedText"": ""we may request"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 297, ""startIndexInSegment"": 262, ""selectedText"": ""name, zip code and telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 138, ""selectedText"": ""additional services as well as more interesting and relevant content"", ""value"": ""Additional service/feature""}}",262,297
4,C2896,3823,1,First Party Collection/Use,0,additional services as well as more interesting and relevant content,"{""Collection Mode"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 374, ""selectedText"": ""expressly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 222, ""startIndexInSegment"": 208, ""selectedText"": ""we may request"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 297, ""startIndexInSegment"": 262, ""selectedText"": ""name, zip code and telephone number"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 138, ""selectedText"": ""additional services as well as more interesting and relevant content"", ""value"": ""Additional service/feature""}}",138,206
5,C2897,3823,1,First Party Collection/Use,0,expressly,"{""Collection Mode"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 374, ""selectedText"": ""expressly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 222, ""startIndexInSegment"": 208, ""selectedText"": ""we may request"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 104, ""startIndexInSegment"": 90, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 31, ""selectedText"": ""In order to distribute our email publication"", ""value"": ""Marketing""}}",374,383
6,C2897,3823,1,First Party Collection/Use,0,we may request,"{""Collection Mode"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 374, ""selectedText"": ""expressly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 222, ""startIndexInSegment"": 208, ""selectedText"": ""we may request"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 104, ""startIndexInSegment"": 90, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 31, ""selectedText"": ""In order to distribute our email publication"", ""value"": ""Marketing""}}",208,222
7,C2897,3823,1,First Party Collection/Use,0,e-mail address,"{""Collection Mode"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 374, ""selectedText"": ""expressly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 222, ""startIndexInSegment"": 208, ""selectedText"": ""we may request"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 104, ""startIndexInSegment"": 90, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 31, ""selectedText"": ""In order to distribute our email publication"", ""value"": ""Marketing""}}",90,104
8,C2897,3823,1,First Party Collection/Use,0,In order to distribute our email publication,"{""Collection Mode"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 374, ""selectedText"": ""expressly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 222, ""startIndexInSegment"": 208, ""selectedText"": ""we may request"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 104, ""startIndexInSegment"": 90, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 31, ""selectedText"": ""In order to distribute our email publication"", ""value"": ""Marketing""}}",31,75
9,C2898,3823,1,Third Party Sharing/Collection,1,ANY THIRD PARTY,"{""Third Party Entity"": {""endIndexInSegment"": 466, ""startIndexInSegment"": 451, ""selectedText"": ""ANY THIRD PARTY"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 568, ""startIndexInSegment"": 489, ""selectedText"": ""EXCEPT TO A THIRD PARTY AS REQUIRED TO HELP US DISTRIBUTE OUR EMAIL PUBLICATION"", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": 104, ""startIndexInSegment"": 90, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 480, ""selectedText"": ""CONSENT"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 412, ""startIndexInSegment"": 404, ""selectedText"": ""WILL NOT"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 421, ""startIndexInSegment"": 413, ""selectedText"": ""DISCLOSE"", ""value"": ""Receive/Shared with""}}",451,466
