,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1524,3852,0,Policy Change,6,"We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms.","{""Change Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms."", ""startIndexInSegment"": 204, ""endIndexInSegment"": 349, ""value"": ""None""}, ""Notification Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",204,349
1,16572,3852,0,User Choice/Control,2,"by using our website, you accept and agree to the terms stated below.","{""Choice Type"": {""selectedText"": ""by using our website, you accept and agree to the terms stated below."", ""startIndexInSegment"": 134, ""endIndexInSegment"": 203, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",134,203
2,17162,3852,0,Introductory/Generic,9,"Please read this privacy statement carefully, because by using our website, you accept and agree to the terms stated below. We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms.","{""Other Type"": {""selectedText"": ""Please read this privacy statement carefully, because by using our website, you accept and agree to the terms stated below. We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms."", ""startIndexInSegment"": 80, ""endIndexInSegment"": 344, ""value"": ""Introductory/Generic""}}",80,344
3,C1525,3852,1,Introductory/Generic,9,We collect information through our website in a couple different ways.,"{""Other Type"": {""selectedText"": ""We collect information through our website in a couple different ways."", ""startIndexInSegment"": 57, ""endIndexInSegment"": 137, ""value"": ""Introductory/Generic""}}",57,137
4,18104,3852,1,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 72, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 73, ""endIndexInSegment"": 84, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",62,72
5,18104,3852,1,First Party Collection/Use,0,information,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 72, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 73, ""endIndexInSegment"": 84, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",73,84
6,C1526,3852,2,First Party Collection/Use,0,Information You Submit.,"{""Collection Mode"": {""selectedText"": ""Information You Submit."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 23, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""we will use the information you submit"", ""startIndexInSegment"": 560, ""endIndexInSegment"": 598, ""value"": ""Both""}, ""Action First-Party"": {""selectedText"": ""when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order."", ""startIndexInSegment"": 57, ""endIndexInSegment"": 331, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 36, ""endIndexInSegment"": 56, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""with your consent"", ""startIndexInSegment"": 506, ""endIndexInSegment"": 523, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""identifiable individual"", ""startIndexInSegment"": 386, ""endIndexInSegment"": 409, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""we will use the information you submit for the purposes for which it is submitted or as otherwise described in this privacy statement."", ""startIndexInSegment"": 560, ""endIndexInSegment"": 694, ""value"": ""Unspecified""}}",0,23
7,C1526,3852,2,First Party Collection/Use,0,we will use the information you submit,"{""Collection Mode"": {""selectedText"": ""Information You Submit."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 23, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""we will use the information you submit"", ""startIndexInSegment"": 560, ""endIndexInSegment"": 598, ""value"": ""Both""}, ""Action First-Party"": {""selectedText"": ""when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order."", ""startIndexInSegment"": 57, ""endIndexInSegment"": 331, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 36, ""endIndexInSegment"": 56, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""with your consent"", ""startIndexInSegment"": 506, ""endIndexInSegment"": 523, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""identifiable individual"", ""startIndexInSegment"": 386, ""endIndexInSegment"": 409, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""we will use the information you submit for the purposes for which it is submitted or as otherwise described in this privacy statement."", ""startIndexInSegment"": 560, ""endIndexInSegment"": 694, ""value"": ""Unspecified""}}",560,598
8,C1526,3852,2,First Party Collection/Use,0,"when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order.","{""Collection Mode"": {""selectedText"": ""Information You Submit."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 23, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""we will use the information you submit"", ""startIndexInSegment"": 560, ""endIndexInSegment"": 598, ""value"": ""Both""}, ""Action First-Party"": {""selectedText"": ""when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order."", ""startIndexInSegment"": 57, ""endIndexInSegment"": 331, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 36, ""endIndexInSegment"": 56, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""with your consent"", ""startIndexInSegment"": 506, ""endIndexInSegment"": 523, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""identifiable individual"", ""startIndexInSegment"": 386, ""endIndexInSegment"": 409, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""we will use the information you submit for the purposes for which it is submitted or as otherwise described in this privacy statement."", ""startIndexInSegment"": 560, ""endIndexInSegment"": 694, ""value"": ""Unspecified""}}",57,331
9,C1526,3852,2,First Party Collection/Use,0,personal information,"{""Collection Mode"": {""selectedText"": ""Information You Submit."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 23, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""we will use the information you submit"", ""startIndexInSegment"": 560, ""endIndexInSegment"": 598, ""value"": ""Both""}, ""Action First-Party"": {""selectedText"": ""when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order."", ""startIndexInSegment"": 57, ""endIndexInSegment"": 331, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 36, ""endIndexInSegment"": 56, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""with your consent"", ""startIndexInSegment"": 506, ""endIndexInSegment"": 523, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""identifiable individual"", ""startIndexInSegment"": 386, ""endIndexInSegment"": 409, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""we will use the information you submit for the purposes for which it is submitted or as otherwise described in this privacy statement."", ""startIndexInSegment"": 560, ""endIndexInSegment"": 694, ""value"": ""Unspecified""}}",36,56
