,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1638,3720,0,Other,0,Trust is a cornerstone of our mission at CBS Interactive. We are committed to gaining and maintaining your trust by following a core set of Privacy Principles.,"{""Other Type"": {""endIndexInSegment"": 211, ""startIndexInSegment"": 52, ""selectedText"": ""Trust is a cornerstone of our mission at CBS Interactive. We are committed to gaining and maintaining your trust by following a core set of Privacy Principles."", ""value"": ""Other""}}",52,211
1,C1639,3720,1,Policy Change,6,"The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy.","{""Change Type"": {""endIndexInSegment"": 254, ""startIndexInSegment"": 6, ""selectedText"": ""The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 254, ""startIndexInSegment"": 153, ""selectedText"": ""By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 58, ""startIndexInSegment"": 6, ""selectedText"": ""The CBS Interactive Privacy Policy has been updated."", ""value"": ""General notice in privacy policy""}}",6,254
2,C1639,3720,1,Policy Change,6,"By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy.","{""Change Type"": {""endIndexInSegment"": 254, ""startIndexInSegment"": 6, ""selectedText"": ""The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 254, ""startIndexInSegment"": 153, ""selectedText"": ""By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 58, ""startIndexInSegment"": 6, ""selectedText"": ""The CBS Interactive Privacy Policy has been updated."", ""value"": ""General notice in privacy policy""}}",153,254
3,C1639,3720,1,Policy Change,6,The CBS Interactive Privacy Policy has been updated.,"{""Change Type"": {""endIndexInSegment"": 254, ""startIndexInSegment"": 6, ""selectedText"": ""The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 254, ""startIndexInSegment"": 153, ""selectedText"": ""By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 58, ""startIndexInSegment"": 6, ""selectedText"": ""The CBS Interactive Privacy Policy has been updated."", ""value"": ""General notice in privacy policy""}}",6,58
4,C1640,3720,1,Introductory/Generic,9,"Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates.","{""Other Type"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 0, ""selectedText"": ""Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates."", ""value"": ""Introductory/Generic""}}",0,305
5,C1641,3720,2,Introductory/Generic,9,"CBS Interactive owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to the CBS Interactive Privacy Policy (collectively ""CBS Interactive Services""). This Privacy Policy, last modified on May 28, 2015, is guided by a core set of Privacy Principles and applies only to the CBS Interactive Services.","{""Other Type"": {""endIndexInSegment"": 410, ""startIndexInSegment"": 34, ""selectedText"": ""CBS Interactive owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to the CBS Interactive Privacy Policy (collectively \""CBS Interactive Services\""). This Privacy Policy, last modified on May 28, 2015, is guided by a core set of Privacy Principles and applies only to the CBS Interactive Services."", ""value"": ""Introductory/Generic""}}",34,410
6,C1642,3720,3,First Party Collection/Use,0,"Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies.","{""Collection Mode"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 196, ""selectedText"": ""Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 42, ""startIndexInSegment"": 32, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 287, ""selectedText"": ""cookies, web beacons, and other similar technologies."", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 196, ""selectedText"": ""Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",196,340
7,C1642,3720,3,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 196, ""selectedText"": ""Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 42, ""startIndexInSegment"": 32, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 287, ""selectedText"": ""cookies, web beacons, and other similar technologies."", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 196, ""selectedText"": ""Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",32,42
8,C1642,3720,3,First Party Collection/Use,0,"cookies, web beacons, and other similar technologies.","{""Collection Mode"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 196, ""selectedText"": ""Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 42, ""startIndexInSegment"": 32, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 287, ""selectedText"": ""cookies, web beacons, and other similar technologies."", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 196, ""selectedText"": ""Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",287,340
9,C1642,3720,3,First Party Collection/Use,0,"Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies.","{""Collection Mode"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 196, ""selectedText"": ""Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 42, ""startIndexInSegment"": 32, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 287, ""selectedText"": ""cookies, web beacons, and other similar technologies."", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 196, ""selectedText"": ""Information about your computer and browsing activities on the Services, including through cookies, web beacons, and other similar technologies."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",196,340
