,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2943,3698,0,Introductory/Generic,9,"Privacy statement Farlex, Inc.","{""Other Type"": {""endIndexInSegment"": 59, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy statement Farlex, Inc."", ""value"": ""Introductory/Generic""}}",9,59
1,C2944,3698,1,Introductory/Generic,9,"Farlex is a privately owned corporation operating in Pennsylvania, USA. Farlex is committed to providing you with excellent service for all of our products. We respect your right to privacy, and have developed this Privacy Statement to inform you about our privacy practices for the entire Farlex Web site and all its entities (which includes the farlex.com, thefreedictionary.com, thefreelibrary.com, tfd.com, and spellingcenter.com domains).","{""Other Type"": {""endIndexInSegment"": 443, ""startIndexInSegment"": 0, ""selectedText"": ""Farlex is a privately owned corporation operating in Pennsylvania, USA. Farlex is committed to providing you with excellent service for all of our products. We respect your right to privacy, and have developed this Privacy Statement to inform you about our privacy practices for the entire Farlex Web site and all its entities (which includes the farlex.com, thefreedictionary.com, thefreelibrary.com, tfd.com, and spellingcenter.com domains)."", ""value"": ""Introductory/Generic""}}",0,443
2,C2945,3698,2,First Party Collection/Use,0,you may be asked to provide,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",477,504
3,C2945,3698,2,First Party Collection/Use,0,provide certain personal and credit card information,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",497,549
4,C2945,3698,2,First Party Collection/Use,0,Web sites,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",266,275
5,C2945,3698,2,First Party Collection/Use,0,certain personal,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",505,521
6,C2945,3698,2,First Party Collection/Use,0,If you are subscribing to our premium products,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",429,475
7,C2945,3698,2,First Party Collection/Use,0,certain personal,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",505,521
8,C2945,3698,2,First Party Collection/Use,0,you may be asked to provide,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",477,504
9,C2945,3698,2,First Party Collection/Use,0,subscribing to our premium products,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",440,475
