,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3333,3737,0,Introductory/Generic,9,"Privacy Policy Effective Date of Privacy Policy: February 9, 2015","{""Other Type"": {""selectedText"": ""Privacy Policy Effective Date of Privacy Policy: February 9, 2015"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 75, ""value"": ""Introductory/Generic""}}",0,75
1,C3334,3737,1,Policy Change,6,We reserve the right to modify or amend the terms of our Privacy Policy from time to time,"{""Change Type"": {""selectedText"": ""We reserve the right to modify or amend the terms of our Privacy Policy from time to time"", ""startIndexInSegment"": 622, ""endIndexInSegment"": 711, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes."", ""startIndexInSegment"": 728, ""endIndexInSegment"": 843, ""value"": ""None""}, ""Notification Type"": {""selectedText"": ""without notice."", ""startIndexInSegment"": 712, ""endIndexInSegment"": 727, ""value"": ""No notification""}}",622,711
2,C3334,3737,1,Policy Change,6,Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes.,"{""Change Type"": {""selectedText"": ""We reserve the right to modify or amend the terms of our Privacy Policy from time to time"", ""startIndexInSegment"": 622, ""endIndexInSegment"": 711, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes."", ""startIndexInSegment"": 728, ""endIndexInSegment"": 843, ""value"": ""None""}, ""Notification Type"": {""selectedText"": ""without notice."", ""startIndexInSegment"": 712, ""endIndexInSegment"": 727, ""value"": ""No notification""}}",728,843
3,C3334,3737,1,Policy Change,6,without notice.,"{""Change Type"": {""selectedText"": ""We reserve the right to modify or amend the terms of our Privacy Policy from time to time"", ""startIndexInSegment"": 622, ""endIndexInSegment"": 711, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes."", ""startIndexInSegment"": 728, ""endIndexInSegment"": 843, ""value"": ""None""}, ""Notification Type"": {""selectedText"": ""without notice."", ""startIndexInSegment"": 712, ""endIndexInSegment"": 727, ""value"": ""No notification""}}",712,727
4,C3335,3737,1,Introductory/Generic,9,"Penguin Random House LLC (""PRH"", ""we"", ""us"", or ""our"") respects your concerns about privacy and values the relationship we have with you. This Privacy Policy describes our privacy practices with respect to information collected through our websites, applications, and any other online service that links to this Privacy Policy, including any websites and online services we operate on behalf of our authors (collectively referred to as the ""Sites""). By using our Sites, you are accepting the practices described in this Privacy Policy. If you do not agree to the terms of this Privacy Policy, please do not use the Sites. We reserve the right to modify or amend the terms of our Privacy Policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes.","{""Other Type"": {""endIndexInSegment"": 843, ""startIndexInSegment"": 0, ""selectedText"": ""Penguin Random House LLC (\""PRH\"", \""we\"", \""us\"", or \""our\"") respects your concerns about privacy and values the relationship we have with you. This Privacy Policy describes our privacy practices with respect to information collected through our websites, applications, and any other online service that links to this Privacy Policy, including any websites and online services we operate on behalf of our authors (collectively referred to as the \""Sites\""). By using our Sites, you are accepting the practices described in this Privacy Policy. If you do not agree to the terms of this Privacy Policy, please do not use the Sites. We reserve the right to modify or amend the terms of our Privacy Policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes."", ""value"": ""Introductory/Generic""}}",0,843
5,13464,3737,1,User Choice/Control,2,"By using our Sites, you are accepting the practices described in this Privacy Policy. If you do not agree to the terms of this Privacy Policy, please do not use the Sites.","{""Choice Type"": {""endIndexInSegment"": 621, ""startIndexInSegment"": 450, ""selectedText"": ""By using our Sites, you are accepting the practices described in this Privacy Policy. If you do not agree to the terms of this Privacy Policy, please do not use the Sites."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": 469, ""startIndexInSegment"": 450, ""selectedText"": ""By using our Sites,"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",450,621
6,13464,3737,1,User Choice/Control,2,"By using our Sites,","{""Choice Type"": {""endIndexInSegment"": 621, ""startIndexInSegment"": 450, ""selectedText"": ""By using our Sites, you are accepting the practices described in this Privacy Policy. If you do not agree to the terms of this Privacy Policy, please do not use the Sites."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": 469, ""startIndexInSegment"": 450, ""selectedText"": ""By using our Sites,"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",450,469
7,13975,3737,2,Introductory/Generic,9,"Please click on one of the links below to jump to the listed section: What Information We Collect About You How We Use Your Information Who We Share Your Information With Social Media Children's Privacy Policy Security of Your Personal Information Third Party Content and Links To Third Party Websites Public Areas, Forums, Reviews, and Community Areas Governing Law Assignment Notice to Non-US Users Changes to This Privacy Policy How To Opt-Out or Correct Your Information Your California Privacy Rights How To Contact Us","{""Other Type"": {""endIndexInSegment"": 851, ""startIndexInSegment"": 0, ""selectedText"": ""Please click on one of the links below to jump to the listed section: What Information We Collect About You How We Use Your Information Who We Share Your Information With Social Media Children's Privacy Policy Security of Your Personal Information Third Party Content and Links To Third Party Websites Public Areas, Forums, Reviews, and Community Areas Governing Law Assignment Notice to Non-US Users Changes to This Privacy Policy How To Opt-Out or Correct Your Information Your California Privacy Rights How To Contact Us"", ""value"": ""Introductory/Generic""}}",0,851
8,24406,3737,2,Introductory/Generic,9,Please click on one of the links below to jump to the listed section:,"{""Other Type"": {""selectedText"": ""Please click on one of the links below to jump to the listed section:"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 79, ""value"": ""Introductory/Generic""}}",0,79
9,C3336,3737,3,First Party Collection/Use,0,use of the Sites,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 143, ""selectedText"": ""use of the Sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 312, ""selectedText"": ""credit card information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 244, ""startIndexInSegment"": 165, ""selectedText"": ""personal information, which is any information that individually identifies you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 67, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",143,159
