,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2269,3832,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""selectedText"": ""Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 19, ""value"": ""Introductory/Generic""}}",0,19
1,C2270,3832,1,Other,0,"We have updated our Privacy Policy as of June 10, 2011. We encourage you to read the policy below so that you know how we collect and use the information you choose to provide.","{""Other Type"": {""selectedText"": ""We have updated our Privacy Policy as of June 10, 2011. We encourage you to read the policy below so that you know how we collect and use the information you choose to provide."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 176, ""value"": ""Other""}}",0,176
2,C2271,3832,2,Introductory/Generic,9,"Military.com (""Military"") is a property of Monster Worldwide dedicated to serving the military community. Military is committed to protecting the privacy of our users, and strives to provide a safe, secure user experience. This Privacy Policy sets forth the online data collection and usage policies and practices that apply to this web site and to its network of sites, which are included in the link at the bottom of this page under Military.com Network Sites. It does not apply to information we collect in any other fashion.","{""Other Type"": {""selectedText"": ""Military.com (\""Military\"") is a property of Monster Worldwide dedicated to serving the military community. Military is committed to protecting the privacy of our users, and strives to provide a safe, secure user experience. This Privacy Policy sets forth the online data collection and usage policies and practices that apply to this web site and to its network of sites, which are included in the link at the bottom of this page under Military.com Network Sites. It does not apply to information we collect in any other fashion."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 528, ""value"": ""Introductory/Generic""}}",0,528
3,15004,3832,2,Data Security,5,"Military is committed to protecting the privacy of our users, and strives to provide a safe, secure user experience. This Privacy Policy sets forth the online data collection and usage policies and practices that apply to this web site and to its network of sites, which are included in the link at the bottom of this page under Military.com Network Sites. It does not apply to information we collect in any other fashion.","{""Security Measure"": {""selectedText"": ""Military is committed to protecting the privacy of our users, and strives to provide a safe, secure user experience. This Privacy Policy sets forth the online data collection and usage policies and practices that apply to this web site and to its network of sites, which are included in the link at the bottom of this page under Military.com Network Sites. It does not apply to information we collect in any other fashion."", ""startIndexInSegment"": 106, ""endIndexInSegment"": 528, ""value"": ""Generic""}}",106,528
4,C2272,3832,3,Third Party Sharing/Collection,1,within our affiliated companies,"{""Third Party Entity"": {""selectedText"": ""within our affiliated companies"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 93, ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""in order to deliver the products and services we offer"", ""startIndexInSegment"": 115, ""endIndexInSegment"": 169, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""The information we gather"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 25, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""may be shared"", ""startIndexInSegment"": 48, ""endIndexInSegment"": 61, ""value"": ""Receive/Shared with""}}",62,93
5,C2272,3832,3,Third Party Sharing/Collection,1,in order to deliver the products and services we offer,"{""Third Party Entity"": {""selectedText"": ""within our affiliated companies"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 93, ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""in order to deliver the products and services we offer"", ""startIndexInSegment"": 115, ""endIndexInSegment"": 169, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""The information we gather"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 25, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""may be shared"", ""startIndexInSegment"": 48, ""endIndexInSegment"": 61, ""value"": ""Receive/Shared with""}}",115,169
6,C2272,3832,3,Third Party Sharing/Collection,1,The information we gather,"{""Third Party Entity"": {""selectedText"": ""within our affiliated companies"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 93, ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""in order to deliver the products and services we offer"", ""startIndexInSegment"": 115, ""endIndexInSegment"": 169, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""The information we gather"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 25, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""may be shared"", ""startIndexInSegment"": 48, ""endIndexInSegment"": 61, ""value"": ""Receive/Shared with""}}",0,25
7,C2272,3832,3,Third Party Sharing/Collection,1,may be shared,"{""Third Party Entity"": {""selectedText"": ""within our affiliated companies"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 93, ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""in order to deliver the products and services we offer"", ""startIndexInSegment"": 115, ""endIndexInSegment"": 169, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""The information we gather"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 25, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""may be shared"", ""startIndexInSegment"": 48, ""endIndexInSegment"": 61, ""value"": ""Receive/Shared with""}}",48,61
8,C2273,3832,3,Third Party Sharing/Collection,1,within our affiliated companies,"{""Third Party Entity"": {""selectedText"": ""within our affiliated companies"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 93, ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""in order to undertake analysis of our database"", ""startIndexInSegment"": 173, ""endIndexInSegment"": 219, ""value"": ""Analytics/Research""}, ""Personal Information Type"": {""selectedText"": ""The information we gather"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 25, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""may be shared"", ""startIndexInSegment"": 48, ""endIndexInSegment"": 61, ""value"": ""Receive/Shared with""}}",62,93
9,C2273,3832,3,Third Party Sharing/Collection,1,in order to undertake analysis of our database,"{""Third Party Entity"": {""selectedText"": ""within our affiliated companies"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 93, ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""in order to undertake analysis of our database"", ""startIndexInSegment"": 173, ""endIndexInSegment"": 219, ""value"": ""Analytics/Research""}, ""Personal Information Type"": {""selectedText"": ""The information we gather"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 25, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""may be shared"", ""startIndexInSegment"": 48, ""endIndexInSegment"": 61, ""value"": ""Receive/Shared with""}}",173,219
