,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2537,3739,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""selectedText"": ""Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 14, ""value"": ""Introductory/Generic""}}",0,14
1,C2538,3739,1,First Party Collection/Use,0,collected from our customers,"{""Collection Mode"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 124, ""selectedText"": ""collected from our customers"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 156, ""selectedText"": ""used by Tanger Outlets only"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",124,152
2,C2538,3739,1,First Party Collection/Use,0,personal identifiable information,"{""Collection Mode"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 124, ""selectedText"": ""collected from our customers"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 156, ""selectedText"": ""used by Tanger Outlets only"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",90,123
3,C2538,3739,1,First Party Collection/Use,0,personal identifiable information,"{""Collection Mode"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 124, ""selectedText"": ""collected from our customers"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 156, ""selectedText"": ""used by Tanger Outlets only"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",90,123
4,C2538,3739,1,First Party Collection/Use,0,used by Tanger Outlets only,"{""Collection Mode"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 124, ""selectedText"": ""collected from our customers"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 156, ""selectedText"": ""used by Tanger Outlets only"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",156,183
5,C2539,3739,1,Third Party Sharing/Collection,1,any third party.,"{""Third Party Entity"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 227, ""selectedText"": ""any third party."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 185, ""selectedText"": ""and is not sold, shared or distributed to any third party."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 134, ""selectedText"": ""from our customers"", ""value"": ""Other""}, ""Action Third Party"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 193, ""selectedText"": ""ot sold, shared or distributed"", ""value"": ""Receive/Shared with""}}",227,243
6,C2539,3739,1,Third Party Sharing/Collection,1,personal identifiable information,"{""Third Party Entity"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 227, ""selectedText"": ""any third party."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 185, ""selectedText"": ""and is not sold, shared or distributed to any third party."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 134, ""selectedText"": ""from our customers"", ""value"": ""Other""}, ""Action Third Party"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 193, ""selectedText"": ""ot sold, shared or distributed"", ""value"": ""Receive/Shared with""}}",90,123
7,C2539,3739,1,Third Party Sharing/Collection,1,personal identifiable,"{""Third Party Entity"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 227, ""selectedText"": ""any third party."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 185, ""selectedText"": ""and is not sold, shared or distributed to any third party."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 134, ""selectedText"": ""from our customers"", ""value"": ""Other""}, ""Action Third Party"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 193, ""selectedText"": ""ot sold, shared or distributed"", ""value"": ""Receive/Shared with""}}",90,111
8,C2539,3739,1,Third Party Sharing/Collection,1,from our customers,"{""Third Party Entity"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 227, ""selectedText"": ""any third party."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 185, ""selectedText"": ""and is not sold, shared or distributed to any third party."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 134, ""selectedText"": ""from our customers"", ""value"": ""Other""}, ""Action Third Party"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 193, ""selectedText"": ""ot sold, shared or distributed"", ""value"": ""Receive/Shared with""}}",134,152
9,C2539,3739,1,Third Party Sharing/Collection,1,"ot sold, shared or distributed","{""Third Party Entity"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 227, ""selectedText"": ""any third party."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 185, ""selectedText"": ""and is not sold, shared or distributed to any third party."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 134, ""selectedText"": ""from our customers"", ""value"": ""Other""}, ""Action Third Party"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 193, ""selectedText"": ""ot sold, shared or distributed"", ""value"": ""Receive/Shared with""}}",193,223
