,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C918,3824,0,Introductory/Generic,9,"Privacy Policy - Effective January 14, 2015","{""Other Type"": {""endIndexInSegment"": 43, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy - Effective January 14, 2015"", ""value"": ""Introductory/Generic""}}",0,43
1,C919,3824,1,Introductory/Generic,9,"Read our updated privacy policy carefully: We've summarized our privacy policy terms so you can find what you need quickly. We've designed one privacy policy to apply across many Meredith brands and online and mobile services. We've amended our privacy policy to update you about the types of information we collect. We've added more description about the ways we use and share the information collected from our users, within Meredith brands and with third-party service providers that help us operate our business. We have updated our description of the various choices you have to limit the use of your information.","{""Other Type"": {""endIndexInSegment"": 726, ""startIndexInSegment"": 0, ""selectedText"": ""Read our updated privacy policy carefully: We've summarized our privacy policy terms so you can find what you need quickly. We've designed one privacy policy to apply across many Meredith brands and online and mobile services. We've amended our privacy policy to update you about the types of information we collect. We've added more description about the ways we use and share the information collected from our users, within Meredith brands and with third-party service providers that help us operate our business. We have updated our description of the various choices you have to limit the use of your information."", ""value"": ""Introductory/Generic""}}",0,726
2,C920,3824,2,Other,0,"Please read this summary and our updated privacy policy carefully so you understand what types of information Meredith collects about you, how we use and share that information and your related choices.","{""Other Type"": {""endIndexInSegment"": 202, ""startIndexInSegment"": 0, ""selectedText"": ""Please read this summary and our updated privacy policy carefully so you understand what types of information Meredith collects about you, how we use and share that information and your related choices."", ""value"": ""Other""}}",0,202
3,10946,3824,3,Privacy contact information,11,"Or, if you are a California resident and prefer that we send you a separate response, please email your request to privacy@meredith.com","{""Other Type"": {""endIndexInSegment"": 852, ""startIndexInSegment"": 717, ""selectedText"": ""Or, if you are a California resident and prefer that we send you a separate response, please email your request to privacy@meredith.com"", ""value"": ""Privacy contact information""}}",717,852
4,11116,3824,3,Privacy contact information,11,please email your request to privacy@meredith.com,"{""Other Type"": {""endIndexInSegment"": 852, ""startIndexInSegment"": 803, ""selectedText"": ""please email your request to privacy@meredith.com"", ""value"": ""Privacy contact information""}}",803,852
5,11117,3824,3,User Choice/Control,2,"You can read these instructions in the section of our Online Privacy Policy titled ""How We Disclose Information and Your Related Opt-out Choices."" Or, if you are a California resident and prefer that we send you a separate response,","{""Choice Type"": {""endIndexInSegment"": 802, ""startIndexInSegment"": 570, ""selectedText"": ""You can read these instructions in the section of our Online Privacy Policy titled \""How We Disclose Information and Your Related Opt-out Choices.\"" Or, if you are a California resident and prefer that we send you a separate response,"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 532, ""startIndexInSegment"": 469, ""selectedText"": ""prevent our disclosure of personal information to third parties"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": 464, ""startIndexInSegment"": 459, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 568, ""startIndexInSegment"": 537, ""selectedText"": ""their direct marketing purposes"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 278, ""selectedText"": ""certain types of personal information"", ""value"": ""Generic personal information""}}",570,802
6,11117,3824,3,User Choice/Control,2,prevent our disclosure of personal information to third parties,"{""Choice Type"": {""endIndexInSegment"": 802, ""startIndexInSegment"": 570, ""selectedText"": ""You can read these instructions in the section of our Online Privacy Policy titled \""How We Disclose Information and Your Related Opt-out Choices.\"" Or, if you are a California resident and prefer that we send you a separate response,"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 532, ""startIndexInSegment"": 469, ""selectedText"": ""prevent our disclosure of personal information to third parties"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": 464, ""startIndexInSegment"": 459, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 568, ""startIndexInSegment"": 537, ""selectedText"": ""their direct marketing purposes"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 278, ""selectedText"": ""certain types of personal information"", ""value"": ""Generic personal information""}}",469,532
7,11117,3824,3,User Choice/Control,2,users,"{""Choice Type"": {""endIndexInSegment"": 802, ""startIndexInSegment"": 570, ""selectedText"": ""You can read these instructions in the section of our Online Privacy Policy titled \""How We Disclose Information and Your Related Opt-out Choices.\"" Or, if you are a California resident and prefer that we send you a separate response,"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 532, ""startIndexInSegment"": 469, ""selectedText"": ""prevent our disclosure of personal information to third parties"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": 464, ""startIndexInSegment"": 459, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 568, ""startIndexInSegment"": 537, ""selectedText"": ""their direct marketing purposes"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 278, ""selectedText"": ""certain types of personal information"", ""value"": ""Generic personal information""}}",459,464
8,11117,3824,3,User Choice/Control,2,their direct marketing purposes,"{""Choice Type"": {""endIndexInSegment"": 802, ""startIndexInSegment"": 570, ""selectedText"": ""You can read these instructions in the section of our Online Privacy Policy titled \""How We Disclose Information and Your Related Opt-out Choices.\"" Or, if you are a California resident and prefer that we send you a separate response,"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 532, ""startIndexInSegment"": 469, ""selectedText"": ""prevent our disclosure of personal information to third parties"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": 464, ""startIndexInSegment"": 459, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 568, ""startIndexInSegment"": 537, ""selectedText"": ""their direct marketing purposes"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 278, ""selectedText"": ""certain types of personal information"", ""value"": ""Generic personal information""}}",537,568
9,11117,3824,3,User Choice/Control,2,certain types of personal information,"{""Choice Type"": {""endIndexInSegment"": 802, ""startIndexInSegment"": 570, ""selectedText"": ""You can read these instructions in the section of our Online Privacy Policy titled \""How We Disclose Information and Your Related Opt-out Choices.\"" Or, if you are a California resident and prefer that we send you a separate response,"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 532, ""startIndexInSegment"": 469, ""selectedText"": ""prevent our disclosure of personal information to third parties"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": 464, ""startIndexInSegment"": 459, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 568, ""startIndexInSegment"": 537, ""selectedText"": ""their direct marketing purposes"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 278, ""selectedText"": ""certain types of personal information"", ""value"": ""Generic personal information""}}",278,315
10,11118,3824,3,Practice not covered,10,"California residents have the right to request and obtain from us, once a year and free of charge, a list of the third parties to whom we have disclosed certain types of personal information (if any) for their direct marketing purposes in the prior calendar year.","{""Other Type"": {""endIndexInSegment"": 388, ""startIndexInSegment"": 125, ""selectedText"": ""California residents have the right to request and obtain from us, once a year and free of charge, a list of the third parties to whom we have disclosed certain types of personal information (if any) for their direct marketing purposes in the prior calendar year."", ""value"": ""Practice not covered""}}",125,388
11,C923,3824,5,First Party Collection/Use,0,our services,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 309, ""selectedText"": ""our services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 347, ""startIndexInSegment"": 339, ""selectedText"": ""location"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 96, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",309,321
12,C923,3824,5,First Party Collection/Use,0,location,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 309, ""selectedText"": ""our services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 347, ""startIndexInSegment"": 339, ""selectedText"": ""location"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 96, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",339,347
13,C923,3824,5,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 321, ""startIndexInSegment"": 309, ""selectedText"": ""our services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 347, ""startIndexInSegment"": 339, ""selectedText"": ""location"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 96, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",96,103
14,C924,3824,5,First Party Collection/Use,0,obtain from other sources,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 720, ""startIndexInSegment"": 695, ""selectedText"": ""obtain from other sources"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 686, ""startIndexInSegment"": 647, ""selectedText"": ""Information about you or your household"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 96, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",695,720
15,C924,3824,5,First Party Collection/Use,0,Information about you or your household,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 720, ""startIndexInSegment"": 695, ""selectedText"": ""obtain from other sources"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 686, ""startIndexInSegment"": 647, ""selectedText"": ""Information about you or your household"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 96, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",647,686
16,C924,3824,5,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 720, ""startIndexInSegment"": 695, ""selectedText"": ""obtain from other sources"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 686, ""startIndexInSegment"": 647, ""selectedText"": ""Information about you or your household"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 96, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",96,103
