,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2729,3828,0,Introductory/Generic,9,"Effective Date: May 7, 2015 Kraft Site Privacy Notice This website is owned and operated by Kraft Foods Group, Inc. At Kraft, we recognize that visitors to our site may be concerned about the information they provide to us and how we handle that information. This Privacy Notice describes the types of information we collect from and about you when you visit this website (and the mobile optimized version of this website), how we may use and disclose such information, and your ability to control certain uses of it.","{""Other Type"": {""endIndexInSegment"": 575, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015 Kraft Site Privacy Notice This website is owned and operated by Kraft Foods Group, Inc. At Kraft, we recognize that visitors to our site may be concerned about the information they provide to us and how we handle that information. This Privacy Notice describes the types of information we collect from and about you when you visit this website (and the mobile optimized version of this website), how we may use and disclose such information, and your ability to control certain uses of it."", ""value"": ""Introductory/Generic""}}",9,575
1,12378,3828,0,Policy Change,6,"Effective Date: May 7, 2015","{""Change Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""General notice in privacy policy""}}",9,36
2,12378,3828,0,Policy Change,6,"Effective Date: May 7, 2015","{""Change Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""General notice in privacy policy""}}",9,36
3,12378,3828,0,Policy Change,6,"Effective Date: May 7, 2015","{""Change Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 9, ""selectedText"": ""Effective Date: May 7, 2015"", ""value"": ""General notice in privacy policy""}}",9,36
4,C2730,3828,1,First Party Collection/Use,0,website,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 281, ""startIndexInSegment"": 274, ""selectedText"": ""website"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 202, ""startIndexInSegment"": 192, ""selectedText"": ""birth year"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 136, ""selectedText"": ""personally-identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 127, ""startIndexInSegment"": 117, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 296, ""startIndexInSegment"": 258, ""selectedText"": ""register on our website or participate"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",274,281
5,C2730,3828,1,First Party Collection/Use,0,birth year,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 281, ""startIndexInSegment"": 274, ""selectedText"": ""website"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 202, ""startIndexInSegment"": 192, ""selectedText"": ""birth year"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 136, ""selectedText"": ""personally-identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 127, ""startIndexInSegment"": 117, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 296, ""startIndexInSegment"": 258, ""selectedText"": ""register on our website or participate"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",192,202
6,C2730,3828,1,First Party Collection/Use,0,personally-identifiable,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 281, ""startIndexInSegment"": 274, ""selectedText"": ""website"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 202, ""startIndexInSegment"": 192, ""selectedText"": ""birth year"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 136, ""selectedText"": ""personally-identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 127, ""startIndexInSegment"": 117, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 296, ""startIndexInSegment"": 258, ""selectedText"": ""register on our website or participate"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",136,159
7,C2730,3828,1,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 281, ""startIndexInSegment"": 274, ""selectedText"": ""website"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 202, ""startIndexInSegment"": 192, ""selectedText"": ""birth year"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 136, ""selectedText"": ""personally-identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 127, ""startIndexInSegment"": 117, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 296, ""startIndexInSegment"": 258, ""selectedText"": ""register on our website or participate"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",117,127
8,C2730,3828,1,First Party Collection/Use,0,register on our website or participate,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 281, ""startIndexInSegment"": 274, ""selectedText"": ""website"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 202, ""startIndexInSegment"": 192, ""selectedText"": ""birth year"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 136, ""selectedText"": ""personally-identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 127, ""startIndexInSegment"": 117, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 296, ""startIndexInSegment"": 258, ""selectedText"": ""register on our website or participate"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",258,296
9,C2731,3828,1,First Party Collection/Use,0,website,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 281, ""startIndexInSegment"": 274, ""selectedText"": ""website"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 240, ""startIndexInSegment"": 204, ""selectedText"": ""telephone number and e-mail address,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 136, ""selectedText"": ""personally-identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 127, ""startIndexInSegment"": 117, ""selectedText"": ""We collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 296, ""startIndexInSegment"": 258, ""selectedText"": ""register on our website or participate"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",274,281
