,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2911,3833,0,Introductory/Generic,9,Smithsonian Institution's Privacy Statement,"{""Other Type"": {""selectedText"": ""Smithsonian Institution's Privacy Statement"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 53, ""value"": ""Introductory/Generic""}}",0,53
1,C2912,3833,1,First Party Collection/Use,0,unless you choose to provide that information to us.,"{""Collection Mode"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""provide that information to us"", ""startIndexInSegment"": 264, ""endIndexInSegment"": 294, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 211, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us."", ""startIndexInSegment"": 146, ""endIndexInSegment"": 295, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 296, ""endIndexInSegment"": 428, ""value"": ""Basic service/feature""}}",243,295
2,C2912,3833,1,First Party Collection/Use,0,provide that information to us,"{""Collection Mode"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""provide that information to us"", ""startIndexInSegment"": 264, ""endIndexInSegment"": 294, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 211, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us."", ""startIndexInSegment"": 146, ""endIndexInSegment"": 295, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 296, ""endIndexInSegment"": 428, ""value"": ""Basic service/feature""}}",264,294
3,C2912,3833,1,First Party Collection/Use,0,personal information,"{""Collection Mode"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""provide that information to us"", ""startIndexInSegment"": 264, ""endIndexInSegment"": 294, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 211, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us."", ""startIndexInSegment"": 146, ""endIndexInSegment"": 295, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 296, ""endIndexInSegment"": 428, ""value"": ""Basic service/feature""}}",191,211
4,C2912,3833,1,First Party Collection/Use,0,unless you choose to provide that information to us.,"{""Collection Mode"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""provide that information to us"", ""startIndexInSegment"": 264, ""endIndexInSegment"": 294, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 211, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us."", ""startIndexInSegment"": 146, ""endIndexInSegment"": 295, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 296, ""endIndexInSegment"": 428, ""value"": ""Basic service/feature""}}",243,295
5,C2912,3833,1,First Party Collection/Use,0,The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us.,"{""Collection Mode"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""provide that information to us"", ""startIndexInSegment"": 264, ""endIndexInSegment"": 294, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 211, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us."", ""startIndexInSegment"": 146, ""endIndexInSegment"": 295, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 296, ""endIndexInSegment"": 428, ""value"": ""Basic service/feature""}}",146,295
6,C2912,3833,1,First Party Collection/Use,0,The Smithsonian will use that information to respond to your message and to help us get you the information you have requested.,"{""Collection Mode"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""provide that information to us"", ""startIndexInSegment"": 264, ""endIndexInSegment"": 294, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 211, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us."", ""startIndexInSegment"": 146, ""endIndexInSegment"": 295, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 296, ""endIndexInSegment"": 428, ""value"": ""Basic service/feature""}}",296,428
7,15277,3833,1,Introductory/Generic,9,Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement. The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us. The Smithsonian will use that information to respond to your message and to help us get you the information you have requested.,"{""Other Type"": {""selectedText"": ""Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement. The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us. The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 38, ""endIndexInSegment"": 423, ""value"": ""Introductory/Generic""}}",38,423
8,22936,3833,1,Introductory/Generic,9,Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement.,"{""Other Type"": {""selectedText"": ""Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement."", ""startIndexInSegment"": 38, ""endIndexInSegment"": 145, ""value"": ""Introductory/Generic""}}",38,145
9,22938,3833,1,First Party Collection/Use,0,collect personal information about visitors to our Websites,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""collect personal information about visitors to our Websites"", ""startIndexInSegment"": 183, ""endIndexInSegment"": 242, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information about visitors"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 226, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""you choose to provide"", ""startIndexInSegment"": 250, ""endIndexInSegment"": 271, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""does not"", ""startIndexInSegment"": 174, ""endIndexInSegment"": 182, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to respond to your message and to help us get you the information you have requested"", ""startIndexInSegment"": 338, ""endIndexInSegment"": 422, ""value"": ""Basic service/feature""}}",183,242
