,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,18616,3855,0,First Party Collection/Use,0,"may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed","{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed"", ""startIndexInSegment"": 383, ""endIndexInSegment"": 465, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""em you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 977, ""endIndexInSegment"": 1147, ""value"": ""Unspecified""}}",383,465
1,18616,3855,0,First Party Collection/Use,0,all files,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed"", ""startIndexInSegment"": 383, ""endIndexInSegment"": 465, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""em you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 977, ""endIndexInSegment"": 1147, ""value"": ""Unspecified""}}",373,382
2,18616,3855,0,First Party Collection/Use,0,"By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel.","{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed"", ""startIndexInSegment"": 383, ""endIndexInSegment"": 465, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""em you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 977, ""endIndexInSegment"": 1147, ""value"": ""Unspecified""}}",617,819
3,18616,3855,0,First Party Collection/Use,0,em you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning.,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed"", ""startIndexInSegment"": 383, ""endIndexInSegment"": 465, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""em you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 977, ""endIndexInSegment"": 1147, ""value"": ""Unspecified""}}",977,1147
4,18617,3855,0,Third Party Sharing/Collection,1,"Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign","{""Third Party Entity"": {""selectedText"": ""Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 486, ""endIndexInSegment"": 615, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1152, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""disclosed"", ""startIndexInSegment"": 456, ""endIndexInSegment"": 465, ""value"": ""Receive/Shared with""}}",486,615
5,18617,3855,0,Third Party Sharing/Collection,1,all files,"{""Third Party Entity"": {""selectedText"": ""Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 486, ""endIndexInSegment"": 615, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1152, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""disclosed"", ""startIndexInSegment"": 456, ""endIndexInSegment"": 465, ""value"": ""Receive/Shared with""}}",373,382
6,18617,3855,0,Third Party Sharing/Collection,1,By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning.,"{""Third Party Entity"": {""selectedText"": ""Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 486, ""endIndexInSegment"": 615, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1152, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""disclosed"", ""startIndexInSegment"": 456, ""endIndexInSegment"": 465, ""value"": ""Receive/Shared with""}}",947,1152
7,18617,3855,0,Third Party Sharing/Collection,1,disclosed,"{""Third Party Entity"": {""selectedText"": ""Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 486, ""endIndexInSegment"": 615, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1152, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""disclosed"", ""startIndexInSegment"": 456, ""endIndexInSegment"": 465, ""value"": ""Receive/Shared with""}}",456,465
8,18312,3855,0,First Party Collection/Use,0,"all files may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed to authorized site, Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""all files may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed to authorized site, Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 615, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""all uses of this system, associated connected systems and all files"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 382, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1142, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Unauthorized or improper use of this system may result in administrative disciplinary action and civil and criminal penalties"", ""startIndexInSegment"": 820, ""endIndexInSegment"": 945, ""value"": ""Legal requirement""}}",373,615
9,18312,3855,0,First Party Collection/Use,0,"all uses of this system, associated connected systems and all files","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""all files may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed to authorized site, Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 615, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""all uses of this system, associated connected systems and all files"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 382, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1142, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Unauthorized or improper use of this system may result in administrative disciplinary action and civil and criminal penalties"", ""startIndexInSegment"": 820, ""endIndexInSegment"": 945, ""value"": ""Legal requirement""}}",315,382
