,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3235,3846,0,Introductory/Generic,9,We respect your right to privacy and will protect it. Any information you provide is strictly confidential and solely for our company use. No information will be sold to any other companies or organizations.,"{""Other Type"": {""selectedText"": ""We respect your right to privacy and will protect it. Any information you provide is strictly confidential and solely for our company use. No information will be sold to any other companies or organizations."", ""startIndexInSegment"": 39, ""endIndexInSegment"": 251, ""value"": ""Introductory/Generic""}}",39,251
1,14051,3846,0,Data Security,5,We respect your right to privacy and will protect it.,"{""Security Measure"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 44, ""selectedText"": ""We respect your right to privacy and will protect it."", ""value"": ""Generic""}}",44,97
2,14053,3846,0,Data Security,5,Any information you provide is strictly confidential and solely for our company use.,"{""Security Measure"": {""endIndexInSegment"": 182, ""startIndexInSegment"": 98, ""selectedText"": ""Any information you provide is strictly confidential and solely for our company use."", ""value"": ""Data access limitation""}}",98,182
3,14054,3846,0,Data Security,5,No information will be sold to any other companies or organizations.,"{""Security Measure"": {""endIndexInSegment"": 251, ""startIndexInSegment"": 183, ""selectedText"": ""No information will be sold to any other companies or organizations."", ""value"": ""Other""}}",183,251
4,14860,3846,1,Third Party Sharing/Collection,1,third party marketing companies,"{""Third Party Entity"": {""selectedText"": ""third party marketing companies"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 157, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""advertisements"", ""startIndexInSegment"": 167, ""endIndexInSegment"": 181, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personal information about your visits to our website, and your interaction with our products and services"", ""startIndexInSegment"": 234, ""endIndexInSegment"": 344, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""No Personally Identifiable Information (\""PII\"") is collected in this process"", ""startIndexInSegment"": 689, ""endIndexInSegment"": 764, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""They may collect"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 233, ""value"": ""Collect on first party website/app""}}",126,157
5,14860,3846,1,Third Party Sharing/Collection,1,advertisements,"{""Third Party Entity"": {""selectedText"": ""third party marketing companies"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 157, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""advertisements"", ""startIndexInSegment"": 167, ""endIndexInSegment"": 181, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personal information about your visits to our website, and your interaction with our products and services"", ""startIndexInSegment"": 234, ""endIndexInSegment"": 344, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""No Personally Identifiable Information (\""PII\"") is collected in this process"", ""startIndexInSegment"": 689, ""endIndexInSegment"": 764, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""They may collect"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 233, ""value"": ""Collect on first party website/app""}}",167,181
6,14860,3846,1,Third Party Sharing/Collection,1,"non-personal information about your visits to our website, and your interaction with our products and services","{""Third Party Entity"": {""selectedText"": ""third party marketing companies"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 157, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""advertisements"", ""startIndexInSegment"": 167, ""endIndexInSegment"": 181, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personal information about your visits to our website, and your interaction with our products and services"", ""startIndexInSegment"": 234, ""endIndexInSegment"": 344, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""No Personally Identifiable Information (\""PII\"") is collected in this process"", ""startIndexInSegment"": 689, ""endIndexInSegment"": 764, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""They may collect"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 233, ""value"": ""Collect on first party website/app""}}",234,344
7,14860,3846,1,Third Party Sharing/Collection,1,"No Personally Identifiable Information (""PII"") is collected in this process","{""Third Party Entity"": {""selectedText"": ""third party marketing companies"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 157, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""advertisements"", ""startIndexInSegment"": 167, ""endIndexInSegment"": 181, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personal information about your visits to our website, and your interaction with our products and services"", ""startIndexInSegment"": 234, ""endIndexInSegment"": 344, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""No Personally Identifiable Information (\""PII\"") is collected in this process"", ""startIndexInSegment"": 689, ""endIndexInSegment"": 764, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""They may collect"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 233, ""value"": ""Collect on first party website/app""}}",689,764
8,14860,3846,1,Third Party Sharing/Collection,1,They may collect,"{""Third Party Entity"": {""selectedText"": ""third party marketing companies"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 157, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""advertisements"", ""startIndexInSegment"": 167, ""endIndexInSegment"": 181, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personal information about your visits to our website, and your interaction with our products and services"", ""startIndexInSegment"": 234, ""endIndexInSegment"": 344, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""No Personally Identifiable Information (\""PII\"") is collected in this process"", ""startIndexInSegment"": 689, ""endIndexInSegment"": 764, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""They may collect"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 233, ""value"": ""Collect on first party website/app""}}",217,233
9,14861,3846,1,Third Party Sharing/Collection,1,third party marketing companies,"{""Third Party Entity"": {""selectedText"": ""third party marketing companies"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 157, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""advertisements"", ""startIndexInSegment"": 167, ""endIndexInSegment"": 181, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""Cookies and Web Beacons"", ""startIndexInSegment"": 635, ""endIndexInSegment"": 658, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""No Personally Identifiable Information (\""PII\"") is collected in this process"", ""startIndexInSegment"": 689, ""endIndexInSegment"": 764, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""They may collect"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 233, ""value"": ""Collect on first party website/app""}}",126,157
