,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3694,3637,0,Introductory/Generic,9,"The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form.","{""Other Type"": {""endIndexInSegment"": 844, ""startIndexInSegment"": 98, ""selectedText"": ""The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form."", ""value"": ""Introductory/Generic""}}",98,844
1,C3695,3637,1,Policy Change,6,home page,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 200, ""startIndexInSegment"": 191, ""selectedText"": ""home page"", ""value"": ""General notice on website""}}",191,200
2,C3696,3637,1,Policy Change,6,"If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page.","{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 528, ""startIndexInSegment"": 505, ""selectedText"": ""we will notify you here"", ""value"": ""General notice in privacy policy""}}",461,581
3,C3696,3637,1,Policy Change,6,we will notify you here,"{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 528, ""startIndexInSegment"": 505, ""selectedText"": ""we will notify you here"", ""value"": ""General notice in privacy policy""}}",505,528
4,C3697,3637,1,Policy Change,6,"If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page.","{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 539, ""startIndexInSegment"": 530, ""selectedText"": ""by email,"", ""value"": ""Personal notice""}}",461,581
5,C3697,3637,1,Policy Change,6,"by email,","{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 539, ""startIndexInSegment"": 530, ""selectedText"": ""by email,"", ""value"": ""Personal notice""}}",530,539
6,C3698,3637,1,Policy Change,6,"If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page.","{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 540, ""selectedText"": ""or by means of a notice on our home page"", ""value"": ""General notice on website""}}",461,581
7,C3698,3637,1,Policy Change,6,or by means of a notice on our home page,"{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 540, ""selectedText"": ""or by means of a notice on our home page"", ""value"": ""General notice on website""}}",540,580
8,2958,3637,1,Policy Change,6,material,"{""Change Type"": {""endIndexInSegment"": 480, ""startIndexInSegment"": 472, ""selectedText"": ""material"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 538, ""startIndexInSegment"": 533, ""selectedText"": ""email"", ""value"": ""Personal notice""}}",472,480
9,2958,3637,1,Policy Change,6,email,"{""Change Type"": {""endIndexInSegment"": 480, ""startIndexInSegment"": 472, ""selectedText"": ""material"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 538, ""startIndexInSegment"": 533, ""selectedText"": ""email"", ""value"": ""Personal notice""}}",533,538
10,2959,3637,1,Policy Change,6,material,"{""Change Type"": {""endIndexInSegment"": 480, ""startIndexInSegment"": 472, ""selectedText"": ""material"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 543, ""selectedText"": ""by means of a notice on our home page"", ""value"": ""General notice on website""}}",472,480
