,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3803,3845,0,Introductory/Generic,9,"TED encourages our community to discover and share ideas with one another. While gathering information about the people who use the site is an important part of the TED.com experience, we take your privacy very seriously, and make every effort to safeguard your personal data. This privacy policy is intended to inform you of what information we collect, how this information is used, and what steps we take to protect this information. If you have any questions or concerns about our privacy policy and protections, please contact us.","{""Other Type"": {""selectedText"": ""TED encourages our community to discover and share ideas with one another. While gathering information about the people who use the site is an important part of the TED.com experience, we take your privacy very seriously, and make every effort to safeguard your personal data. This privacy policy is intended to inform you of what information we collect, how this information is used, and what steps we take to protect this information. If you have any questions or concerns about our privacy policy and protections, please contact us."", ""startIndexInSegment"": 25, ""endIndexInSegment"": 565, ""value"": ""Introductory/Generic""}}",25,565
1,14172,3845,0,Data Security,5,"we take your privacy very seriously, and make every effort to safeguard your personal data.","{""Security Measure"": {""endIndexInSegment"": 301, ""startIndexInSegment"": 210, ""selectedText"": ""we take your privacy very seriously, and make every effort to safeguard your personal data."", ""value"": ""Generic""}}",210,301
2,C3804,3845,1,First Party Collection/Use,0,"Automatically collected,","{""Collection Mode"": {""selectedText"": ""Automatically collected,"", ""startIndexInSegment"": 214, ""endIndexInSegment"": 238, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""gathered as you use TED.com."", ""startIndexInSegment"": 301, ""endIndexInSegment"": 329, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""tracking information"", ""startIndexInSegment"": 280, ""endIndexInSegment"": 300, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""non-personal"", ""startIndexInSegment"": 239, ""endIndexInSegment"": 251, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 42, ""endIndexInSegment"": 52, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",214,238
3,C3804,3845,1,First Party Collection/Use,0,gathered as you use TED.com.,"{""Collection Mode"": {""selectedText"": ""Automatically collected,"", ""startIndexInSegment"": 214, ""endIndexInSegment"": 238, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""gathered as you use TED.com."", ""startIndexInSegment"": 301, ""endIndexInSegment"": 329, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""tracking information"", ""startIndexInSegment"": 280, ""endIndexInSegment"": 300, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""non-personal"", ""startIndexInSegment"": 239, ""endIndexInSegment"": 251, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 42, ""endIndexInSegment"": 52, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",301,329
4,C3804,3845,1,First Party Collection/Use,0,tracking information,"{""Collection Mode"": {""selectedText"": ""Automatically collected,"", ""startIndexInSegment"": 214, ""endIndexInSegment"": 238, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""gathered as you use TED.com."", ""startIndexInSegment"": 301, ""endIndexInSegment"": 329, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""tracking information"", ""startIndexInSegment"": 280, ""endIndexInSegment"": 300, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""non-personal"", ""startIndexInSegment"": 239, ""endIndexInSegment"": 251, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 42, ""endIndexInSegment"": 52, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",280,300
5,C3804,3845,1,First Party Collection/Use,0,non-personal,"{""Collection Mode"": {""selectedText"": ""Automatically collected,"", ""startIndexInSegment"": 214, ""endIndexInSegment"": 238, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""gathered as you use TED.com."", ""startIndexInSegment"": 301, ""endIndexInSegment"": 329, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""tracking information"", ""startIndexInSegment"": 280, ""endIndexInSegment"": 300, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""non-personal"", ""startIndexInSegment"": 239, ""endIndexInSegment"": 251, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 42, ""endIndexInSegment"": 52, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",239,251
6,C3804,3845,1,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""selectedText"": ""Automatically collected,"", ""startIndexInSegment"": 214, ""endIndexInSegment"": 238, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""gathered as you use TED.com."", ""startIndexInSegment"": 301, ""endIndexInSegment"": 329, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""tracking information"", ""startIndexInSegment"": 280, ""endIndexInSegment"": 300, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""non-personal"", ""startIndexInSegment"": 239, ""endIndexInSegment"": 251, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 42, ""endIndexInSegment"": 52, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",42,52
7,C3805,3845,1,First Party Collection/Use,0,"Personal information that you directly provide to us, which includes information you supply when you register an account with us","{""Collection Mode"": {""selectedText"": ""Personal information that you directly provide to us, which includes information you supply when you register an account with us"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 207, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Personal information"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 99, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 42, ""endIndexInSegment"": 52, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",79,207
8,C3805,3845,1,First Party Collection/Use,0,Personal information,"{""Collection Mode"": {""selectedText"": ""Personal information that you directly provide to us, which includes information you supply when you register an account with us"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 207, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Personal information"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 99, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 42, ""endIndexInSegment"": 52, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",79,99
9,C3805,3845,1,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""selectedText"": ""Personal information that you directly provide to us, which includes information you supply when you register an account with us"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 207, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Personal information"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 99, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 42, ""endIndexInSegment"": 52, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",42,52
