,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3851,3730,0,Policy Change,6,"This Policy was last changed on October 24, 2014","{""Change Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""General notice on website""}}",60,108
1,C3851,3730,0,Policy Change,6,"This Policy was last changed on October 24, 2014","{""Change Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""General notice on website""}}",60,108
2,5612,3730,0,Introductory/Generic,9,"This Policy was last changed on October 24, 2014","{""Other Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""Introductory/Generic""}}",60,108
3,C3852,3730,1,Introductory/Generic,9,"Everyday Health Media, LLC and its subsidiaries (""Everyday Health,"" ""us"" or ""we"") operate this website (the ""Site""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the ""Sites"") and the services related to or offered on the Sites (hereinafter, the ""Services""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, ""Licensors""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites.","{""Other Type"": {""endIndexInSegment"": 795, ""startIndexInSegment"": 0, ""selectedText"": ""Everyday Health Media, LLC and its subsidiaries (\""Everyday Health,\"" \""us\"" or \""we\"") operate this website (the \""Site\""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the \""Sites\"") and the services related to or offered on the Sites (hereinafter, the \""Services\""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, \""Licensors\""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites."", ""value"": ""Introductory/Generic""}}",0,795
4,C3853,3730,2,Introductory/Generic,9,"We provide you this privacy policy (the ""Policy"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information.","{""Other Type"": {""endIndexInSegment"": 282, ""startIndexInSegment"": 0, ""selectedText"": ""We provide you this privacy policy (the \""Policy\"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information."", ""value"": ""Introductory/Generic""}}",0,282
5,C3854,3730,3,Introductory/Generic,9,"To be clear about the terminology we are using, when we use the phrase ""Personal Information"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase ""Anonymous Information"" in this Policy, we mean information that cannot reasonably be used to identify individual persons.","{""Other Type"": {""endIndexInSegment"": 394, ""startIndexInSegment"": 0, ""selectedText"": ""To be clear about the terminology we are using, when we use the phrase \""Personal Information\"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase \""Anonymous Information\"" in this Policy, we mean information that cannot reasonably be used to identify individual persons."", ""value"": ""Introductory/Generic""}}",0,394
6,C3855,3730,4,Introductory/Generic,9,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.","{""Other Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""Introductory/Generic""}}",0,300
7,6546,3730,4,Policy Change,6,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.","{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""Unspecified""}}",0,300
8,6546,3730,4,Policy Change,6,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.","{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""Unspecified""}}",0,300
9,5618,3730,5,Introductory/Generic,9,Your Personal Information will be processed by us in the United States.,"{""Other Type"": {""endIndexInSegment"": 71, ""startIndexInSegment"": 0, ""selectedText"": ""Your Personal Information will be processed by us in the United States."", ""value"": ""Introductory/Generic""}}",0,71
