,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3948,3731,0,Third Party Sharing/Collection,1,nyone,"{""Third Party Entity"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 307, ""selectedText"": ""nyone"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 221, ""startIndexInSegment"": 213, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 213, ""selectedText"": ""does not sell or otherwise share"", ""value"": ""Receive/Shared with""}}",307,312
1,C3948,3731,0,Third Party Sharing/Collection,1,personal information,"{""Third Party Entity"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 307, ""selectedText"": ""nyone"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 221, ""startIndexInSegment"": 213, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 213, ""selectedText"": ""does not sell or otherwise share"", ""value"": ""Receive/Shared with""}}",280,300
2,C3948,3731,0,Third Party Sharing/Collection,1,does not sell or otherwise share,"{""Third Party Entity"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 307, ""selectedText"": ""nyone"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 221, ""startIndexInSegment"": 213, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 213, ""selectedText"": ""does not sell or otherwise share"", ""value"": ""Receive/Shared with""}}",213,245
3,C3948,3731,0,Third Party Sharing/Collection,1,does not,"{""Third Party Entity"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 307, ""selectedText"": ""nyone"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 221, ""startIndexInSegment"": 213, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 213, ""selectedText"": ""does not sell or otherwise share"", ""value"": ""Receive/Shared with""}}",213,221
4,6632,3731,0,Third Party Sharing/Collection,1,UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone.,"{""Third Party Entity"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Receive/Shared with""}}",204,313
5,6632,3731,0,Third Party Sharing/Collection,1,personal information,"{""Third Party Entity"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Receive/Shared with""}}",280,300
6,6632,3731,0,Third Party Sharing/Collection,1,personal information,"{""Third Party Entity"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Receive/Shared with""}}",280,300
7,6632,3731,0,Third Party Sharing/Collection,1,UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone.,"{""Third Party Entity"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Receive/Shared with""}}",204,313
8,6632,3731,0,Third Party Sharing/Collection,1,UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone.,"{""Third Party Entity"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 280, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 204, ""selectedText"": ""UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Receive/Shared with""}}",204,313
9,7386,3731,0,Introductory/Generic,9,"UpToDate, Inc. is very sensitive to the privacy needs of its website visitors and subscribers and is wholly committed to maintaining privacy at the highest level. UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone.","{""Other Type"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 41, ""selectedText"": ""UpToDate, Inc. is very sensitive to the privacy needs of its website visitors and subscribers and is wholly committed to maintaining privacy at the highest level. UpToDate does not sell or otherwise share subscribers' or website visitors' personal information with anyone."", ""value"": ""Introductory/Generic""}}",41,313
