,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4069,3820,0,Introductory/Generic,9,Privacy Policy This is the web site of the Federal Reserve Bank of St. Louis. The Bank respects your privacy.,"{""Other Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy This is the web site of the Federal Reserve Bank of St. Louis. The Bank respects your privacy."", ""value"": ""Introductory/Generic""}}",0,119
1,9755,3820,1,User Choice/Control,2,personal information you choose to provide us is voluntary,"{""Choice Type"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 109, ""selectedText"": ""personal information you choose to provide us is voluntary"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 194, ""selectedText"": ""provide any information"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 202, ""selectedText"": ""any information"", ""value"": ""Generic personal information""}}",109,167
2,9755,3820,1,User Choice/Control,2,provide any information,"{""Choice Type"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 109, ""selectedText"": ""personal information you choose to provide us is voluntary"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 194, ""selectedText"": ""provide any information"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 202, ""selectedText"": ""any information"", ""value"": ""Generic personal information""}}",194,217
3,9755,3820,1,User Choice/Control,2,any information,"{""Choice Type"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 109, ""selectedText"": ""personal information you choose to provide us is voluntary"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 194, ""selectedText"": ""provide any information"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 202, ""selectedText"": ""any information"", ""value"": ""Generic personal information""}}",202,217
4,9384,3820,1,User Choice/Control,2,without disclosing,"{""Choice Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 66, ""selectedText"": ""without disclosing"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 39, ""selectedText"": ""access and browse our site without disclosing"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 31, ""selectedText"": ""You may access and browse our site without disclosing your personal data"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 85, ""selectedText"": ""your personal data"", ""value"": ""Generic personal information""}}",66,84
5,9384,3820,1,User Choice/Control,2,access and browse our site without disclosing,"{""Choice Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 66, ""selectedText"": ""without disclosing"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 39, ""selectedText"": ""access and browse our site without disclosing"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 31, ""selectedText"": ""You may access and browse our site without disclosing your personal data"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 85, ""selectedText"": ""your personal data"", ""value"": ""Generic personal information""}}",39,84
6,9384,3820,1,User Choice/Control,2,You may access and browse our site without disclosing your personal data,"{""Choice Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 66, ""selectedText"": ""without disclosing"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 39, ""selectedText"": ""access and browse our site without disclosing"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 31, ""selectedText"": ""You may access and browse our site without disclosing your personal data"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 85, ""selectedText"": ""your personal data"", ""value"": ""Generic personal information""}}",31,103
7,9384,3820,1,User Choice/Control,2,your personal data,"{""Choice Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 66, ""selectedText"": ""without disclosing"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 39, ""selectedText"": ""access and browse our site without disclosing"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 31, ""selectedText"": ""You may access and browse our site without disclosing your personal data"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 85, ""selectedText"": ""your personal data"", ""value"": ""Generic personal information""}}",85,103
8,9811,3820,1,First Party Collection/Use,0,our site,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 57, ""selectedText"": ""our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 66, ""selectedText"": ""without disclosing your personal data. The personal information you choose to provide us is voluntary. We do not require you to provide any information about yourself that you do not wish to share"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",57,65
9,9811,3820,1,First Party Collection/Use,0,without disclosing your personal data. The personal information you choose to provide us is voluntary. We do not require you to provide any information about yourself that you do not wish to share,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 57, ""selectedText"": ""our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 66, ""selectedText"": ""without disclosing your personal data. The personal information you choose to provide us is voluntary. We do not require you to provide any information about yourself that you do not wish to share"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",66,262
10,C4070,3820,2,First Party Collection/Use,0,choose to provide us with personal information,"{""Collection Mode"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 8, ""selectedText"": ""choose to provide us with personal information"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 18, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 72, ""selectedText"": ""you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event or user account, apply for a job or participate in our online activities."", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 34, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 8, ""selectedText"": ""choose to provide"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 4, ""selectedText"": ""may choose to provide us with personal information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 205, ""selectedText"": ""user account"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",8,54
