,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1297,3849,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""selectedText"": ""Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 14, ""value"": ""Introductory/Generic""}}",0,14
1,C1298,3849,1,Introductory/Generic,9,"PBS is committed to protecting the private information of our web site visitors. From the pbs.org homepage to more than 150,000 pages of content produced by our affiliates, the ""pbs.org"" domain remains a safe haven. The PBS.org web site adheres to a strict policy for ensuring the privacy of personally identifiable information and preserving the integrity of this online medium. Here we explain the type of information collected from PBS.org, how that information may be used, how you can access or modify that information, and how that information is protected.","{""Other Type"": {""selectedText"": ""PBS is committed to protecting the private information of our web site visitors. From the pbs.org homepage to more than 150,000 pages of content produced by our affiliates, the \""pbs.org\"" domain remains a safe haven. The PBS.org web site adheres to a strict policy for ensuring the privacy of personally identifiable information and preserving the integrity of this online medium. Here we explain the type of information collected from PBS.org, how that information may be used, how you can access or modify that information, and how that information is protected."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 563, ""value"": ""Introductory/Generic""}}",0,563
2,C1299,3849,2,Other,0,"I. WHICH SITES ARE COVERED BY THIS POLICY- This Privacy Policy applies to PBS.org (""Site""). Please note that our Site may contain links to sponsor organizations and PBS Member Stations. We are not responsible for the privacy practices of those web sites. We encourage you to review the privacy policy of any organization before submitting your personal information to them.","{""Other Type"": {""selectedText"": ""I. WHICH SITES ARE COVERED BY THIS POLICY- This Privacy Policy applies to PBS.org (\""Site\""). Please note that our Site may contain links to sponsor organizations and PBS Member Stations. We are not responsible for the privacy practices of those web sites. We encourage you to review the privacy policy of any organization before submitting your personal information to them."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 383, ""value"": ""Other""}}",0,383
3,C1300,3849,3,First Party Collection/Use,0,PBS collects two types of information from visitors to the Site,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""PBS collects two types of information from visitors to the Site"", ""startIndexInSegment"": 45, ""endIndexInSegment"": 108, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""IP Addresses"", ""startIndexInSegment"": 220, ""endIndexInSegment"": 232, ""value"": ""IP address and device IDs""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",45,108
4,C1300,3849,3,First Party Collection/Use,0,IP Addresses,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""PBS collects two types of information from visitors to the Site"", ""startIndexInSegment"": 45, ""endIndexInSegment"": 108, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""IP Addresses"", ""startIndexInSegment"": 220, ""endIndexInSegment"": 232, ""value"": ""IP address and device IDs""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",220,232
5,C1301,3849,3,First Party Collection/Use,0,PBS collects two types of information from visitors to the Site,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""PBS collects two types of information from visitors to the Site"", ""startIndexInSegment"": 45, ""endIndexInSegment"": 108, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 237, ""endIndexInSegment"": 244, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",45,108
6,C1301,3849,3,First Party Collection/Use,0,cookies,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""PBS collects two types of information from visitors to the Site"", ""startIndexInSegment"": 45, ""endIndexInSegment"": 108, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 237, ""endIndexInSegment"": 244, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",237,244
7,C1302,3849,3,First Party Collection/Use,0,collects two types of information from visitors to the Site,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""collects two types of information from visitors to the Site"", ""startIndexInSegment"": 49, ""endIndexInSegment"": 108, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""Information"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 149, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Personally Identifiable"", ""startIndexInSegment"": 114, ""endIndexInSegment"": 137, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""collects"", ""startIndexInSegment"": 49, ""endIndexInSegment"": 57, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""visitors"", ""startIndexInSegment"": 88, ""endIndexInSegment"": 96, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",49,108
8,C1302,3849,3,First Party Collection/Use,0,Information,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""collects two types of information from visitors to the Site"", ""startIndexInSegment"": 49, ""endIndexInSegment"": 108, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""Information"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 149, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Personally Identifiable"", ""startIndexInSegment"": 114, ""endIndexInSegment"": 137, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""collects"", ""startIndexInSegment"": 49, ""endIndexInSegment"": 57, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""visitors"", ""startIndexInSegment"": 88, ""endIndexInSegment"": 96, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",138,149
9,C1302,3849,3,First Party Collection/Use,0,Personally Identifiable,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""collects two types of information from visitors to the Site"", ""startIndexInSegment"": 49, ""endIndexInSegment"": 108, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""Information"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 149, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Personally Identifiable"", ""startIndexInSegment"": 114, ""endIndexInSegment"": 137, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""collects"", ""startIndexInSegment"": 49, ""endIndexInSegment"": 57, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""visitors"", ""startIndexInSegment"": 88, ""endIndexInSegment"": 96, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",114,137
