,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4143,3847,0,Introductory/Generic,9,Internet Brands Privacy Highlights Privacy Policy Cookie Policy Privacy Contact,"{""Other Type"": {""selectedText"": ""Internet Brands Privacy Highlights Privacy Policy Cookie Policy Privacy Contact"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 94, ""value"": ""Introductory/Generic""}}",0,94
1,C4144,3847,1,Introductory/Generic,9,"Internet Brands, Inc. and its subsidiaries and corporate affiliates (collectively, ""Internet Brands,"" ""our,"" ""us,"" or ""we"") operate websites, provide products and services through mobile and other applications, and develop software. We refer to these as ""site(s),"" ""service(s),"" or ""our sites and services.""","{""Other Type"": {""selectedText"": ""Internet Brands, Inc. and its subsidiaries and corporate affiliates (collectively, \""Internet Brands,\"" \""our,\"" \""us,\"" or \""we\"") operate websites, provide products and services through mobile and other applications, and develop software. We refer to these as \""site(s),\"" \""service(s),\"" or \""our sites and services.\"""", ""startIndexInSegment"": 20, ""endIndexInSegment"": 332, ""value"": ""Introductory/Generic""}}",20,332
2,C4145,3847,2,Practice not covered,10,"This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies. However, we often acquire new companies to expand our business. Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours.","{""Other Type"": {""selectedText"": ""This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies. However, we often acquire new companies to expand our business. Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours."", ""startIndexInSegment"": 120, ""endIndexInSegment"": 462, ""value"": ""Practice not covered""}}",120,462
3,14074,3847,2,Policy Change,6,"However, we often acquire new companies to expand our business.","{""Change Type"": {""endIndexInSegment"": 339, ""startIndexInSegment"": 276, ""selectedText"": ""However, we often acquire new companies to expand our business."", ""value"": ""In case of merger or acquisition""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 462, ""startIndexInSegment"": 340, ""selectedText"": ""Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours."", ""value"": ""Other""}}",276,339
4,14074,3847,2,Policy Change,6,Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours.,"{""Change Type"": {""endIndexInSegment"": 339, ""startIndexInSegment"": 276, ""selectedText"": ""However, we often acquire new companies to expand our business."", ""value"": ""In case of merger or acquisition""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 462, ""startIndexInSegment"": 340, ""selectedText"": ""Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours."", ""value"": ""Other""}}",340,462
5,C4146,3847,3,User Choice/Control,2,"If you do not agree to this privacy policy, please do not use our sites or services.","{""Choice Type"": {""endIndexInSegment"": 526, ""startIndexInSegment"": 442, ""selectedText"": ""If you do not agree to this privacy policy, please do not use our sites or services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 345, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 404, ""startIndexInSegment"": 384, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}}",442,526
6,C4146,3847,3,User Choice/Control,2,use,"{""Choice Type"": {""endIndexInSegment"": 526, ""startIndexInSegment"": 442, ""selectedText"": ""If you do not agree to this privacy policy, please do not use our sites or services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 345, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 404, ""startIndexInSegment"": 384, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}}",345,348
7,C4146,3847,3,User Choice/Control,2,personal information,"{""Choice Type"": {""endIndexInSegment"": 526, ""startIndexInSegment"": 442, ""selectedText"": ""If you do not agree to this privacy policy, please do not use our sites or services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 348, ""startIndexInSegment"": 345, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 404, ""startIndexInSegment"": 384, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}}",384,404
8,C4147,3847,3,User Choice/Control,2,"If you do not agree to this privacy policy, please do not use our sites or services.","{""Choice Type"": {""endIndexInSegment"": 526, ""startIndexInSegment"": 442, ""selectedText"": ""If you do not agree to this privacy policy, please do not use our sites or services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 360, ""startIndexInSegment"": 350, ""selectedText"": ""disclosure"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 404, ""startIndexInSegment"": 384, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}}",442,526
9,C4147,3847,3,User Choice/Control,2,disclosure,"{""Choice Type"": {""endIndexInSegment"": 526, ""startIndexInSegment"": 442, ""selectedText"": ""If you do not agree to this privacy policy, please do not use our sites or services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 360, ""startIndexInSegment"": 350, ""selectedText"": ""disclosure"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 404, ""startIndexInSegment"": 384, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}}",350,360
